ser	ser/organismo
manhã	tempo/etapa/período
conduzir	gerenciar/gerir/administrar
transmitir	deslocar/mover
visita	turista/viajante/encontro/reunião
publicação	obra/trabalho
qualidade	característica/carácter_distintivo/qualidade/propriedade/atributo/concepção/idéia/conceito/ideia/grau/qualidade
alteração	ocorrente/acontecimento/ocorrência
firmar	acordar/concordar
serra	formação/formação_geológica
esforço	atividade/ocupação
quarto	quarto/aposento/sala
informática	ciências_aplicadas/ciência_aplicada/engenharia/ciências_aplicadas/tecnologia
assistente	trabalhador
humano	hominídeo
importância	qualidade/preço/preços/qualidade
conter	incluir/abarcar/conter/incluir/abarcar/conter/limitar/controlar/refrear/conter/limitar/restringir
mínimo	fragmento/pedaço
julgamento	decisão/tomada_de_decisão/procedimento_legal/procedimento_legal/processo_legal/devido_processo_legal/ato/ação/feito/acção
presente	doação/presente/dádiva/brinde/dom/aquisição/tempo
empregado	trabalhador
admitir	julgar/declarar/deixar/permitir/consentir/deixar/permitir/consentir
jovem	coorte
efeito	consequência/conseqüência/resultado/fim/efeito/consequência/conseqüência/resultado/fim/efeito/aspecto/aparência/semblante/fenômeno/fenómeno
controlar	limitar/controlar/refrear/manusear/manejar/manipular
consultor	autoridade
técnica	habilidade/habilidade/poder/capacidade/talento/habilidade
semana	tempo/etapa/período
preso	infortunado/desventurado/desafortunado
negociar	conseguir/atingir/ser_bem_sucedido/suceder
escritório	quarto/aposento/sala/estabelecimento_comercial/estabelecimento_de_negócios
proibição	acta/decreto
dispor	colocar/carregar/botar/pôr
aderir	juntar/grudar
proteção	segurança/proteção/capa/atividade/ocupação
ampliação	aumento
meta	objecto_mental/poder/capacidade/talento/habilidade
aviação	indústria
limitar	limitar/controlar/refrear
dividir	mudar
conspiração	estratégia/planos/táctica
ataque	ataque/ataque/manobra/operação
instrumento	documento/documentação/instrumento/ferramenta/implemento/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
notícia	informação
identificar	significar/denotar
pagar	pagar/dar/entregar
beneficiar	receber/obter/comprar/adquirir
grau	posição/hierarquia/classe/posto/grandeza/número/magnitude/propriedade/atributo
promoção	mensagem/assunto/tópico/conteúdo/mudança
crítico	profissional_liberal/profissional
submeter	dar/entregar/aceitar
modelo	servidor/criado/assistente/ajudante/servidor/criado/assistente/ajudante/chefe/líder/afiguração/imagem/ilustração/figura/desenho/representação
hoje	tempo
divulgação	informação
suspensão	intervalo_de_tempo/tempo/intervalo
completar	mudar/modificar/alterar
proibir	reter/conter
acadêmico	intelectual/intelecto
funcionamento	processos_físicos
oportunidade	possibilidade/chance
causar	mudar/modificar/alterar
assinatura	nome_de_batismo/primeiro_nome/nome_próprio/prenome/nome/antenome
propaganda	informação/informação/mensagem/assunto/tópico/conteúdo
violência	intensidade/agressão/hostilidade
espaço	forma_amorfa/grafema/letra/locação/ponto/lugar/localização
produzir	plantar/cultivar/amanhar
atribuição	atribuição
ala	órgão_biologico/órgão
apreciação	respeito/deferência/classificação/categorização
tipo	género/classe/tipo/categoria/raça/espécies
agência	empresa/organização_empresarial
véspera	jornada/dia
adquirir	receber/obter/comprar/adquirir
finalidade	meta/alvo/intenção/objectivo
custo	qualidade/preço/preços/qualidade/preço/preços
preparação	atividade/ocupação/condição/situação/estado
lucro	predominância/vantagem/benefício
ameaça	ameaça/risco/perigo
cambial	locução/provérbio/ditado/idioma/expressão
sobrinho	parente
exceção	representante/instância/exemplo
corte	assembléia/assembleia/diminuição/redução
sócio	indivíduo/pessoa/alguém/ser_humano/alma
pertencer	estar/ser
desempenho	acção/ação/atividade/ato
doença	enfermidade/doença
licença	licença/documento_oficial/negócio_jurídico
via	estrada/caminho/via
visitar	viajar
preocupação	ansiedade/preocupação/ânsia/ansiedade/preocupação/ânsia/pensamento/idéia/conceito/opinião/interesse
passo	manobra
categoria	concepção/idéia/conceito/ideia/conexão/relação
verdade	realidade/realidade/afirmação/declaração
registrar	protocolar/registar/registrar/registar/inscrever/registrar/recrutar/registar/registrar
experiência	instrução/educação
moeda	moeda/cobre/dinheiro/moeda/divisa/sistema_monetário
agente	representante
mota	veículos_motorizados
inicial	letra/caractér/carácter/caracter
acumular	manter/guardar/segurar/reter/arranjar/dispor
radical	indivíduo/pessoa/alguém/ser_humano/alma
restrição	confinamento
funcionar	operar/funcionar
capacidade	habilidade
resposta	resposta/afirmação/declaração
passagem	seção/parte
consumidor	consumidor
entender	conhecer/saber/entender
margem	limite/margem_interior/fronteira/borda/encosta/ladeira/subida/costa/declives/declive
aborto	terminação/termino/conclusão
índice	lista/listagem/lista_numerada
demonstrar	mostrar/apresentar
instrutor	educador/educacionista/pedagogo
analisar	seleccionar/escolher/selecionar
massa	corpo
concordar	igualar/equivaler/acordar/concordar/concordar/aprovar/consentir/aceitar
máquina	motor/motores/maquinaria/máquina/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
prado	terreno/campo
conhecimento	informação/conhecimento/habilidade/característica_psicológica
companheiro	conhecido/amiga/camarada/amizade/amigo
reportagem	artigo/notícias/notícia
vila	municipalidade/município/comunidade
extensão	extensão/alcance/extensão/alcance/grandeza/número/magnitude/grandeza/número/magnitude
saber	aperceber/entender/perceber/aperceber-se
trazer	mostrar/apresentar/transportar/levar/carregar/transportar/levar/carregar
modificação	ocorrente/acontecimento/ocorrência
aspecto	qualidade/aspecto/aparência/semblante
teto	proteção/capa
residência	endereço/alojamento/abrigo/casa
realidade	realidade/realidade/experiência
intensificar	aumentar/ampliar/progredir
diferença	número
norma	concepção/idéia/conceito/ideia
transação	transação/ação_em_grupo
relacionar	raciocinar/cogitar/pensar/refletir
entrada	recompensa/pagamento/mensagem/assunto/tópico/conteúdo/caminho/rodovia/via/estrada/caminho/acesso/estrada/abordagens
transmissão	mensagem
maneira	efetuação/execução/realização/implementação
defensor	indivíduo/pessoa/alguém/ser_humano/alma
turismo	industria/comércio/negócio/empresa
zona	desordem/bagunça/região/área
montar	ascender/subir
composição	propriedade/atributo
ajudar	suportar/ajudar/apoiar/ajudar/assistir/auxiliar/socorrer/solidarizar_se/acorrer
estimular	fazer/causar/provocar/criar
atenção	faculdade/talento
punição	penalidade/penalização/castigo/punição/controle_social
escândalo	problema
tratamento	gestão/administração
elevar	deslocar/mover
tarefa	projeto/tarefa/trabalho/tarefa
independência	independência/liberdade
expressão	idioma
equipamento	apetrecho/equipamento/instrumento/equipamento/ferramenta
caminho	fronteira/fronteira/estrada/caminho/via/estrada/caminho/via/caminho/rodovia/via/estrada/efetuação/execução/realização/implementação/trâmite/curso_de_ação/conduta/curso/caminho/corrente/acção/ação/atividade/ato
perspectiva	orientação
fronteira	limite/margem_interior/fronteira/borda/limite/fronteira/fronteiras/limite/fronteira/fronteiras/limite/fronteira/fronteiras
acesso	direito/direito
reconhecimento	aplauso/aprovação
câmbio	ação_em_grupo
concentrar	raciocinar/cogitar/pensar/refletir
perda	custo
mensagem	comunicação/mensagem/idéia_abstrata/entidade_abstrata/abstração
semestre	período
aluno	estudante/indivíduo/pessoa/alguém/ser_humano/alma/indivíduo/pessoa/alguém/ser_humano/alma
localizar	achar/determinar
efetuar	conseguir/atingir/ser_bem_sucedido/suceder
distribuir	oferecer/dar_de_presente/dar/regalar/entregar
discriminação	controle_social
sangue	fluidos_corporais/fluidos_corporais
vender	trocar
preferir	avançar/promover
morrer	virar/mudar/tornar
contexto	ambiente
sugestão	proposta/evidência/indicação
caixa	recipiente/contentor/contêiner/recipiente/contentor/contêiner/caixa
risco	empreendimento_de_risco
explicar	esclarecer/explicar/informar
exame	comunicado/comunicação/uma_comunicação/investigação
imagem	afiguração/imagem/ilustração/figura/desenho/representação/afiguração/imagem/ilustração/figura/desenho/representação/afiguração/imagem/ilustração/figura/desenho/representação
clima	fenômeno_atmosférico
bicho	ser/organismo
bandeira	emblema/naipe/emblema/naipe
doutrina	crença/opinião/fé/convicção
derrubar	descer/baixar/cair/forçar/empurrar
falar	iniciar/abordar/encetar/verbalizar/exprimir/proferir/expressar/transmitir/comunicar
alvo	objecto_mental
rosa	arvoreta/arbusto/moita/mato/arvoreta/arbusto/moita/mato
fábrica	planta/fábrica/usina
desejar	ansiar/desejar/querer
definição	explicação/explanação
água	líquido
superar	estar/ser
palavra	promessa/vocábulo/termo/verbo/palavra/unidade_da_linguagem/unidade_linguística
governar	governar/reger
operar	manusear/manejar/manipular
vigor	força/violência
seminário	curso/aula/curso/aula
mecanismo	equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
figura	afiguração/imagem/ilustração/figura/desenho/representação/afiguração/imagem/ilustração/figura/desenho/representação
crescer	mudar_a_dimensão
competência	habilidade/habilidade
natureza	universo/cosmo/criação/mundo/qualidade/causa/causador
torres	estrutura/tecido/edifício
geração	pessoal/população/povo/gente
propósito	meta/alvo/intenção/objectivo
cooperação	hábito/costume
carteira	recipiente/contentor/contêiner
financiar	financiar/manter
favorecer	avançar/promover
resolução	decisão/tomada_de_decisão/decisão/resolução
consumo	demanda/pedido/função_corporal/atividade
comerciante	empresário/empresário
vítima	infortunado/desventurado/desafortunado
introduzir	informar
criança	descendente/descendência/filho
noite	jornada/dia/tempo/etapa/período
vencedor	competidor/contendor
filosofia	crença/opinião/fé/convicção
examinar	examinar/analizar
reforçar	leccionar/instruir/ensinar/lecionar
associar	raciocinar/cogitar/pensar/refletir
fator	causa
ordenar	organizar/impetrar/mandar/intimar/ordenar
tio	parente
termo	afirmação/declaração/vocábulo/termo/verbo/palavra/unidade_da_linguagem/unidade_linguística
interromper	parar/interromper
regra	lei_da_natureza/lei/concepção/idéia/conceito/ideia/processo/procedimento
exilar	expulsar
executar	penalizar/punir/castigar/o_fazendeiro_matou_um_porco_para_o_natal./matar
eixo	mecanismo
integração	ação_em_grupo
concentração	faculdade/talento/propriedade/atributo
cogitar	raciocinar/cogitar/pensar/refletir
classificar	limitar/restringir/julgar/avaliar/balizar
utilização	utilização/uso
tensão	inimizade/hostilidade
comprar	receber/obter/comprar/adquirir
cobertura	cobertura/capa
recomendar	enaltecer/louvar/elogiar
marcha	mecanismo/treinamento/preparação/treino
instrução	objecto_mental/atividade/ocupação
face	superfície
sítio	gleba/terreno/região/oficina/laboratório/emprego/locais_de_trabalho/trabalho/calculadora/computador
primo	parente
memória	representação/conceitualização/representação_mental/faculdade/talento/hardware
ferro	metais/metais/metal/metais/metais/metal
dominar	influir/influenciar
regular	acertar/ajustar/corrigir
pensamento	objecto_mental
escritor	comunicador
acrescentar	mudar_a_dimensão
minoria	número
autorização	aplauso/aprovação
circulação	acúmulo/aglomeração/colecção/coleção
regressar	viajar/ir/caminhar/andar
acontecer	transformar/transmutar/mudar
convencer	persuadir
cidadão	súdito/cidadão
página	folhas/folha
evento	ocorrente/acontecimento/ocorrência
parlamento	assembléia_legislativa/legislatura/poder_legislativo
fórmula	afirmação/declaração/processo/procedimento
empenhar	consignar
redigir	transmitir/comunicar
valorização	classificação/categorização
avaliação	classificação/categorização
tarifa	taxa/custo/preço
situar	achar/determinar
infra-estrutura	estrutura/arquitectura/arquitectura_do_computador/artefato
opção	decisão/tomada_de_decisão
desvio	processo_natural/ação/atividade
levantar	deslocar/mover/descansar/repousar
eleitor	cidadão/cidadã
deus	ser_sobrenatural/espirito/ser_sobrenatural/espirito
notícias	informação/informação/programa/emissão
cenário	envolvente/entorno/ambiente/meio/cerque
sancionar	autorizar/permitir
determinação	firmeza
século	tempo/etapa/período/tempo/etapa/período/tempo/etapa/período
eleitorado	população/povo/gente
cuba	vaso/vasilha/vasilhame
conquista	acção/ação/atividade/ato
precisar	estar/ser
investir	mudar/modificar/alterar
cúpula	reunião/telhado/teto
impacto	consequência/conseqüência/resultado/fim/efeito/toque
fornecer	dar/entregar
avaliar	julgar/avaliar/balizar
empreendimento	distrito/território/domínio/comarca/districto/circunscrição/circunscrição_administrativa
tesouro	acúmulo/aglomeração/colecção/coleção
opositor	indivíduo/pessoa/alguém/ser_humano/alma
capítulo	seção/parte
recuperação	ato/ação/feito/acção
prorrogar	adiar
formular	exprimir/expressar/mostrar
suprimir	limitar/controlar/refrear
personalidade	personalidade/temperamento/pessoa/propriedade/característica/atributo/predicado
manobra	programa/atividade/ocupação
seguro	recompensa/pagamento
renovação	melhoria/melhora
ocupação	atividade/ocupação
fazendeiro	criativo/creador/criador
ajuda	doação/presente/dádiva/brinde/dom/auxílio/socorro/ajuda/assistência/atividade/ocupação
juventude	período_da_vida/época/período/coorte
cisão	divisão
armada	serviço_militar
minorias	número
gastar	pagar
catedrático	professor/acadêmico/professor_universitário
prédio	estrutura/tecido/edifício
bairro	bairro/vizinhança
programação	pensamento/idéia/conceito/opinião
periódico	jornal/imprensa/jornalismo
doce	prato
alternativa	decisão/tomada_de_decisão
mesquita	igreja/casadeoração/lugares_de_prática_religiosa/templo/igreja/casadeoração/lugares_de_prática_religiosa/templo
embarcar	proceder
ausência	necessidade/carência/falta
balanço	brinquedo/aparelho_mecânico
prejuízo	custo/alteração/mudança/variação/modificação
acentuar	exprimir/expressar/mostrar
canal	massa_de_água/água/corpo_de_água
direita	lugar/local/posição
acidente	acidente/ocorrente/acontecimento/ocorrência
versão	material_escrito/documentos/género/classe/espécie/tipo/variedade
madrugada	hora
aliado	associado/nação/república/país
introdução	seção/parte
referência	publicação/edição
colega	associado
postura	atitude
rodovia	estrada/caminho/via
reformar	melhorar/aperfeiçoar
melhoria	componente/parte
ceder	transferir
transição	transmutação/mudança/transformação
tortura	angústia/dor/dor/perseguição
participante	associado/competidor/contendor
busca	pesquisa/investigação/busca/procurar/buscar
volume	propriedades_acústicas
incentivar	encorajar/alentar/encorajar/alentar
suicídio	morte/homicídio/assassinato
tramitação	debate/discussão
expectativa	crença/opinião/fé/convicção
concorrência	ação_em_grupo
profissão	atividade/ocupação
forçar	forçar/obrigar/compelir/deslocar/mover
avô	avó/avós/avô
confronto	condição/situação/estado
visão	orientação
honra	justiça/honestidade
ciclo	repetição
abuso	maltrato
segmento	parte/porção
ilha	relevo_(geografia)/chão/terra_firme/terra/relevo/solo
vantagem	qualidade
recuperar	receber/obter/comprar/adquirir/melhorar
método	habilidade/habilidade
habitação	alojamento/abrigo/casa/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
rebelião	luta/conflito
depósito	capital/fundo/colocação/depósito/matéria/substância
cabo	barra/linha/fio/corda
valer	estar/ser
editora	empresas
veículo	veículos_motorizados/meios_de_transporte/modo_de_transporte/veículo
ferir	ferir/lesar/machucar/lesionar/doer/ferir/aleijar/machucar
empregador	chefe/líder
enfatizar	exprimir/expressar/mostrar
mãe	genitor/mãe/pai/progenitor/genitor
auxílio	atividade/ocupação
misturar	manusear/manejar/manipular/desordenar/bagunçar/mudar
hierarquia	organização
proposição	proposta/atos_da_fala/acto_de_fala/afirmação/declaração
filiação	ligação/relação
apelo	mensagem/assunto/tópico/conteúdo
achar	encontrar/achar/reganhar/conceber/conceitualizar/achar/determinar/julgar/avaliar/balizar
cobrar	calcular/contar/computar/contabilizar
casamento	estado_civil/família/cerimónia/cerimônia/festa/promessa/rito/ritual
mandar	transferir/transmitir/trazer
leilão	venda
atrair	tirar/puxar/arredar
sentir	aperceber/entender/perceber/aperceber-se
diplomata	servidor_público/funcionário/serventuário
depender	estar/ser
correção	melhoria/melhoramento
agricultor	criativo/creador/criador
característica	característica/carácter_distintivo/qualidade/propriedade/atributo/concepção/idéia/conceito/ideia/qualidade
pregar	palestrar/falar
disciplina	base_de_conhecimento/saber/conhecimento
planejar	imaginar/raciocinar/cogitar/pensar/refletir
mineral	materiais
ler	compreender/entender
evolução	processos_biológicos/processos_biológicos
instância	ocorrente/acontecimento/ocorrência/informação/conhecimento
jurista	profissional_liberal/profissional/servidor_público/funcionário/serventuário/juiz/árbitro/adjudicator
incidente	ocorrente/acontecimento/ocorrência
lembrar	informar/pensar/lembrar
ensaio	material_escrito/documentos/exercício/prática
pecuária	mamífero_placental/mamífero/cultivo
hipótese	concepção/idéia/conceito/ideia
diminuir	reduzir/diminuir/mudar_a_dimensão/mudar/modificar/alterar
comarca	regiões/região
parcela	divisão/repartição
inimigo	pessoal/população/povo/gente/indivíduo/pessoa/alguém/ser_humano/alma
debater	discutir
teologia	campo/domínio/disciplina
guarda	security_office/guarda/guardião/protetor/defensor/guarda
acatar	obedecer
abranger	continuar/estender/incluir/abarcar/conter
retirada	abjuração
refletir	raciocinar/cogitar/pensar/refletir
qualificar	servir/bastar/ser_suficiente
falecimento	alteração/mudança/variação/modificação
aniversário	dia
questionar	questionar/perguntar/ruminar/ponderar/cogitar/especular/contemplar/refletir
prêmio	doação/presente/dádiva/brinde/dom
esfera	ambiente/forma_redonda
pretensão	anseio/apetite/pretensão/desejo
mata	relevo_(geografia)/chão/terra_firme/terra/relevo/solo
colocação	atividade/ocupação
preferência	afeição
graduar	receber
corresponder	igualar/equivaler/igualar/equivaler
pensão	atribuição
patrimônio	possessão/propriedade
exposição	acúmulo/aglomeração/colecção/coleção/apresentação/exibição
estágio	tempo/etapa/período
antecipar	julgar/avaliar/balizar
preconizar	enaltecer/louvar/elogiar
estação	tempo/etapa/período
repórter	comunicador
cadeia	empresa/organização_empresarial/limitação/restrição
tráfico	comércio/mercantilismo/comercialismo
restringir	limitar/controlar/refrear/conter/limitar/restringir
porta-voz	proponente/representante/advogado/defensor
documentação	material_escrito/documentos
terreno	gleba/terreno/região
consenso	consenso/acordo/acordo/paz/harmonia/concórdia/conformidade/aplauso/aprovação
mina	buracos_escavados
esclarecer	informar
literatura	material_escrito/documentos
concepção	pensamento/idéia/conceito/opinião/criatividade/criatividade/transa/sexo
monte	elevação/elevação/acúmulo/aglomeração/colecção/coleção
durar	medir
cerimônia	acontecimento/festa
expor	mostrar/apresentar/zoar/rir/pagodear/ridicularizar/sacanear/zombar/mangar
publicidade	mensagem/assunto/tópico/conteúdo
inspirar	encorajar/alentar
promessa	atos_da_fala/acto_de_fala/afirmação/declaração
observador	indivíduo/pessoa/alguém/ser_humano/alma
esperança	expectativa
destino	final/fim
conclamar	encorajar/alentar
sinal	recompensa/pagamento/sinal/mudança/comunicação/mensagem/comunicação/mensagem
imprimir	escrever
absolver	pronunciar/julgar/rotular
compreender	incluir/abarcar/conter/conhecer/saber/entender
açúcar	adoçante
preservar	cozinhar/preparar
gerente	líder/responsável/cabeça/chefe/liderança/gerente/administrador
afetar	mudar/modificar/alterar
província	divisão_territorial/divisão_administrativa/distrito_administrativo
ponta	convexidade/final/fim
duração	tempo/etapa/período
mencionar	falar/contar/dizer/referir/mencionar
projetar	imaginar
voluntário	trabalhador
tática	programa
obstáculo	dificuldade/obstáculo/problema/obstrução/impedimento/obstáculo/obstrução/impedimento/obstáculo
concreto	material_de_construção/materiais_de_construção
atravessar	continuar/estender/viajar/ir/caminhar/andar/perfurar/furar
altura	propriedades_acústicas
alertar	informar
requerimento	mensagem/assunto/tópico/conteúdo
pacote	acúmulo/aglomeração/colecção/coleção/recipiente/pacote/embalagem/recipiente/pacote/embalagem
ar	gás/gás
pensar	imaginar/julgar/avaliar/balizar
equilíbrio	situação/condição/posição/espaçamento
trocar	trocar/mudar/modificar/alterar
simpatia	tendência
parágrafo	material_escrito/documentos
ouvir	aperceber/entender/perceber/aperceber-se/aperceber/entender/perceber/aperceber-se
importar	estar/ser/comerciar
diálogo	conversação/conversa
círculo	oval/elipse
administrador	líder/responsável/cabeça/chefe/liderança/líder/responsável/cabeça/chefe/liderança/gerente/administrador
domínio	ascendencia/controle/dominancia/superioridade/domínio/ascendencia/controle/dominancia/superioridade/domínio/ambiente/regiões/região/base_de_conhecimento/saber/conhecimento
atrito	confronto/recontro/conflito
comportamento	jeito_pessoal/maneira_pessoal/atividade/ocupação
química	materiais/ciências_físicas/ciências_naturais/ciência
passado	tempo
chegada	ocorrente/acontecimento/ocorrência
recolher	receber/obter/comprar/adquirir
letra	grafema/letra
desemprego	condição/situação/estado
ocupante	habitante/morador
lobo	cão/canídeo
extremo	grau
cair	inclinar/declivar/descer/baixar/cair/viajar/ir/caminhar/andar
somar	enumerar/contar
parente	indivíduo/pessoa/alguém/ser_humano/alma
gráfico	comunicação_visual/comunicação_visual/comunicação_visual/comunicação_visual/mapa
cobrir	cobrir/tampar/iniciar/abordar/encetar
avançar	delegar
recusa	negação
padrão	alternativa/opção/escolha/intercorrência/eleição
expressar	exprimir/expressar/mostrar
antecessor	parente
ultrapassar	ganhar_terreno
álcool	bebida
ideologia	orientação
traduzir	reiterar/redizer/repetir/reapresentar
tiro	impulsão/propulsão
horário	intervalo_de_tempo/tempo/intervalo/lista/listagem/lista_numerada
espécie	táxon/taxón/taxon/taxon/táxon/taxón/taxon/taxon
esporte	recreaçao/diversão
descobrir	encontrar/achar/reganhar/mostrar/apresentar/conceber/conceitualizar
tributo	imposto/aplauso/aprovação
ramo	caule/tronco
fornecimento	atividade/ocupação
dispensar	dar/entregar
rever	lembrar/relembrar/recordar
infância	período_da_vida/época/período/período_da_vida/época/período
erro	imperfeição/defeito/falha/insucesso
aeroporto	aeroporto/aeródromo
repetir	reproduzir
docente	educador/educacionista/pedagogo
desaparecer	desaparecer/sumir
advertir	informar
batalha	ação_em_grupo/luta/conflito/batalha/combate/empenho/esforço
pauta	lista/listagem/lista_numerada
lago	lago/massa_de_água/água/corpo_de_água
barra	suporte/encosto/apoio/instrumento/ferramenta/implemento
solicitação	mensagem/assunto/tópico/conteúdo
dono	homemdenegócios/homem_de_negócios/empresário/negociante/comerciante
converter	alterar/mudar
armamento	aparelho/ferramenta/instrumento
fileira	bicha
arte	talento/habilidade/meta/técnica/criação
ambulância	auto/veículo/carro/automóvel/viatura
adiar	adiar/esperar/reter/aguardar/ociosidade
treinamento	atividade/ocupação
restauração	melhoria/melhora
divisa	moeda/cobre/dinheiro/moeda/divisa/sistema_monetário
senhora	mulher
assistir	suportar/ajudar/apoiar/ajudar/assistir/auxiliar/socorrer/solidarizar_se/acorrer
agenda	lista/listagem/lista_numerada/lista/listagem/lista_numerada
pesar	mágoa/pesar/tristeza/desgosto/dor/tristeza/pesar/medir/estar/ser/mensurar/quantificar
perigo	empreendimento_de_risco
aula	reunião
potencial	possibilidade/chance
ponte	estrutura/tecido/edifício
melhorar	melhorar/aperfeiçoar/melhorar/mudar/modificar/alterar
diários	material_escrito/documentos
vontade	faculdade/talento
afirmação	atos_da_fala/acto_de_fala
estilo	elegância
teoria	suposição/possibilidade/hipótese/teoria/concepção/idéia/conceito/ideia
requerer	estar/ser/exigir/demandar/transmitir/comunicar
insurreição	luta/conflito
devolver	viajar/ir/caminhar/andar
circunstância	ambiente/informação/conhecimento
amizade	ligação/relação/indivíduo/pessoa/alguém/ser_humano/alma
peça	moeda/parte/porção
conversa	debate/discussão/conversação/conversa/idioma
consciência	moralidade/moral/ética/morais
teatro	comunicado/comunicação/uma_comunicação
palestra	discurso
especialista	intelectual/intelecto/especialista/indivíduo/pessoa/alguém/ser_humano/alma
progresso	desenvolvimento
onda	movimento
foro	reunião/documento/documentação
conversação	idioma
algodão	pano/tecido/fazenda/têxteis/tecido_têxtil
aparelho	equipamento/ferramenta/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
anúncio	afirmação/declaração/mensagem/assunto/tópico/conteúdo
doação	aquisição/doação/doação
comentar	falar/contar/dizer
cachoeira	massa_de_água/água/corpo_de_água
começo	momento/instante/componente
peso	unidade/medida/unidade_de_medida/medição/propriedades_físicas/propriedade_física/equipamento_de_esportes/equipamento_esportivo
arquitetura	campo/domínio/disciplina
procedimento	procedimento_legal/procedimento_legal/atividade/ocupação
parque	gleba/terreno/região
igual	indivíduo/pessoa/alguém/ser_humano/alma
bomba	equipamento_militar/arma/armamento/munição/aparelho_mecânico
edifício	estrutura/tecido/edifício/artefato
aspiração	anseio/apetite/pretensão/desejo/disposição
morto	objeto_natural/objeto_natural
faixa	caminho/estrada/trilha/decoração/ornamento
contornar	tocar/encostar
ritmo	tacto
doutor	médico
carro	veículos_motorizados
relacionamento	condição/situação/estado
diminuição	alteração/mudança/variação/modificação/mudança_de_magnitude
bolsa	apoio_financeiro/ajuda_financeira/ajuda/recipiente/contentor/contêiner
riqueza	recurso_material/recurso_material
respeitar	achar/considerar/ver
quantidade	concepção/idéia/conceito/ideia
esposo	esposa/esposo/marido/cônjuge/cónjuge/consorte/parente
empresas	empresa/organização_empresarial
poesia	género_literário/gêneros_literários/gênero_literário
futebol	jogo_de_futebol/futebol
fugir	escapar/evadir-se/fugir
marinheiro	trabalhador_especializado
desejo	anseio/apetite/pretensão/desejo
reprimir	limitar/controlar/refrear
assalto	furto/roubo/assalto
artista	intérprete/criativo/creador/criador
prolongar	aumentar/crescer
desafio	situação/condição/pergunta/questão/inquérito
casal	estado_civil/par/dupla/família
palmeira	árvore
imigração	migração
fórum	reunião
fruto	fruta
consequência	fenômeno/fenómeno
atraso	ociosidade
marido	esposa/esposo/marido/cônjuge/cónjuge/consorte/parente
sentença	processo_legal/devido_processo_legal
ofício	atividade/ocupação
merecer	estar/ser
coincidir	acontecer/ocorrer/suceder/passar
ofensiva	manobra/operação
regulamento	concepção/idéia/conceito/ideia
comentário	afirmação/declaração
sindicalismo	organização
alimentar	encorajar/alentar/servir/fornecer/prover/provisionar/abastecer
proclamação	afirmação/declaração
litoral	orla/litoral/costa
cédula	documento/documentação
camada	região/cobertura/capa
língua	linguagem/discurso/idioma/língua/órgão_biologico/órgão/comunicação/mensagem
apreender	segurar/agarrar/capturar/pegar
recomendação	proposta
proporção	relação_de_grandeza/grandeza/número/magnitude/posição/espaçamento
projeção	comunicação_visual/comunicação_visual
cálculo	preparação/planejamento
proteger	defender
porta	abertura
humanidade	qualidade
acertar	mudar/modificar/alterar
quebrar	dividir/separar/quebrar/romper/separar/dividir/desmoronar/alterar/mudar
falência	insolvência/procedimento_legal/procedimento_legal
feira	reunião/apresentação/exibição
suspeito	indivíduo/pessoa/alguém/ser_humano/alma
secretária	servidor/criado/assistente/ajudante/mesa
sanção	aplauso/aprovação
vara	barra/instrumento/ferramenta/implemento
dimensão	grandeza/número/magnitude/grandeza/número/magnitude/grandeza/número/magnitude
deliberação	preparação/planejamento
conservar	cozinhar/preparar
rejeição	ato/ação/feito/acção
privar	reter/conter
preocupar	emocionar/disturbar/perturbar
despertar	virar/mudar/tornar
compensação	retificação/correção/retificação/correção
urgência	crise
perseguir	perseguir/perseguir
jazida	área/região/território/ambiente
incumbência	obrigação/dever
hostilidade	acção/ação/atividade/ato/condição/situação/estado
automóvel	veículos_motorizados
jardim	terreno/campo/cobertura_vegetal/flora/vegetação
estoque	mercadoria/artigo/produto
esposa	mulher/esposa/esposo/marido/cônjuge/cónjuge/consorte/parente
justificativa	consideração/circunstância
contrair	estreitar/apertar
escapar	escapar/evadir-se/fugir
cinema	meios_de_comunicação/mídia/teatro/casa/bens/produção/produto
assento	região_de_espaço/assento/cadeira/mobiliário/alfaia/movéis/móvel/mobília
tirar	deslocar/mover/transportar/levar/carregar/tirar/remover/retirar/tirar/remover/retirar
vizinho	indivíduo/pessoa/alguém/ser_humano/alma
remunerar	pagar
mão-de-obra	trabalho/tarefa
floresta	relevo_(geografia)/chão/terra_firme/terra/relevo/solo/locação/ponto/lugar/localização
aço	liga_metálica/ligas_metálicas/liga/ligas_metálicas
adolescente	menor/juvenil/jovem
ônibus	transporte_público/transportes_públicos/transportes_públicos/transporte_publico
passageiro	turista/viajante
conciliar	acordar/concordar
sufocar	limitar/controlar/refrear/sofrer/doer
seleção	miscelanea/potpourri/mistura/encepamento
violação	delito/transgressão
recessão	crise
praia	formação/formação_geológica
mestre	educador/educacionista/pedagogo/artista
rumor	fofoca/bisbolhetice/bisbilhotice
evidenciar	informar
