ser	rosto/anatomia/célula/cabeça/pescoço
nêspera	ameixa
cona	uretra/grelo/lábio/clitóris/clítoris/berbigão
pélvis	cóccix/ilíaco/sacro/ísquio/púbis/quadril
terabyte	gigabyte
manjericão	basílico
encéfalo	tronco_cerebral
cabo-verde	praia
abacaxi	ananás
granja	quinta
braça	jarda
lauda	margem/paginação
tevê	som/monitor/televisor/video/televisão/vídeo/tv
boteco	bar
apiário	cortiço
milimetro	micrómetro
astronave	módulo/camarote
gelosia	grelha
rúpia	centavo/cêntimo
stone	libra
soprador	jante
caribe	domingos/haiti/cuba
mesozóico	cretáceo/jurássico
chibata	látego/chicote
limeira	limão
moçambique	beira
abdômen	abdómen/umbigo/barriga/intestino
gol	barra
gládio	lâmina/punho/cabo/pico/ponta
joalheria	pedra/gema
artrópode	tórax/concha/carapaça/cutícula
paleozóico	carbonífero
vulva	uretra/grelo/lábio/clitóris/clítoris/berbigão
falo	glande/uretra/prepúcio
litosfera	crosta/manto/superfície
mamão	papaia
israel	acre
brida	rédea/bocado/bocal
dc	capitólio
machimbombo	janela/teto
tamareira	tâmara
romãzeira	romã/granada
aríete	corno/chifre
ungulados	canela/pata/casco
microssegundo	nanosegundo
micrómetro	nanómetro
decalitro	l/litro
ameixeira	ameixa
eme	ene
sombreiro	copa
cardigan	cremalheira
inflorescência	bráctea
artelho	astrágalo
espinhaço	vértebra/cóccix
gigabit	megabit
mezzanino	camarote
croácia	split
mb	kilobyte
furador	ponta
angiospérmicas	flor/floração
laminação	calceteiro
maléolo	astrágalo
sêmen	esperma/espermatozóide
decímetro	centímetro
joule	erg
brocha	trinco/alça/cabo
sus	pé/porco
pitanga	acerola
biciclo	cadeia/corrente/selim/pedal
quitanda	prateleira/estante
endro	aneto
elefanta	tromba
caminhão	portão/pára-choque/teto
córrego	vau/meandro
olfato	fossa_nasal/narina/venta
califórnia	sacramento/eureka
gilete	lâmina
brânquia	onça
pneumoconiose	fibrose
nalga	glúteo
corta-relva	lâmina
monastério	cela/scriptorium
playground	balancé/balanço/baloiço
aqualung	cilindro
aciaria	alto-forno
atuação	coda
gramado	meio-campo
veneziana	sarrafo/ripa
cavalo-vapor	watt
culote	braguilha
pc	microprocessador
anás	pato
guilder	centavo/cêntimo
atenas	areópago
cenozóico	quaternário/terciário
gaveteiro	caixa/gaveta/prateleira/estante
radiorreceptor	antena
abacateiro	abacate
espaçonave	módulo/camarote
embreagem	embraiagem
duto	arco
atadura	gaze
esparadrapo	gaze
goiabeira	goiaba
codorna	codorniz
calefacção	aquecedor/caldeira
decâmetro	m/metro
traqueostomia	ostomia
médio-oriente	levante/irã/kuwait/israel/síria
