o	autorização/letra/caractér/carácter
empreiteiro	construtor/constructor/contratador
cláusula	parte/capítulo
mineiro	obreiro/trabalhador/operário
escocês	europeu
interlocutor	menestrel
contentor	equipamento
fama	renome/bisbilhotice/reputação/fofoca/honra
poupança	eficiência
orador	alto-falante/locutor/palestrante/falante
gravura	impressão/arte
secretária	escrivaninha/servente/ajudante/servidor/assistente/adjunto/criado/liderança/responsável/cabeça/líder/chefe/mesa
finlandês	europeu
activista	reformador/cruzado
vingança	revanche/retribuição
palma	árvore
acusado	argüido/litigante/réu/ré/suspeito
táxi	carruagem/veículo/auto/viatura/automóvel/máquina/carro
décimo	classe/hierarquia/posição/posto
meia-noite	hora
bailarina	intérprete/bailarino/dançarino/dançarina
cais	molhe/ancoradouro/plataforma/porto
triplo	múltiplo
recado	excursão
vencimento	chegada/resultado/conclusão/término/fim/cabo
m	letra/caractér/carácter
leque	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
deus	divindade/deusa
esfera	produto/utensílio/artefato/bola/ambiente
consolidação	combinação/mistura
cofre	caixa-forte/caixa
ética	sistema/filosofia/intenção/motivo/motivação/necessidade
adjudicação	juízo/julgamento
socialismo	ideologia
etnia	conjunto/grupo
informática	engenharia/tecnologia
arqueólogo	antropólogo/antropóloga/antropologista
supermercado	empório/quitanda/mercadinho/feira/mercado
interrogação	inquérito/oração/sentença/frase/pergunta/questão
lixeira	balde/tonel
antecipação	esperança/raciocínio/argumentação
regata	camisa
show	barco/visão/atuação/emissão/programa
novela	história/estória/conto
demolição	destruição/conclusão/fim/resultado/chegada/devastação
rotina	procedimento/processo
actualização	informação
gato	felino
felicidade	humor/espírito/sentimento/emoção/impressão
fortuna	tesouro/fenômeno/fenómeno
mão-de-obra	tarefa/trabalho
rosa	cor-de-rosa/arbusto/moita/mato
infecção	mensagem/incidente/evento/comunicação
monopólio	superioridade/mercado/domínio
fixação	ligação
imposição	fardo/carga/preocupação
espólio	compra/aquisição
plantel	prédio/edifício
impulso	força/empurrão/forca/intenção/motivo/motivação/necessidade/violência/propulsão/impulsão
perturbação	turbulência
gado	mamífero/bovinos
iluminação	luminosidade/estado/situação/condição
norueguês	europeu
equívoco	insucesso/falha
rapidez	condição/ritmo/estado/situação/passo
biografia	crônica/crónica
remuneração	recompensa
mentalidade	atitude
mediador	artista
natal	tempo/festividade/temporada/estação
juízo	idéia/ideia/perspicácia/opinião/pensamento/acção/ação/ato/feito
óleo	gordura/lípido/petróleo
reprodução	cópia/figura/ilustração/desenho/imagem/representação/sexo/transa
finalista	opositor/competidor/rival/contendor/inimigo/adversário/concorrente/desafiante
fluxo	concentração/densidade/velocidade/ritmo
matemática	ciência
feita	hora
mediação	intervenção/conversa/tramitação/negociação/pessoal/estado-maior
brisa	aragem/maresia/zéfiro/vento
contenção	amarra/limitação
tinta	capa/colorante/cor
ficheiro	registro
nacionalismo	doutrina/filosofia/lealdade
portador	turista/mensageiro/viajante
passaporte	qualidade/consentimento/consenso/autorização/aprovação/sanção/característica
ocupante	morador/habitante
câmbio	tarifa
estátua	escultura
difusão	atividade
embalagem	continente/contentor/caixa/jarro/vaso/vasilha
hostilidade	ação/inimizade/repulsa/ressentimento/condição/estado/situação/aversão/ódio/ato/atividade
pressuposto	postulado
legislatura	período/assembléia
barulho	som
molde	modelo/exemplar/exemplo/continente/contentor/caixa/jarro/vaso/vasilha
turma	grupo/conjunto
oposto	oposição
moto	motocicleta/mota
cimento	formigão/betão/concreto
capela	igreja/templo
veto	eleição/poder/votação/voto
pesadelo	sonho
crónica	registro
coroa	símbolo/simbolo/aceno/emblema/sinal
sorteio	rejeição
assento	alfaia/cadeira/apoio/suporte/encosto/mobiliário/movéis/mobília/móvel
admissão	reconhecimento/ingresso/entrada
tela	superfície/capa/fronha
progressão	sequência/deslocamento/movimento/traslado/série
fragilidade	vulnerabilidade/debilidade
índio	metal
divórcio	separação
dente	projeção/osso
variedade	discordância/raça/diferença/tipo/género/categoria/classe
descrição	raça/caraterização/caracterização/declaração/tipo/género/categoria/classe
sinistro	demanda/procura
burocracia	organização/administração
azar	infortúnio/fenómeno/fenômeno/ensejo/sorte/problema/sina/destino/acidente
funeral	cerimónia/festa/cerimônia/enterro
tortura	angústia/dor/perseguição
telespectador	espectador/observador
lágrima	pérola/gota
angústia	sofrimento/sentimento/dor/emoção/impressão
peito	tórax/anatomia/colo
peão	servente/obreiro/turista/viajante/ajudante/servidor/assistente/adjunto/criado/trabalhador/operário
socorro	auxílio/ajuda/assistência/ocupação/atividade
manipulação	contato/efeito/toque
confederação	união
subscritor	comprador/cliente/consumidor/freguês
quadrado	retângulo/rectângulo/número
secretaria	governo/agência/escritório/posto/cargo/posição
correspondência	compatibilidade/semelhança
cerco	bloqueio
ânimo	personalidade/caráter
trégua	paz
lenda	título/estória/conto/narrativa/história/narração
bronze	ornamento/escultura/adorno/decoração/ornato
anulação	cancelamento/converter
afeto	sentimento/emoção/impressão
patrocínio	suporte/apoio
caçador	buscador/alma/indivíduo/alguém/pessoa
arroz	cereal
fidelidade	exactidão/lealdade/qualidade/exatidão/correção/rigor/precisão
artéria	estrada/rua
máscara	cobertura/fronha/capa/disfarce
esposa	marido/cônjuge/esposo/consorte/colega/homem/mulher/parente/cara-metade
auditoria	contabilidade
porco	suíno/vianda/carne/ungulados
tóxico	substância
controvérsia	discórdia/desacordo/discrepância/discussão/querela/disputa/discordância
espanhola	europeu
enclave	terra/domínio/território/circunscrição/país/distrito/condado/comarca
nono	classe/hierarquia/posição/posto
pedaço	fragmento/bocado/coisa/tomo/secção/peça/porção/parte
toiro	vacum/gado/bovinos/vaca
brincadeira	humor/diversão
falsificação	delito/ofensa/reprodução/cópia/contrafação/crime/transgressão
alarme	ferramenta/informação/sinal/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
extremista	radical
recital	oratória/atuação
viaduto	ponte
processador	hardware
confissão	admissão/documentação/documento/penitência
repartição	distribuição
coreografia	notação/espectáculo/show/baile/dança
detrimento	avaria/dano/estrago/prejuízo
horror	abominação/repulsa/asco/náusea/repugnância/nojo/aversão/ódio
retorno	atividade/resultado/compra/chegada/custo/vinda/deslocamento/movimento/traslado/resposta/aquisição
gerente	gestor/liderança/responsável/cabeça/líder/chefe/dirigente/director/diretor/administrador
grama	campo/terreno/erva/gramínea
tolerância	licenciamento/atitude/temperamento/disposição/habilitação/licença/permissão
seca	período/etapa/tempo/aridez/secura
ascensão	deslocamento/movimento/traslado
chapéu	parte/vestido/traje/vestimenta/vestuário/roupa/fragmento
órbita	percurso/estrada/itinerário/caminho/rota/linha
adorar	adoração
camponês	caipira
pó	sólido
ampliação	ilustração/figura/imagem/retrato/desenho/fotografia/foto/melhoramento
doutor	acadêmico/médico/teólogo/estudioso/erudito/especialista
bastidor	tripé
design	esboço/desenho/croqui
cultivar	variedade
lago	oceano/água
paraíso	região
estrago	mudança/alteração/variação/modificação
citação	mandato/entrega/intimação/apontamento/anotação/nota/excerto/extrato/passagem/trecho/mandado
banda_desenhada	caricatura/cartoon
substituto	fato/dobro/agente/acontecimento/evento/servente/ajudante/servidor/assistente/adjunto/criado/equivalente
periódico	publicação/edição
probabilidade	qualidade/volume/medida/número/quantidade/quantia/magnitude
pilar	apoio/seguidor/edifício/suporte/encosto/tecido/estrutura
proeza	conquista/consumação/realização/façanha/feito
batata	pá/videira/cipó/parreira
colégio	escola/prédio/instituto/edifício
especializado	habilidade
esplanada	passeio
vestuário	cobertura/capa/vestido/traje/vestimenta/roupa
descanso	almofada/interrupção/suspensão/pausa
joelho	anca/coxa/articulação
sapato	vestido/calçado/traje/vestimenta/vestuário/roupa
rejeição	acção/ação/ato/feito
fita	banda/gravação
mala	compartimento/caixa/bagagem/embrulho
infracção	ofensa/crime
pessimista	cético
cardeal	bispo
feito	conquista/consumação/façanha/realização/evento/acontecimento/fato/ação/ato/atividade
imigração	grupo/migração/comunidade
instante	minuto/segundo/volume/medida/número/quantidade/quantia/magnitude/tempo/época/período/momento/era
naval	azul
suplemento	acrescentamento/aumento
basco	europeu/linguagem/idioma/língua
academia	instituição/escola/instituto/colégio
complexidade	qualidade
i	letra/caractér/carácter
tradutor	poliglota/programa/intercessor/mediador
antecessor	parente
consoante	fonema/fone/letra/caractér/carácter
detalhe	discussão/verdade/facto/discurso
conforto	riqueza/assistência/socorro/ajuda/estado/situação/condição
solidão	temperamento/tristeza/incomunicação/disposição/isolamento/pesar
perdão	gentileza/compaixão/clemência/mandado/delicadeza/amabilidade/misericórdia/bondade
pecado	transgressão
contingente	reunião
chumbo	metal
guitarrista	tocador/instrumentista/instrumentalista/músico
delito	ocupação/atividade
búlgaro	europeu/eslavo
totalizar	quantidade/número/soma
primo	parente/número
fórum	instalação/infra-estrutura/serviço/reunião
loucura	mania/estupidez/psicopata/psicopatia
resumo	sinopse/declaração/descrição/sumário
gelo	cristal
farmácia	loja
farmacêutico	médico
desgraça	vergonha/desonra
variável	coisa/símbolo/soma/número/quantidade/simbolo/aceno/emblema/sinal
ficha	disco
balança	báscula/metro
tenda	refúgio/asilo
convento	claustro
fraqueza	impotência
funcionária	trabalhador/moça/garota/rapariga/mulher/senhorita
fantasia	imaginação/anseio/literatura/ficção/mal-entendido/erro/apetite/pretensão/desejo
iate	embarcação/navio/barco
caravana	romaria/procissão
rubrica	encabeçamento/explanação/título/explicação
colheita	rendimento/reunião/período/tempo/estação
desilusão	edificação
j	letra/caractér/carácter
visto	autorização/aprovação/sanção/consentimento/imprimatur
amiga	mulher/camarada/amigo/conhecido/amizade/alma/indivíduo/alguém/pessoa
falecido	alma/indivíduo/alguém/pessoa
pastor	pegureiro/operário/ordem/sacerdote/pároco/clérigo
lira	harpa
temporal	intempérie/chuva/tempestade/tormenta/vendaval/borrasca
ditador	autocrata/governador/governante/opressor
cidadania	conduta/procedimento/maneira/comportamento/conjunto/grupo
anexo	adição/melhoria
descentralização	espalhamento
indiferença	apatia/sentimento/emoção/impressão/langor
coerência	compreensibilidade/ligação/conexão
figurino	varão/macho/homem
combinação	sequência/cáculo/operação/montão/colecção/ruma/chusma/coleção/grupo/aglomeração
mancha	nódoa/equívoco/símbolo/simbolo/aceno/emblema/sinal/falha/erro/engano/defeito/sinalização
combatente	alma/indivíduo/alguém/pessoa
alojamento	auxílio/ajuda/assistência/socorro/edifício/tecido/estrutura
bacia	região/vasilhame/vasilha/vaso
arco	entrada/esqueleto/vara/faixa/curva/boca/edifício/tecido/estrutura/arma/pau/bastão/armamento
acumulação	crescimento/melhoramento/acréscimo/aumento/incremento/rendimento
sal	condimento/tempero
selo	timbre/prêmio/galardão/prémio/carimbo/sinete/símbolo/simbolo/aceno/emblema/sinal
avaria	prédio/mudança/edifício/alteração/variação/modificação
mata	floresta/bosque/vegetação/flora/bioma/terra/chão/solo/relevo
alienação	aversão
contabilidade	relação/extrato/função/registrador/registo/sistema/ligação/emprego/profissão/lugar/ofício/ocupação/trabalho/serviço
consultor	autoridade
maturidade	atributo/condição/estado/situação/época/período
betão	formigão/concreto/piso
eventualidade	ocorrência/evento/acontecimento/dependência
ferida	inchaço/traumatismo/lesão/mal/dano
incursão	esforço/tentativa
colisão	toque/acidente
doutrina	convicção/religião/opinião/fé/crença
circo	arena/pessoal/exibição/elenco/companhia/apresentação
visibilidade	transparência/clareza/claridade
fruta	semente/fruto
râguebi	futebol
criatividade	capacidade/talento/faculdade/habilidade
hino	canção/cantiga
inferno	região/problema
diocese	jurisdição
km/h	velocidade/ritmo
modernidade	elegância
camarada	alma/indivíduo/alguém/pessoa/amigo/conhecido/amiga/amizade
higiene	previdência
brilho	luz/inteligência/luminosidade
periferia	fronteira/limite/borda
examinar	investigação
convocação	assembléia/reunião
finalidade	objectivo/intenção/meta/alvo
estética	filosofia
agrupamento	ocupação/atividade
mesquita	igreja/templo
queijo	malva/laticínio/lacticínio
fragmento	bocado/natureza/peça/parte/tomo/pedaço/porção/secção
génio	inteligência/alma/espírito/fantasma
fã	amante/entusiasta
misericórdia	ajuda/benção/socorro/assistência/compaixão/piedade/bênção/humanidade
dia-a-dia	vida
colapso	projeção/ocorrência/evento/acontecimento
espanto	maravilha/sentimento/emoção/impressão/surpresa/admiração
preservativo	anticoncepcional
partilha	distribuição
artilharia	corpo/arma/armamento
lama	matéria/solo/terra/substância/clérigo/padre/sacerdote
solicitação	postulação/instância/requisição/requerimento/petição/abaixo-assinado/apelo
atelier	estúdio
faca	faqueiro/arma/armamento
prudência	sabedoria/sapiência/sagacidade/sensatez
contaminação	converter/impureza
riso	expressão/enunciado
nariz	símbolo/olfato/olfacto/simbolo/aceno/emblema/sinal
aparição	ilusão/alma
rocha	pedra/natureza
foz	formação
decurso	conclusão/término/fim/cabo
assassinato	homicida/assassínio/assassino/conclusão/homicídio
pioneiro	colonato/colona/colono
monstro	personagem/mutação/mutante
utopia	literatura/condição/ficção/estado/situação
calado	profundidade/fundura/profundeza
demora	interrupção/suspensão/pausa
vício	anseio
despedida	adeus/partida
inspetor	investigador/polícia/agente/policial/guarda
espectro	aparição/fantasma/array/ordem/escopo/alcance/alma
repercussão	movimento/fim/efeito/resultado
alívio	conforto/redução/diminuição
superioridade	estado/situação/condição
normalidade	conformidade/estado/situação/condição
bando	reunião
infraestrutura	estoque/arquitectura/estrutura
penalidade	perda
barroco	estilo
lema	encabeçamento/proposição/cambial/mote/expressão/locução/provérbio/ditado/idioma
grandeza	proporção/extensão/magnitude/atributo/razão/taxa/importância
asa	porção/melhoria/modo/adição/jeito/caminho/ferramenta/maneira/meio/órgão
parâmetro	fator/quantidade/referência/valor/número/soma
artesanato	obra/arte/ofício/profissão/trabalho
mente	objetivo/intelectual/intelecto/propósito/intenção/objectivo/finalidade/intento/conhecimento/noção/cognição/compreensão
animador	técnico
aparência	qualidade/rosto/semblante/aspecto
alegação	acusação/declaração/descrição/denúncia/arguição
petição	solicitação/requerimento/requisição/pedido/apelo
precisão	transparência/exatidão/correção/rigor/qualidade/exactidão/lucidez
mal-estar	desconforto/estado/situação/condição
controle	poder/modalidade/inspeção/ferramenta/habilidade/teste/inspecção/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/ocupação/atividade/disciplina
estatístico	matemático
enfermeiro	médico
bolo	aposta/pão/fornada
escalada	subida/elevação/ascensão
particularidade	qualidade
réplica	resposta/tremor/cópia/reprodução
noticiário	notícia/artigo
hesitação	intervalo/temperamento/disposição/relutância/pausa
telhado	capa/fronha/teto
desistência	renúncia
epidemia	ocorrência/evento/acontecimento/erupção/deflagração/surto/explosão
intermediário	empresário
falhanço	sorte/sina/destino
acta	ato
pescoço	rabo/traseiro
sensibilização	sensibilidade
península	terra/chão/solo/relevo
fileira	bicha
emigração	migração
requisito	responsabilidade/dever/coisa
aviação	física/travessia/viagem/indústria
libanês	asiático/asiática
trajecto	excursão
inocência	naturalidade/estado/situação/condição/ingenuidade/singeleza
suma	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
fôlego	ar
obra-prima	feito/obra/trabalho/conquista/consumação/façanha/realização
cavaleiro	turista/galopante/viajante
metodologia	epistemologia/método/técnica
urbanismo	planejamento
traição	ofensa/desonestidade/trapaceiro/crime/deslealdade
taxista	chofer/condutor/motorista/conductor
poço	estrada/buraco/oco
argumentação	raciocínio/ideia
jóia	decoração/ornamento/joalharia/joalheria
tristeza	desgosto/sentimento/emoção/impressão/mágoa/dor/pesar
milionário	potentado
preconceito	intolerância/parcialidade/partidarismo
excedente	porção/categoria/parte/componente
clareza	qualidade
consagração	santificação
matrícula	admissão/entrada/ingresso/acolhimento
ultimato	demanda
atacante	culpado
patrocinador	doador
embrião	flora/planta/vegetal/animal/criatura/bicho/ser/besta
camisa	blusa/vestuário/roupa
eficiência	poder/habilidade
ambiguidade	expressão/locução/provérbio/ditado/idioma
harmonia	compatibilidade/música/pacto/acordo/aliança/aprovação/consenso/conformidade
abate	tarefa/trabalho
monarquia	autocracia/ditadura/despotismo
táctica	programa
mosteiro	claustro
altitude	altura/dimensão/magnitude/amplidão/extensão/distância
frustração	irritação/decepção/impedimento/desapontamento/interferência
conversão	mudança/cálculo
especificidade	particularidade
acampamento	reunião/casa/quartel/habitação/locação/lugar/sítio/abrigo/alojamento
ambulância	veículo/auto/viatura/automóvel/máquina/carro
meio-dia	hora
desgaste	perda
armador	amo/dono/proprietário/possuidor
ribeira	córrego
prostituta	adúltero/cortesã/mulher_pública/puta/rapariga/quenga/meretriz/rameira/devassa/mulher
congressista	legislador
magia	interpretação/apresentação
estímulo	conhecimento/informação/estimulante
óptica	física
78	disco
ladrão	gatuno/ladra/criminoso
cortejo	romaria/procissão
calça	vestuário/roupa
alumínio	metal
cave	andar/piso/pavimento
nascente	fonte/formação/lugar/procedência/manancial/raiz
invenção	mentira/criação/criatividade/falsidade
cereal	alimento/erva/relva/grama
brinquedo	produto/utensílio/artefato
escavação	locação/lugar/sítio
liceu	hall
cruz	edifício/sinalização/tecido/estrutura/naipe/emblema
sinalização	ornamento
filósofo	acadêmico/estudioso/erudito/especialista
interface	superfície
traseira	anatomia
proteína	macromolécula
veleiro	embarcação/navio/barco
insucesso	acção/ação/ato/feito
esquecimento	amnésia/ignorância
subscrição	pacto/acordo/aliança/aprovação/consenso/conformidade
crença	opinião/ideia/conceito/pensamento/idéia
negligência	insucesso/equívoco/ausência/delito/erro/engano/falha/perda/derrota/transgressão
caudal	tiro/velocidade/ritmo
balão	aeróstato/brinquedo
desequilíbrio	situação/condição
parisiense	francês
flexibilidade	maleabilidade/adaptabilidade/plasticidade
ajustamento	progresso/melhoria
anfitrião	criatura/hospedeiro/adulto/organismo/ser
desigualdade	irregularidade/discordância/diferença
ansiedade	ânsia/preocupação/emoção/abalo/comoção/sentimento
sopa	prato
abolição	conclusão
oração	solicitação/requerimento/petição/requisição/pedido/apelo
imperativo	modalidade/modo
cúmplice	servente/criminoso/ajudante/servidor/assistente/adjunto/criado
barril	vasilhame/vasilha/vaso
febre	temperatura/esperança/sintoma/sensação
essência	intenção/substância/significação/significado
conspiração	pacto/aplauso/táctica/estratégia/acordo/aliança/aprovação/consenso/conformidade
retalho	venda
aceleração	mudança/velocidade/ritmo/deslocamento/movimento/traslado/alteração/variação/modificação
insulto	desfeita/ofensa/injúria
voleibol	bola
luso	europeu
vocalista	tocador/instrumentista/instrumentalista/músico
agressividade	aversão/ressentimento/repulsa/inimizade/hostilidade/disposição
santuário	campo/área/igreja/templo/região/terreno
t	letra/caractér/carácter
validade	período/credibilidade/etapa/tempo/legalidade
queniano	africano
liquidação	promoção/chance/ocasião/vez
aquecimento	instalação
adeus	reconhecimento
lacuna	buraco/racha/fresta
navegador	explorador/exploradora/aplicação/aplicativo
gênero	raça/tipo/género/categoria/classe
escassez	falta/ausência/deficiência/carência/necessidade
fúria	raiva/ira/cólera/zanga
uniforme	vestido/traje/vestimenta/vestuário/roupa
módulo	compartimento/componente/parte
reposição	mudança/substituição
originalidade	qualidade/capacidade/talento/faculdade/habilidade
lapso	interrupção/suspensão/pausa
azulejo	ladrilho
judiciário	sistema/organização
arcebispo	bispo
albufeira	região
neto	filho/descendente/descendência/neta
seriedade	peculiaridade/feição/severidade/intensidade/sentimento/emoção/impressão
reputação	estimação/apreciação/honra
diversão	ocupação/atividade
quarenta	época/período
declínio	abatimento/diminuição/ladeira/encosta/declive/subida/costa
malha	vestuário/pano/fazenda/tecido/roupa
decoração	ornamento/converter/adorno/ornato/produto/utensílio/artefato
hipocrisia	falsidade
condenado	prisioneiro/cativo/preso/refém
lata	placa/folha/continente/contentor/caixa/jarro/vaso/vasilha/chapa/lousa
integridade	condição/honestidade/estado/situação
escultor	artista
dona	mulher
protegido	destinatário
inquietação	ânsia/ansiedade/preocupação
estuário	oceano/água
marinheiro	militar/tripulante/marujo
acessibilidade	amizade
baile	arte/belas-artes/dança/diversão/banquete/reveillon/festa/balada/night
descobrimento	acção/ação/ato/feito
xadrez	prisão/cadeia/presídio/penalty/penálti/cárcere/cana
ferramenta	modo/aparelho/aparato/mecanismo/dispositivo/equipamento/realização/execução/implementação/implemento/instrumento/jeito/caminho/maneira/meio
consistência	uniformidade/atributo
fascínio	admiração/espanto/surpresa/maravilha
obsessão	preocupação
tapete	cobertura/mobiliário/móvel/mobília/natureza/capa
pódio	tablado
matriz	escritório/ordem/informação/array
depressão	formação/crise
cerâmica	equipamento/arte/ferramenta/utensílio
ajuste	pacto/mudança/acordo/aliança/aprovação/consenso/conformidade
chá	erva/bebida/tisana/infusão
física	ciência
submarino	aparato/aparelho/equipamento
tabu	pré-conceito/inibição/viés/preconceito
sacerdote	ordem/pároco/pastor/clérigo
aço	liga
nostalgia	anseio/anelo/suspiro/saudade/desejo
itinerário	fronteira
forno	estância/fornalha/fogão
salvaguarda	passaporte
emissora	posto/estação
trato	sistema
verificação	inspeção/teste/inspecção/achado/prova/confirmação
reciclagem	uso/utilização
dramaturgo	autor/escritor
matemático	cientista
sono	período/etapa/tempo
extra	produto/utensílio/artefato
bilheteira	escritório/janela
escritura	documentação/documento
genocídio	homicídio/assassinato/morte
tenor	tom/voz/altura
agressor	culpado
densidade	espaçamento
compacto	veículo/auto/viatura/automóvel/máquina/carro
jipe	veículo/auto/viatura/automóvel/máquina/carro
astronauta	turista/viajante
admiração	afeição/maravilha/sentimento/emoção/impressão/surpresa/espanto/aprovação
devolução	delegação
pausa	pendência/ocorrência/tempo/ociosidade/intervalo/evento/acontecimento/interrupção/suspensão/atraso/retardar/adiar
rentabilidade	bem/lucro/proveito
expedição	partida/campanha/jornada/viagem/comércio/empresa/negócio
piada	relato/relatório/humor
piada	comentário/observação
catedral	templo/igreja
rapto	ofensa/crime
rescisão	cancelamento
intercâmbio	interação
mote	expressão/locução/provérbio/ditado/idioma
monitor	guardião/supervisor/tutor/defensor/guarda
sardinha	peixe
garagem	lote
ingrediente	componente/parte/alimento
realismo	realidade
fractura	inchaço/rompimento/traumatismo/lesão/mal/dano
casaco	sobretudo
muralha	terrapleno/divisória/parede/paredes
manga	fruta
cela	calabouço/masmorra/quarto/câmara/aposento/sala
engano	falsidade/mentira/insucesso/falha
perfeição	melhoramento/melhoria/condição/estado/situação
inspector	polícia/investigador/agente/policial/guarda
estabilização	padronização/normalização/homologação/estandardização
terapia	remédio/medicamento
autodeterminação	discrição/liberalismo/autonomia
remédio	terapia/sonífero/narcótico/entorpecente/droga/medicamento/agente
açúcar	adoçante/macromolécula
inversão	converter
cruzeiro	viagem/transatlântico
crente	seguidor
tio	doador/varão/parente/primo/macho/homem
simpatizante	comunicador
unificação	combinação
beneficiário	destinatário
imperador	monarca/suserano
menção	apontamento/anotação/nota
latino	alma/indivíduo/alguém/pessoa
islão	civilização
munição	equipamento/arma/armamento
carruagem	vagão/automotora/automóvel/comboio/carro/trem
televisor	radiorreceptor/receptor
serenidade	paz/calma/equanimidade/quietude/silêncio
procissão	sucessão/começo/romaria/iniciação/origem/montão/colecção/ruma/chusma/coleção/grupo/aglomeração
anjo	padrinho/fiador
largura	dimensão/magnitude/amplidão/extensão
pavimento	edifício/tecido/estrutura
fascismo	ideologia
flamengo	holandês/neerlandês
touro	vacum/mamífero/gado/bovinos/vaca
calçado	vestido/cobertura/capa/traje/vestimenta/vestuário/roupa
viúva	mulher
simplicidade	naturalidade/qualidade
vestido	cobertura/capa/traje/vestimenta/vestuário/roupa
vara	falo/implemento/barra/instrumento/ferramenta/verga/pênis/pinto/caralho/membro
panfleto	livro/publicidade/propaganda/reclamo/reclame/anúncio
peregrinação	jornada/travessia/viagem
bicho	insecto/conscrito/inseto/recruta/criatura/organismo/ser
desarmamento	desmobilização
reorganização	organização
dotação	capital
proliferação	crescimento/acréscimo/aumento/incremento
paridade	bite/bit
dispersão	mudança/atividade/alteração/variação/modificação
gerência	posto/gestão/administração/cargo/posição
barba	pêlo/cabelo
nervosismo	ânsia/ansiedade/preocupação/tensão
cura	clérigo/sacerdote/pároco/pastor
decréscimo	modificação/variação/alteração/mudança
salvação	segurança/salvamento/recuperação
bactéria	microorganismo/microrganismo
boneco	brinquedo/boneca
vogal	fonema/fone/letra/caractér/carácter
interdição	proibição/decreto/acta
bem-estar	sucesso/prosperidade
patrulha	destacamento/veículo/auto/viatura/automóvel/máquina/carro
arqueologia	antropologia
omissão	equívoco/ausência/falha/erro/engano/perda/derrota
raciocínio	argumentação/ideia
edificação	esclarecimento
mobilidade	qualidade
rotunda	prédio/edifício
apelido	denominação/título/nome/prenome
suplente	servente/ajudante/servidor/assistente/adjunto/criado
admirador	amado/amante
chantagem	extorsão
gay	alma/indivíduo/alguém/pessoa
interferência	acção/ação/ato/feito
percussão	detonação/auscultação
refúgio	ambiente/recurso/região/território/capa/fronha/asilo/edifício/tecido/estrutura
arrogância	orgulho
detecção	descobrimento/recepção/percepção/descoberta
encosta	formação/ladeira/declive/subida/costa
dilema	troca/perplexidade/aperto/embaraço/câmbio
melodia	texto/música
inserção	movimento
estúpido	imbecil/alma/indivíduo/alguém/pessoa/bobo/tolo/idiota/simplório
firmeza	peculiaridade/feição
empregada	ama/doméstico/empregado/servidor/camareira/criada
nervo	denodo/determinação/coragem/ânimo/auto-controle/fascículo
ingresso	vinda/chegada
travão	restrição/limitação
tiragem	estoque
fibra	pano/célula/alimento/fazenda/tecido
banqueiro	gestor/dirigente/director/diretor/gerente/administrador
pessimismo	temperamento/medo/disposição/desespero/dor/consternação/temor/pavor/melancolia
interrogatório	inquérito/pergunta/questão
habilidade	técnica/conhecimento/noção/cognição/compreensão/meta/competência/capacidade/talento/faculdade/condição/estado/situação/qualidade
ilustração	caraterização/ideia/descrição/gráfico/caracterização/arte/plano/intenção/projecto/programa/programação/traçado/projeto/concepção/criação/figura/desenho/imagem/representação
sabedoria	feição/habilidade/instrução/peculiaridade/educação
cômico	intérprete
duplicação	cópia/reprodução
restelo	implemento/ferramenta/instrumento
psicólogo	cientista
injecção	gesto/sinal
esquina	encruzilhada/cruzamento
coreógrafo	creador/criador
dinamismo	atividade
habilitação	autorização
diamante	gema/terreno/carbono/baralho/carta/região/extensão/jóia
distribuidor	chefia/provedor/autoridade/companhia/fornecedor
remoção	separação
emenda	correção/declaração/descrição
pároco	sacerdote/pastor/clérigo
multimedia	transmissão
vanguarda	corpo
melhoramento	melhoria/converter
ofensa	comportamento/conduta/transgressão/desfeita/injúria
conhecedor	autoridade
recibo	reconhecimento
batalhão	corpo
pirata	assaltante
expropriação	confiscação
autópsia	inspecionar/examinar
amplitude	número/grandeza/magnitude
troco	dinheiro/retribuição/numerário
expediente	feito/conquista/consumação/façanha/realização
antologia	florilégio/selecta
pátio	campo/terreno
parada	permanência/intervalo/procissão/travessia/sucessão/romaria/área/região/pausa/viagem
rotação	mudança
precaução	prudência/medida/passo
galardão	dom/dádiva/presente/brinde/doação/símbolo/simbolo/aceno/emblema/sinal
escuta	percepção/investigação
exportador	empresário
mutação	mudança/criatura/organismo/ser/alteração/variação/modificação
agrado	agradecimento
clientela	gente/povo/população
ouvinte	estudante/oportunidade/observador/espectador/pupilo/aluno/chance
elevador	compartimento
paradigma	inflexão/visão/posição/perspectiva
gaveta	continente/contentor/caixa/jarro/vaso/vasilha
tomate	erva/maconha
folclore	narrativa/história/narração
cisão	divisão
mortalidade	velocidade/ritmo
relva	campo/forragem/terreno/erva/gramínea
exagero	melhoramento/metáfora/engano
regularidade	qualidade
tubo	cilindro/cano/aqueduto/canal/duto/conduto/pipeline/cachimbo
diâmetro	recta
sinfonia	sonata/orquestra
vinha	granja/quinta/sítio/fazenda
foro	instalação/documentação/infra-estrutura/serviço/documento/reunião
carvão	pintura/fragmento/carbono/petróleo/figura/desenho/imagem/ilustração/carburante/combustível
conveniência	qualidade
reactor	aparato/aparelho/equipamento
portão	quarto/entrada/câmara/aposento/sala/boca/porta
folheto	livro
