ano	decênio/década
timão	veleiro/rebocador/navio/embarcação/barco
quilobit	megabit
lobito	angola
fíbula	perna
encanamento	edifício/construção
palmilha	bota/calçado/sapato
moçambique	áfrica
limeira	brasil
côco	palmeira/coqueiro/coco
toco	árvore
tálamo	caule/tronco
himalaia	índia
pára-sol	câmara/câmera
osciloscópio	monitor/radar
ostomia	traqueostomia
abdômen	corpo/torso/tronco
cóccix	alguidar/pélvis/bacia/tijela/espinhaço/espinha/costas
erg	joule
glande	falo/verga/pênis/pinto/caralho/membro
fêmur	anca/coxa
porta-luvas	veículo/auto/viatura/automóvel/máquina/carro
israel	médio-oriente
balaústre	corrimão/balaustrada
lúnula	unha
brida	arreio
sarrafo	persiana/veneziana
castão	cavalo
úbere	bode/ovelha/cabra/vaca
penduricalho	coleira/colar
litosfera	mundo/terra
líbia	áfrica
calcâneo	pé
sabá	bornéu
glote	garganta/laringe
kilobit	megabit
malawi	áfrica
rábano	rabanete
niger	áfrica
mihrab	mesquita
balancé	parque/playground
moleira	crânio
micrómetro	mm/milímetro/milimetro
nucleão	núcleo
ionosfera	ar/atmosfera
cromosfera	sol
derme	pele
irã	médio-oriente
microssegundo	milissegundo
piripiri	pimento
eme	alfândega/polegada
aleta	peixe
câncer	zodíaco
huambo	angola
bergamota	tangerina
clara	ovo
ábside	templo/igreja
cílio	pálpebra
decalitro	hectolitro
registrador	memória
bite	byte
cancer	zodíaco
hipóxia	asfixia
erva-doce	anis
mb	gigabyte
cretáceo	mesozóico
prepúcio	berbigão/clítoris/clitóris/grelo/falo/verga/pênis/pinto/caralho/membro
celha	pálpebra
taxiway	aeródromo/aeroporto
relé	circuito
virgo	zodíaco
artelho	perna
hifenização	ortografia
egeu	mediterrâneo
sub-área	civilização/cultura
nadir	firmamento/céu
scriptorium	mosteiro/monastério/convento
abajur	lâmpada
dendrite	neurônio/neurónio
ísquio	tijela/bacia/pélvis/alguidar/quadril
guzerate	índia
dique_seco	estaleiro
olfato	rosto/cara/face
dióspiro	caqui
borgonha	frança
metacarpo	mão
angström	nanómetro
califórnia	sudoeste/américa
estame	flor/floração
cúbito	antebraço
java	indonésia
maléolo	perna
gastrulação	crescimento
decímetro	metro/m
capô	avião/aeroplano/veículo/auto/viatura/automóvel/máquina/carro
inner_city	urbe/município/metrópole/cidade
sura	alcorão
ilíaco	alguidar/pélvis/bacia/tijela
corpúsculo	sangue
epidídimo	testículo
intercalação	calendário
goa	índia
benim	áfrica
orofaringe	garganta/faringe
lusitânia	portugal
toyota	japão
esclerótica	olho/óculo
canábis	maconha/cânhamo
atuação	apresentação/interpretação
adenóide	garganta/faringe
axónio	neurônio/neurónio
conjuntiva	olho/óculo/pálpebra
gramado	estádio
escalda	frança
patela	joelho
namíbia	áfrica
carpo	braço
balaço	pente/cartucho
gâmbia	áfrica
atum-rabilho	atum
cútis	pele
nalga	corpo/torso/tronco
mesosfera	atmosfera/ar
ångström	nanómetro
bastonete	retina
nártex	templo/igreja
surata	perna/canela
uti	hospital
timor-leste	timor
haiti	caribe
cutícula	tartaruga/molusco/artrópode
embreagem	transmissão
shetland	atlântico
popô	corpo/torso/tronco
nanosegundo	microssegundo
basílico	manjericão
mali	áfrica
trombo	trombose
acerola	pitanga
areola	seio/peito/teta/mama
abissínia	áfrica
zurique	suíça
kuwait	médio-oriente
codorna	codorniz
fone	expressão/enunciado
calefacção	prédio/edifício
aneto	endro
bráctea	inflorescência
astrágalo	artelho/tornozelo/maléolo
eureka	califórnia
lyon	frança
quito	equador
caaba	meca
sarajevo	bósnia
meloeiro	melão
acostamento	caminho/estrada/rodovia/via
glúteo	nádega/nalga/banda/anca/bunda/traseiro
látego	chicote/chibata
transportação	mercantilismo/comercialismo/comércio
ci	computador/calculadora
