ser	rosto/anatomia/célula/cabeça/pescoço
aeroplano	capuz/acelerador/capô/asa/ala/pára-brisa/fuselagem/tromba/focinho/camarote
luminária	difusor
balaustrada	carril/balaústre
pé-de-cabra	fulcro
roma	vaticano
tronco_cerebral	ponte
escrivaninha	caixa/gaveta
teca	trinco/alça/cabo
bufete	estante/gaveta/caixa/prateleira
ocultismo	destino
arábia	catar
maconha	erva/canabis/canábis/legume/verdura/hortaliça/vegetal
portugal	braga/lusitânia/porto/setúbal
chapéu-de-chuva	trinco/alça/cabo
serrote	dente
adaga	punho/cabo
câmera	mira/visor/obturador/diafragma/objectiva/pára-sol
câmera	objectiva/pára-sol
pimentão	pimento
europa	suíça/frança/holanda/flandres/portugal
sextante	grau
clitóris	prepúcio
sacada	corrimão/balaustrada/camarote
nanómetro	ångström/angström
timor	timor-leste
marmeleiro	marmelo
final_de_semana	sábado/domingo
saguão	chão/piso/pavimento/muro/parede/muralha/teto
bunda	glúteo
espira	jante
conífera	pinha
regador	trinco/alça/cabo
caneleira	canela
cidreira	cidra
pênis	glande/uretra/prepúcio
romã	granada
estaminé	bar
fonógrafo	captador
inhame	batata-doce
neurónio	dendrite/axónio
corola	pétala
tijela	cóccix/ilíaco/sacro/ísquio/púbis/quadril
cachorro-quente	salsicha
barra_fixa	barra
faringe	adenóide/língua/orofaringe
barra_fixa	barra
geleira	morena
sintagma	modificador
quadril	ísquio
galináceo	crista
cervo	chifre/corno
íris	pupila
captador	safira/agulha
íris	pupila
ônibus	janela/teto
gramofone	captador
anis	erva-doce
vacum	bife/carne
pélvis	cóccix/ilíaco/sacro/ísquio/púbis/quadril
nêspera	ameixa
cona	uretra/grelo/lábio/clitóris/clítoris/berbigão
manjericão	basílico
encéfalo	tronco_cerebral
terabyte	gigabyte
encéfalo	tronco_cerebral
terabyte	gigabyte
braça	jarda
cabo-verde	praia
abacaxi	ananás
granja	quinta
apiário	cortiço
astronave	módulo/camarote
tevê	som/monitor/televisor/video/televisão/vídeo/tv
lauda	margem/paginação
boteco	bar
milimetro	micrómetro
stone	libra
gelosia	grelha
rúpia	centavo/cêntimo
chibata	látego/chicote
limeira	limão
caribe	domingos/haiti/cuba
soprador	jante
mesozóico	cretáceo/jurássico
moçambique	beira
vulva	uretra/grelo/lábio/clitóris/clítoris/berbigão
joalheria	pedra/gema
abdômen	abdómen/umbigo/barriga/intestino
gol	barra
gládio	lâmina/punho/cabo/pico/ponta
vulva	uretra/grelo/lábio/clitóris/clítoris/berbigão
artrópode	tórax/concha/carapaça/cutícula
paleozóico	carbonífero
paleozóico	carbonífero
brida	rédea/bocado/bocal
mamão	papaia
litosfera	crosta/manto/superfície
falo	glande/uretra/prepúcio
israel	acre
tamareira	tâmara
tamareira	tâmara
romãzeira	romã/granada
machimbombo	janela/teto
dc	capitólio
micrómetro	nanómetro
aríete	corno/chifre
ungulados	canela/pata/casco
microssegundo	nanosegundo
cardigan	cremalheira
inflorescência	bráctea
decalitro	l/litro
ameixeira	ameixa
eme	ene
sombreiro	copa
laminação	calceteiro
furador	ponta
croácia	split
angiospérmicas	flor/floração
artelho	astrágalo
laminação	calceteiro
espinhaço	vértebra/cóccix
gigabit	megabit
mezzanino	camarote
mb	kilobyte
joule	erg
olfato	fossa_nasal/narina/venta
sus	pé/porco
sêmen	esperma/espermatozóide
califórnia	sacramento/eureka
maléolo	astrágalo
sêmen	esperma/espermatozóide
decímetro	centímetro
joule	erg
brocha	trinco/alça/cabo
pitanga	acerola
decímetro	centímetro
biciclo	cadeia/corrente/selim/pedal
quitanda	prateleira/estante
endro	aneto
elefanta	tromba
caminhão	portão/pára-choque/teto
córrego	vau/meandro
atuação	coda
gramado	meio-campo
veneziana	sarrafo/ripa
cavalo-vapor	watt
gilete	lâmina
brânquia	onça
pneumoconiose	fibrose
aqualung	cilindro
nalga	glúteo
corta-relva	lâmina
monastério	cela/scriptorium
playground	balancé/balanço/baloiço
aciaria	alto-forno
pc	microprocessador
atadura	gaze
goiabeira	goiaba
guilder	centavo/cêntimo
esparadrapo	gaze
calefacção	aquecedor/caldeira
codorna	codorniz
decâmetro	m/metro
traqueostomia	ostomia
médio-oriente	levante/irã/kuwait/israel/síria
culote	braguilha
anás	pato
cenozóico	quaternário/terciário
radiorreceptor	antena
gaveteiro	caixa/gaveta/prateleira/estante
atenas	areópago
espaçonave	módulo/camarote
abacateiro	abacate
duto	arco
embreagem	embraiagem
