ano	decênio/década
quadril	corpo/torso/tronco/anca/coxa/alguidar/pélvis/bacia/tijela
alto-forno	siderurgia/aciaria
manjerona	orégão
faringe	pescoço
centilitro	decilitro
úmero	braço
oliva	oliveira
cidra	cidreira
kilobyte	mb/megabyte
íris	olho/óculo
obturador	câmara/câmera
registro	memória
chili	pimento
íris	olho/óculo
captador	gramofone/fonógrafo
escora	embarcação/navio/barco
trapeira	casa/habitação/vivenda
nêspera	nespereira/ameixa
goiaba	goiabeira
burundi	áfrica
favo	alvéolo
genebra	suíça
modificador	sintagma/frase
encéfalo	cabeça/pescoço
encéfalo	cabeça/pescoço
lacrimal	órbita
púbis	alguidar/pélvis/bacia/tijela
citoplasma	célula
abacaxi	ananás
púbis	alguidar/pélvis/bacia/tijela
cóclea	labirinto
caractér	ortografia
split	croácia
cóclea	labirinto
abside	templo/igreja
gonzo	porta/portão
calamar	lula
tevê	televisão
tomateiro	tomate
telómero	cromossoma
milimetro	centímetro
cerviz	pescoço
mento	rosto/cara/face
timão	veleiro/rebocador/navio/embarcação/barco
quilobit	megabit
toco	árvore
moçambique	áfrica
lobito	angola
fíbula	perna
encanamento	edifício/construção
palmilha	bota/calçado/sapato
limeira	brasil
côco	palmeira/coqueiro/coco
himalaia	índia
tálamo	caule/tronco
pára-sol	câmara/câmera
osciloscópio	monitor/radar
ostomia	traqueostomia
abdômen	corpo/torso/tronco
castão	cavalo
úbere	bode/ovelha/cabra/vaca
penduricalho	coleira/colar
litosfera	mundo/terra
calcâneo	pé
glande	falo/verga/pênis/pinto/caralho/membro
israel	médio-oriente
cóccix	alguidar/pélvis/bacia/tijela/espinhaço/espinha/costas
erg	joule
fêmur	anca/coxa
líbia	áfrica
glande	falo/verga/pênis/pinto/caralho/membro
porta-luvas	veículo/auto/viatura/automóvel/máquina/carro
lúnula	unha
balaústre	corrimão/balaustrada
calcâneo	pé
brida	arreio
sarrafo	persiana/veneziana
sabá	bornéu
glote	garganta/laringe
kilobit	megabit
niger	áfrica
malawi	áfrica
rábano	rabanete
cromosfera	sol
derme	pele
derme	pele
irã	médio-oriente
mihrab	mesquita
microssegundo	milissegundo
balancé	parque/playground
moleira	crânio
micrómetro	mm/milímetro/milimetro
nucleão	núcleo
ionosfera	ar/atmosfera
decalitro	hectolitro
registrador	memória
piripiri	pimento
eme	alfândega/polegada
aleta	peixe
câncer	zodíaco
bergamota	tangerina
clara	ovo
ábside	templo/igreja
cílio	pálpebra
huambo	angola
cretáceo	mesozóico
cancer	zodíaco
sub-área	civilização/cultura
scriptorium	mosteiro/monastério/convento
nadir	firmamento/céu
abajur	lâmpada
bite	byte
egeu	mediterrâneo
hipóxia	asfixia
erva-doce	anis
mb	gigabyte
celha	pálpebra
prepúcio	berbigão/clítoris/clitóris/grelo/falo/verga/pênis/pinto/caralho/membro
taxiway	aeródromo/aeroporto
relé	circuito
virgo	zodíaco
artelho	perna
hifenização	ortografia
gastrulação	crescimento
java	indonésia
decímetro	metro/m
capô	avião/aeroplano/veículo/auto/viatura/automóvel/máquina/carro
corpúsculo	sangue
sura	alcorão
guzerate	índia
ilíaco	alguidar/pélvis/bacia/tijela
decímetro	metro/m
borgonha	frança
dendrite	neurônio/neurónio
ísquio	tijela/bacia/pélvis/alguidar/quadril
olfato	rosto/cara/face
dióspiro	caqui
metacarpo	mão
angström	nanómetro
estame	flor/floração
cúbito	antebraço
califórnia	sudoeste/américa
maléolo	perna
escalda	frança
atum-rabilho	atum
cútis	pele
benim	áfrica
nalga	corpo/torso/tronco
epidídimo	testículo
mesosfera	atmosfera/ar
intercalação	calendário
toyota	japão
goa	índia
canábis	maconha/cânhamo
orofaringe	garganta/faringe
atuação	apresentação/interpretação
esclerótica	olho/óculo
conjuntiva	olho/óculo/pálpebra
gramado	estádio
gâmbia	áfrica
namíbia	áfrica
adenóide	garganta/faringe
axónio	neurônio/neurónio
patela	joelho
lusitânia	portugal
patela	joelho
orofaringe	garganta/faringe
carpo	braço
balaço	pente/cartucho
uti	hospital
meloeiro	melão
acostamento	caminho/estrada/rodovia/via
glúteo	nádega/nalga/banda/anca/bunda/traseiro
kuwait	médio-oriente
quito	equador
haiti	caribe
látego	chicote/chibata
transportação	mercantilismo/comercialismo/comércio
caaba	meca
nártex	templo/igreja
zurique	suíça
eureka	califórnia
surata	perna/canela
ångström	nanómetro
bastonete	retina
cutícula	tartaruga/molusco/artrópode
embreagem	transmissão
popô	corpo/torso/tronco
lyon	frança
bráctea	inflorescência
abissínia	áfrica
nanosegundo	microssegundo
basílico	manjericão
trombo	trombose
acerola	pitanga
areola	seio/peito/teta/mama
codorna	codorniz
timor-leste	timor
fone	expressão/enunciado
calefacção	prédio/edifício
aneto	endro
mali	áfrica
ci	computador/calculadora
astrágalo	artelho/tornozelo/maléolo
caaba	meca
sarajevo	bósnia
shetland	atlântico
