muito	numeroso
lucrativo	rendoso/económico/rentável/proveitoso
eficiente	rápido/impressionante/habilitado/económico/competente
rítmico	métrico
convencido	orgulhoso/contente
prudente	minucioso/sábio/discreto/pormenorizado/circunstanciado/consciencioso
verbal	comunicativo
conveniente	prático/elegível/próprio/capaz/favorável/bom/decoroso/vitoriano/útil/apropriado/adequado
imprevisível	ocasional/episódico
resistente	desafiador/caloso
alcoólico	viciado/forte
similar	semelhante/correspondente/análogo
vigente	corrente/actual/atual
judiciário	legal
valioso	decoroso/equivalente/magnífico/inestimável/impagável/precioso/opulento/digno
ilustre	sabido/conspícuo/saliente/proeminente
propício	benéfico/preferencial/oportuno/vantajoso/bom/positivo/boa/favorável/discriminatório
quarenta	cardinal/cardeal
condenado	maldito
energético	físico/infatigável/vigoroso/inesgotável/incansável
primitivo	temporão/precoce/cedo
consistente	conforme/imutável
unido	confederativo/unitário/combinado/determinado/aliado
silencioso	quiet/quieto
frontal	dianteiro
rentável	rendoso/lucrativo/proveitoso
elegante	chique/gracioso/luxuriante/luxuoso
obscuro	incompreensível/invisível/esotérico
orgulhoso	satisfeito/convencido/imodesto/presunçoso/ranhoso/imperioso/egoísta/altivo/ufano/soberbo/arrogante
incerto	duvidoso/perigoso/indefinido/ambivalente
desagradável	ofensivo/infernal/amargoso/lamentável/pavoroso/áspero/dolorido/acre/triste/amaro/virulento/terrível/acerbo/animal/horrível/amargo/cáustico/doloroso
matemático	possível/exato/preciso/correcto/certo
prematuro	temporão/precoce/cedo
hipotético	teórico
extra	aditivo/desnecessário
maravilhoso	sobrenatural/extraordinário/bonito/formoso/lindo/belo
obrigado	agradecido/reconhecido/grato/gratidão
salvo	indene/indemne
incompatível	antônimo/incongruente/antiácido/contraditório/inconsistente
cinza	acromático
cansado	esfarrapado
cooperativo	solidário
sereno	constituído
v	cardinal/cardeal
continental	transcontinental
autoritário	dominador
surpreso	estupefato
amargo	saboroso/intolerável/pesaroso/arisco/desagradável/insuportável
culpado	envergonhado/censurável/punível/criminoso/criminal/reprovável/repreensível/culpável/passível
emblemático	típico
perpétuo	contínuo/permanente/duradouro
portátil	móvel
exaustivo	amplo/completo/extenso/plenário/universal/global/mundial/integral
amoroso	apaixonado/terno/cálido/meigo/enfatuado/carinhoso
potente	poderoso/forte/influente
alegre	animador/ditoso/optimista/otimista/animado/contente
subtil	perspicaz
peremptório	definitivo/enérgico/enfático
severo	intenso/intensivo
genial	ágil/alerta/animado/hábil
magro	tênue/cadavérico/anoréxico/esguio/delgado/franzino/fino/esbelto
cruel	inumano/desumano
insuportável	inaceitável/ofensivo/amargo/intolerável
poluente	séptico
experiente	habilidoso/versado/talentoso
1000	cardinal/cardeal
cênico	bonito/formoso/lindo/belo
desnecessário	prolixo/supérfluo/redundante/extra/gratuito/excessivo
seletivo	exclusivo/discriminatório
fascinante	interessante
preferível	desejável
pragmático	prático/realístico
problemático	árduo/difícil/foda/intrincado
desesperado	indefeso/impossível/sombrio/escalvado
racional	intelectual/mental/inteligente/lógico/coerente
tenso	nervoso/isotônico/esticado/irritável
apto	capaz/adequado
gay	transexual/homo/lésbico/bicha/transsexual/veado/homossexual
divino	sagrado/celeste/glorioso
comparável	mesmo
sudoeste	sulista
redondo	esférico/global
estúpido	fátuo/burro/imbecil/idiota/sonso
compreensível	acessível/abordável/entendível
persistente	contínuo
interino	temporário
espontâneo	intuitivo/impulsivo
estrito	exato/preciso/correcto/certo
transitório	temporário
feroz	silvestre/inumano/bravo/violento/tempestuoso/intensivo/intenso/desumano/zangado/irado/irritado/selvagem/impiedoso
pequenino	pequeno
gordo	sujo/gorducho/oleoso/pançudo/corpulento/rechonchudo/roliço/gordurento/grosso/gorduroso/espesso/obeso/abdominal/encorpado
cômico	humorístico/engraçado
caótico	eriçado/selvagem/descontrolado/hirto
inegável	incontestável/irrefutável
errado	incorrecto/mentiroso/falaz/errôneo
flexível	elástico/dobrável/lasso/adaptável/ajustável
erótico	sensual/sexy
ácido	desgradável/azedo/acídulo
exótico	inusual/estrangeiro/insólito/extraordinário/estranho
admirável	impressionante/aprazível/extraordinário
incompreensível	obscuro/misterioso/paradoxal/enigmático/impenetrável/opaco
indeciso	débil
interminável	permanente/duradouro
limitado	moderado
feio	grotesco/monstruoso
acordado	desperto/insone
afetivo	emocional
preferencial	favorável/profícuo/vantajoso/propício
racial	racista
afetado	sujeito/artificioso/violento/artificial/forçado
sábio	erudito/sagaz/ajuizado/sensato/prudente/onisciente
anormal	defeituoso/anômalo/aberrante/irregular
convincente	credível/crível
bizarro	inusual/inconformista/sobrenatural/insólito/extraordinário/estranho
integrante	intrínseco
ascendente	dominante
vulnerável	débil/suscetível/indefensável/jovem/inseguro/desabrigado/inerme/indefeso
marinho	aquático
aplicável	relevante/pertinente
atraente	irresistível/belo/interessante/fotogênico/linda/carismático/lindo/formoso/bonito/chamativo
proporcional	equilibrado
vitorioso	próspero/bem-sucedido
infinito	absoluto/inesgotável/ilimitado/infindável/perfeito
traseiro	posterior
consultivo	noticioso/informativo
imperial	nobre
ambíguo	enigmático
lendário	sabido/irreal
colorido	interessante/tricolor/fluorescente/multicolor/monocromático/ruão/vistoso/rubro/bicolor/iridescente/psicadélico/brilhante/pitoresco/ruidoso/policromático/vermelho/escarlate/rubicundo/rufo/multicor/multicolorido
prejudicial	difamatório/insidioso/deletério/fraudulento/catastrófico/mal/calunioso/abusivo/infamante/nocivo/daninho/danoso
soberano	livre/dominante
chocante	staccato
virgem	novo/casta/puro/casto/castiço
sintomático	característico
antecedente	preexistente/prévio/anterior
corajoso	ousado/animoso/valente/heróico/inconsequente/audaz/destemido/audacioso/temerário/intrépido
construtivo	criativo/vantajoso/estrutural/positivo
entusiasta	ardente/evangélico/ávido/zeloso/fervente/fervoroso
contíguo	vizinho/próximo/perto
tropical	quente/equatorial/figurativo
banal	rotineiro/costumeiro/comum/ordinário/normal
morno	caloroso
sombrio	triste/escuro/desesperado
invisível	obscuro/ultravioleta/indetectável/infravermelho/escondido/imperceptível
lírico	emocional
didático	noticioso
restrito	fechado
vertical	erétil/perpendicular/ortostático/honrado
efêmero	curto/temporário
manuscrito	escrito
atlético	ativo
maior	grande/intenso/intensivo/maturo/maduro
abusivo	prejudicial/nocivo/daninho/danoso
vantajoso	favorável/benéfico/afirmativo/construtivo/preferencial/bom/positivo/otimista/boa/discriminatório/profícuo/propício
passível	culpado
nominal	específico/especificado
horrível	extraordinário/triste/ruim/desagradável/sujo/intenso/mesquinho/alarmante/intensivo/inquietante/arisco
corporal	corpóreo
ordinário	indecente/informal/medíocre/crônico/cotidiano/banal/usual/habituado/quotidiano/indiferente/habitual/inveterado
incondicional	independente
terapêutico	saudável
catastrófico	prejudicial/nocivo/daninho/danoso
especulativo	teórico
suicida	perigoso
incluído	cercado
nórdico	setentrional/nordestino
gelado	frio
tremendo	extraordinário/grande
usado	antigo/velho
proibido	ilegal
instável	insano/sísmico/inconstante/variável/vulcânico/mutável
improvável	incrível/último/suposto/inacreditável
inadmissível	inaceitável
medíocre	normal/inferior/ruim/ordinário/comum/costumeiro/rotineiro
agitado	inquieto
incompleto	partido/parcial/metade/nenhum
guerreiro	militar
abandonado	irrestrito/inabitado/desabitado
agrário	rural
secular	profano/mundano/terrestre
hábil	jeitoso/habilidoso/ágil/engenhoso/astuto/genial/alerta/animado/talentoso
benéfico	favorável/profícuo/vantajoso/propício
duradouro	prestativo/estável/permanente/indissolúvel/interminável/eterno/perene/perpétuo/imperecível
protector	tenro/meigo
desaparecido	perdido
amigável	bem-intencionado/social/amável/favorável/afável
denso	espesso
ansioso	ávido
solteiro	divorciado
complicado	complexo/foda/difícil/árduo/intrincado
primordial	superior/temporão/dominante/precoce/cedo
bravo	ousado/indignado/violento/animoso/valente/heróico/lívido/inconsequente/colérico/furioso/irado/audaz/destemido/feroz/raivoso/audacioso/zangado/temerário/furibundo/intrépido
inquietante	assustador/ameaçador/abominável/macabro/arriscado/horripilante/medonho/calamitoso/ominoso/terrível/pavoroso/temível/cabeludo/horrível/atroz/perigoso
inesquecível	memorável
insignificante	inútil
caseiro	doméstico
invariável	constante/imutável/inalterável/invariante
discutível	polêmico/plausível/contestável/controverso
apaixonado	carinhoso/amoroso
sintético	artificial
arbitrário	absoluto
bicha	homo/gay/homossexual
encarregado	equipado
surdo	surdo-mudo
enérgico	peremptório/físico/infatigável/vigoroso/inesgotável/incansável/assertivo/agressivo
abundante	verde/torrencial/lauto/fácil/farto/bastante/basto/copioso
informado	sensato/vivo
emergente	futuro
usual	crônico/costumado/habituado/geral/comum/habitual/genérico/costumeiro/ordinário/inveterado
furioso	bravo/tempestuoso/insano/zangado/irado/irritado
corrupto	malandro/desonesto/venal/corruptível
esporádico	ocasional/intermitente/irregular/periódico
precoce	avançado/nítrico/primitivo/mirim/primordial/prematuro/anterior
sexta	ordinal
peculiar	específico
fanático	passional
sincero	sério
unitário	unido
dedicado	devotado
irresistível	atraente/esmagador
coral	cromático
fértil	produtor/prolífico/generoso/farto/produtivo/proveitoso/fecundo/frutífero
dourado	metálico/cromático
frigorífico	frio
sudeste	sulista
aquático	marinho/subaquático
assustador	alarmante/inusual/inquietante/insólito/extraordinário/estranho
sentimental	emocional/meigo/tenro
respeitável	bom
devagar	mandrião
anónimo	incógnito/anônimo
carismático	atraente
miserável	abjeto/inferior/desprezível/mendigo/lamentável/coitado/desastroso/lastimoso/azarado/pobre/mendiga/sem-teto/sem-abrigo/infeliz/triste
cor-de-rosa	cromático
minúsculo	pequeno
humilde	inferior
insistente	contínuo
oficioso	informal
involuntário	vegetativo/autônomo/independente/autonómico/automático
épico	grande
lindo	extraordinário/belo/cênico/atraente/esplêndido/lindíssimo/fantástico/formoso/glorioso/pitoresco/bonito/precioso/magnífico/deslumbrante/maravilhoso
centésimo	ordinal
constituído	calma/reconhecido/calmo/sereno/tranqüilo/sossegado/oficial
tendente	inclinado
sumário	sucinto/lacônico/conciso
confidencial	próximo/privado
estudioso	erudito
luxuoso	gracioso/esbelto/garboso/airoso/elegante
fugitivo	curto
sorridente	animador/animado/contente
inexplicável	misterioso/paradoxal
laico	profano
intensivo	profundo/sensasional/forte/brutal/violento/esmero/severo/terrível/veemente/intenso/maior/feroz/horrível
duzentos	cardinal/cardeal
místico	irreal/esotérico
recorrente	contínuo
coincidente	proporcionado/síncrono/sincrônico/congruente
intransigente	inflexível
pertinente	relevante/aplicável/procedente
erudito	sábio/estudioso/instruído/sapiente/pedante
quantitativo	numérico/quantificável/decimal
separado	desvinculado/diferente/distinto/individual/disjunto
aleatório	confuso/atabalhoado/estocástico
impotente	incapaz/fraco
emocionante	elétrico/glamouroso/glamoroso/prestigioso/eletrizante
desigual	desnivelado/assimétrico
civilizado	civil/humano
entusiástico	ardente/evangélico/ávido/zeloso/fervente/fervoroso
fictício	irreal
frenético	doente/inquieto/selvagem/descontrolado/enfermo
hierárquico	graduável
beligerante	malvado
glorioso	bonito/sublime/incandescente/divino/formoso/lindo/belo
casta	virgem/virginal
festivo	ditoso
burro	imbecil/idiota/estúpido/sonso
vigoroso	energético/enérgico
heróico	audacioso/impressionante/grande/valoroso/valente/afoito/arrojado/audaz/bravo/destemido/corajoso
subjetivo	pessoal/preconceituoso
admissível	aceitável/lícito
húmido	aquoso/pluvioso/desleixado/pegajoso/encharcado/pesado/chuvoso/cafona/molhado
conceptual	abstrato
castanho	cromático
sinfônico	harmonioso
abrangente	amplo/extenso/plenário/universal/global/mundial
interativo	recíproco/mútuo
patético	desprezível/sarcástico
nefasto	terminal/fatal/mortal/letal
intrínseco	inerente/interno/integrante/integral
latente	possível/potencial
celular	multicelular
especular	meditabundo
estatutário	legal
linear	unidimensional
equilibrado	simétrico/proporcional
instantâneo	rápido/veloz
horizontal	plano/transversal
maduro	adulto/outonal/casadoiro/maior/núbil/crescido/maturo
irrelevante	tangencial
impecável	virtuoso/aprimorado/digno/nobre/perfeito
vertiginoso	doente/enfermo
provincial	caipira/paroquial/provinciano/rústico
débil	indeciso/vulnerável/manco/anêmico/fraco
nostálgico	consciente
imprevisto	inesperado
numérico	quantitativo
intolerável	inaceitável/insuportável/amargo
imponente	impressionante
arrogante	orgulhoso
grosseiro	indelicado
ocasional	imprevisível/raro/infrequente/casual/esporádico
adjacente	próximo
apreciável	considerável
acidentado	áspero
cíclico	periódico/circular/alternante/alterno/alternativa/alternado
superficial	aparente/fácil
constituinte	essencial
inadequado	inelegível/insuficiente/incompetente/incapaz
brando	doce/inapropriado
subsequente	concomitante/posterior/ulterior/resultante/decorrente
tênue	cadavérico/anoréxico/magro/esbelto/esguio/delgado/franzino/fino
autonómico	involuntário
celeste	divino
ilegítimo	ilegal
determinado	explícito/unido
corporativo	organizado/corpóreo/solidário
enigmático	incompreensível/esotérico/indefinido/impreciso/ambíguo/vago/dúbio
bárbaro	inumano/desumano
fúnebre	pesaroso
impróprio	nulidade/inutilizável/inútil/fútil/vão
cuidadoso	exigente
plausível	argumentável/discutível
inquieto	psicadélico/histérico/emocional/frenético/transtornado/agitado/febril/perturbado/excitado
querido	próximo
afim	relacionado
tácito	implícito
grandioso	importante/extraordinário
memorável	inesquecível
inacreditável	improvável/estarrecedor
são	lúcido/saudável
alarmante	assustador/ameaçador/abominável/macabro/arriscado/horripilante/medonho/calamitoso/ominoso/terrível/pavoroso/temível/cabeludo/horrível/atroz/perigoso
indignado	bravo/zangado/irado/irritado
sugestivo	indecente/consciente
francófono	comunicativo
lacônico	elíptico/sentencioso/compêndio/sumário/curto/conciso/sucinto
incorreto	falaz/errôneo
ousado	audacioso/aventureiro/audaz/bravo/destemido/corajoso
prolongado	longo
circundante	próximo
misto	heterogêneo
materno	maternal
carinho	tolo
estadual	público
fraudulento	prejudicial/nocivo/daninho/danoso
ilimitado	infinito
diminuto	fino/pequeno
eufórico	expansivo
recreativo	interessante
perplexo	hesitante/nublado
aventureiro	arriscado/destemido/ousado/audaz/audacioso
ameaçador	alarmante/inquietante
sublime	glorioso/sagrado/nobre
árduo	magoado/frustrante/ambicioso/controvertido/traumático/difícil/sensitivo/laborioso/terno/sensível/desafiador/ofendido/desconcertante/complicado/problemático/espinhoso
pacato	quieto
recebido	corriqueiro/convencional
leigo	mundano/terrestre
excitante	elétrico/glamouroso/glamoroso/prestigioso/eletrizante
difuso	prolixo
hipócrita	religioso/piedoso
viciado	alcoólico/dependente
alta	ensurdecedor/grande/vocal
marcial	militar
brusco	íngreme/súbito/abrupto/repentino
ineficaz	incapaz
volumoso	grande
pornográfico	sensual/sexy
psíquico	mental/paranormal
tributário	secundário
dianteiro	frontal/avançado
fulgurante	impressionante
190	cardinal/cardeal
analfabeto	semi-analfabeto
assíduo	diligente
aplicado	diligente/forense
xenófobo	receoso
delicioso	aprazível/saboroso
esquisito	inusual/sobrenatural/inconformista/insólito/extraordinário/estranho
esquisito	atrapalhado/artificial/desajeitado
sensato	ciente/sábio/discreto/informado
elegível	conveniente/adequado/apropriado/desejável/capaz
próspero	produtivo/vitorioso/triunfante/viçoso/ganhador/bem-sucedido
melancólico	triste
harmonioso	puro/compatível/sinfônico/consonante/suave
populoso	inabitado
panorâmico	largo/amplo
rude	indelicado
recíproco	bilateral/interactivo/interativo
forçado	afetado/artificial
inseguro	vulnerável/precário/duvidoso/ambivalente/convulsivo
paradoxal	incompreensível/inexplicável
caloroso	tépido/morno/tíbio
macho	masculino/varão/fálico/viril/varonil
póstumo	tardio
progressista	progressivo/chique/liberal
astronômico	grande
intocável	invulnerável
imaginativo	original/criativo/criador
indefinido	incerto/enigmático
divergente	diferente
agravante	intensificador
avulso	específico
grotesco	feio/engraçado/humorístico
rabo	posterior
temível	inquietante/alarmante
minucioso	prudente/atento
perceptível	importante
torto	escuso/assimétrico
plural	dual
delirante	selvagem/doente/descontrolado/enfermo
evangélico	entusiástico/entusiasta
consumado	habilidoso/talentoso
discriminatório	discriminativo/favorável/eclético/seletivo/profícuo/vantajoso/propício
incansável	energético/enérgico
animado	jeitoso/animador/alegre/sorridente/engenhoso/radiante/risonho/astuto/genial/feliz/hábil/contente
quinhentos	cardinal/cardeal
subordinado	auxiliar/secundário/adjunto/assistente
veemente	forte/intensivo/intenso
ruidoso	colorido/clamoroso
soberbo	orgulhoso
saboroso	gostoso/acre/amargo/salgado/agridoce/apetitoso/delicioso
apreensivo	receoso/desassossegado
utópico	visionário
coeso	adesivo
comprimido	fechado/compressível
onipresente	presente
branca	caucasiano/caucasiana
lúcido	são/sadio
receoso	apreensivo/assustado/claustrofóbico/xenófobo/apavorado/pasmo/agorafóbico/espantado/pasmado/amedrontado
imperioso	orgulhoso
sinuoso	tortuoso/circunflexo
mole	inapropriado/macio
invejável	desejável
compulsivo	ambicioso
superior	alto/brilhante/destacado/seleto/magnífico/primordial/fino/excepcional/excelente/extraordinário/fabuloso/luzente/exímio
aderente	adesivo
inofensivo	inócuo/inocente
indisponível	inacessível
exuberante	liberal
apropriado	atempado/elegível/próprio/capaz/adequado/conveniente
predominante	freqüente
imune	isento
drogado	embriagado/ébrio/bêbado/bêbedo
afirmativo	vantajoso/positivo
assado	cozinhado
envergonhado	culpado
fluido	líquido/gracioso
enganado	incorrecto
incompetente	incapaz/inadequado/ruim
análogo	similar/equivalente/eqüidistante
térmico	quente
veloz	ligeiro/expresso/alado/instantâneo/célere/breve/rápido
maldito	perdido/condenado
ávido	entusiástico/cobiçoso/tinhoso/impaciente/ansioso/sequioso/entusiasta
elástico	adaptável/flexível/ajustável
conclusivo	definitivo/decisivo
sísmico	instável/precário
estático	imóvel
montanhoso	áspero
formidável	impressionante/extraordinário
inacessível	distante/indisponível
loiro	arenoso
rubro	colorido
sofisticado	mundano/educado/inteligente/cortês/polido
sagrado	inviolável/espiritual/inefável/divino/bendito/sublime/religioso/santo
farto	fértil/verde/torrencial/abundante/copioso/bastante/lauto/proveitoso/fecundo/frutífero/fácil
incontestável	inegável
equipado	encarregado
mentiroso	falso/errado
nocivo	degradante/difamatório/pernicioso/insidioso/deletério/prejudicial/fraudulento/catastrófico/mal/calunioso/abusivo/danoso/infamante
sensual	físico/esquentado/pornográfico/sexual/libidinoso/erótico/doidão/orgíaco/verde/promíscuo/excitado/indecente/devasso/lascivo/quente
incipiente	temporão/cedo
tolerante	paciente
lícito	legal/admissível
sem-abrigo	infeliz/miserável
queimado	cozinhado
exíguo	escasso
entusiasmado	embriagado/louco/nervoso/ébrio/bêbado
terciário	ordinal
cômodo	acessível
preparado	imediato/rápido
adormecido	sonolento/dorminhoco
variado	diferente/heterogêneo
cósmico	grande
irritante	desconfortável/incómodo/incômodo
irracional	supersticioso
esquecido	despercebido
nulidade	vão/inapto/inútil/impróprio
grato	agradecido/apreciativo/obrigado
gótico	estranho/extraordinário/insólito/inusual
desconcertante	confuso/árduo/difícil/foda/intrincado
louvável	decoroso/digno
trezentos	cardinal/cardeal
vistoso	colorido/insípido
reservado	inexpressivo/reticente
virtuoso	impecável
sulista	austral/sudoeste/sudeste/meridional
infernal	desagradável/maléfico/mau/má/ruim/malvado/arisco
austero	simples
pálido	incolor
lutador	agressivo
deslumbrante	radiante/bonito/brilhante/luminoso/claro/formoso/lindo/belo
ciente	sensato/vivo
apertado	justo/invulnerável
voador	movente
repetitivo	contínuo/iterativo
espesso	gordo/gelatinoso/denso/viscoso
inviável	romântico/morto
monstruoso	feio
ameno	simpático/agradável
ofendido	árduo/dolorido/doloroso/extenuante/doído
cosmopolita	viajado
menor	pequeno
imbatível	invencível
idiota	retardado/fátuo/burro/imbecil/sonso/estúpido
desumano	desalmado/bestial/inumano/feroz/bárbaro/animal/cruel/brutal
escondido	invisível
paroquial	provincial
apocalíptico	profético
divertido	satisfeito/humorístico/contente/interessante/engraçado
díspar	outro
preponderante	dominante
macabro	alarmante/inquietante
rústico	provincial
humorístico	ridículo/sutil/irônico/engraçado/espirituoso/jocoso/hilário/hilariante/cômico/divertido/grotesco
dominador	mandão/tirano/autoritário/opressivo/ditatorial/opressor
talentoso	mestre/consumado/versado/competente/hábil/habilidoso/experiente
obsceno	indecente/sujo
impiedoso	feroz/mortal
afluente	rico
satisfeito	orgulhoso/contente/divertido
milagroso	sobrenatural
arcaico	antigo/velho
cromático	rosa/pétreo/rosado/amarelo/ambarino/baio/olivo/ruivo/coral/acastanhado/áureo/laranja/verde/vermelho/roxo/azul-petróleo/bronzeado/amarelento/verde-azeitona/azul/avermelhado/cerúleo/cor-de-laranja/carmim/castanho/pardo/azulado/tirante/amarelado/esverdeado/marrom/purpúreo/avelaneira/moreno/cereja/violeta/dourado/lilás/encarnado/alaranjado/cor-de-rosa/púrpura
irrepreensível	inocente
sênior	ancião
decadente	indulgente
imoral	devasso/desgraçado/infamante/degradante/libertino/ignominioso/torpe
visionário	utópico
incisivo	perspicaz
autorizado	oficial
imparcial	indiferente
ditatorial	dominador
combinado	unido
modelar	decoroso/digno
infindável	infinito
maluco	insano/tolo
eminente	alto
explicativo	noticioso
arrojado	heróico/animoso/valente/destemido
inexorável	inevitável/previsível
lindíssimo	bonito/formoso/lindo/belo
transversal	horizontal/transverso
vulcânico	instável/precário
retórico	poético/bombástico/forense/oratório
degradante	tóxico/desonroso/nocivo/imoral
figurativo	tropical/metafórico/poético/analógico
predador	agressivo/cobiçoso/sequioso
hesitante	perplexo
estéril	inóspito/infértil/improdutivo
incomparável	incomensurável/inigualável/único
subaquático	aquático
irritado	indignado/lívido/colérico/furioso/irado/feroz/raivoso/zangado/furibundo
esquerdista	liberal/esquerda
anacrônico	assíncrono
inesgotável	infinito/energético/enérgico
meridional	sulista
letal	nefasto/fatal
metafísico	teórico/sobrenatural
existencial	empírico
ardente	entusiástico/passional/entusiasta
mesquinho	estreito/horrível/antipático
incessante	contínuo
assustado	receoso/excitável
amável	amigo/afável/benigno/benevolente/benévolo/bondoso/amigável/amistoso/gentil/lhano
colossal	grande
honrado	venerável/perpendicular/augusto/vertical
gratidão	agradecido/apreciativo/obrigado
indefeso	inerme/vulnerável/desesperado/desarmado
fugaz	curto
interdito	ilegal
saliente	proeminente/importante/ilustre
interactivo	recíproco/mútuo
ininterrupto	contínuo
diabólico	maléfico/mau/má/ruim/malvado
proeminente	conspícuo/importante/ilustre/saliente
pré-histórico	passado
frustrante	árduo/difícil/foda/intrincado
abrupto	escarpado/explosivo/fulminante/brusco/íngreme/súbito/repentino
calúnia	malicioso/perverso/maldoso
egoísta	orgulhoso
aflito	inapropriado
tridimensional	cúbico/multidimensional/isométrico
inflexível	intransigente/rígido/teso
volátil	inconstante/mutável/variável
inócuo	inocente/inofensivo
célere	rápido/veloz
divorciado	solteiro
singelo	simplístico
incólume	indene/indemne
torrencial	lauto/farto/bastante/basto/copioso/abundante
profano	secular/laico
exímio	superior
milésimo	ordinal
parasita	dependente
distintivo	característico
ileso	indene/indemne
metafórico	figurativo
metódico	organizado
incorrecto	repreensível/errado/mau/enganado
ilusório	irreal/desonroso
bilíngüe	multilingue
ágil	inteligente/ativo/jeitoso/engenhoso/astuto/genial/hábil
penitenciário	punitivo
impaciente	ávido
transmissível	contagioso
reticente	reservado
literal	explícito/exato/verdadeiro/preciso/correcto/certo
punível	culpado
estupefato	surpreso/surpresa
corrosivo	sarcástico/destrutivo
educado	sofisticado
perturbado	inquieto
defeso	ilegal
triunfante	próspero/bem-sucedido
substantivo	significativo/essencial
áureo	cromático/metálico
higiênico	sanitário
hilariante	humorístico/engraçado
momentâneo	curto
bêbado	drogado/excitado/orgíaco/tocado/pedrado/entusiasmado/grogue
empreendedor	empresarial/diligente
trivial	frívolo/fútil
desinteressado	indiferente/apático
gratificante	aprazível
valente	bravo/heróico/animoso/destemido/valoroso/afoito/arrojado/corajoso
macio	aveludado/esponjoso/mastigável/flácido/aerodinâmica/fofo/mole/aerodinâmico/fofa
acolhedor	confortável
enganoso	desonroso
declarado	explícito
coitado	infeliz/miserável
povoado	inabitado
eclético	discriminatório
polar	antártico/frio/antárctico/ártico
contagioso	transmissível
vitoriano	próprio/adequado/conveniente
extravagante	sobrenatural
decidido	definitivo
anômalo	anormal/diferente
salutar	saudável
nordestino	nórdico/nortista
alegórico	representativo
impraticável	romântico/impossível
pitoresco	colorido/bonito/formoso/lindo/belo
supérfluo	desnecessário/prolixo
cobarde	pusilânime
picante	acídulo/azedo/desgradável
deplorável	ruim
desgraçado	desonroso/imoral
fatídico	decisivo
irreal	ilusório/fantástico/fictício/mítico/alucinatório/imaginário/místico/lendário
suposto	crível/improvável/provável
provinciano	provincial
cosmético	estético
aristocrático	nobre
aberrante	anormal
uno	cardinal/cardeal
maligno	canceroso
atempado	apropriado
canceroso	maligno
quinzenal	periódico
esperto	astuto
preguiçoso	desempregado
conflituoso	controverso/polêmico
áspero	abrasivo/arisco/montanhoso/anguloso/rochoso/acidentado/desagradável/pedroso/pedregoso
risonho	animador/animado/contente
heterogêneo	misto/sortido/variado
roxo	cromático
escorregadio	lodoso/deslizante
todo-poderoso	poderoso
devoto	piedoso/religioso
punitivo	penal/penitenciário
demonstrativo	noticioso
traumático	árduo/dolorido/doloroso/extenuante/doído
repentino	escarpado/explosivo/fulminante/brusco/íngreme/súbito/abrupto
ganhador	próspero/bem-sucedido
espantado	receoso
manso	dócil/suave
destrutivo	negativo/iconoclástico/cáustico/esbanjador/corrosivo
liso	aveludado/aerodinâmica/aerodinâmico
dúbio	enigmático
rotineiro	medíocre/cotidiano/banal/quotidiano/indiferente
aristocrata	nobre
exeqüível	possível
inerte	imóvel/inativo
imperceptível	invisível
identificável	classificável/diagnosticável
quieto	pacato/silencioso
coberto	encharcado/empoeirado
defeituoso	anormal/imperfeito
zangado	bravo/indignado/lívido/colérico/furioso/feroz/raivoso/furibundo/irado/irritado
empírico	confirmável/existencial/experimental/testável
analógico	figurativo
robusto	forte
terno	jovem/árduo/dolorido/doloroso/extenuante/doído/carinhoso/amoroso
termal	quente
doentio	asmático/gangrenoso/patológico/mental/ictérico/inflamatório/espumoso/artrítico/descorado/mórbido
sórdido	sujo
anão	pequeno
engenhoso	ágil/capaz/alerta/animado/hábil
circunstancial	específico
desarmado	indefeso
tenebroso	escuro
personalizado	pessoal
inestimável	precioso/valioso
histérico	inquieto
relutante	desafiador
satírico	sarcástico
inconsequente	audacioso/audaz/bravo/destemido/corajoso
levado	ruim
nebuloso	triste
molhado	aquoso/pluvioso/húmido/desleixado/pegajoso/encharcado/pesado/chuvoso/cafona
simétrico	bilateral/equilibrado/intercambiável
venenoso	malicioso/tóxico/perverso/maldoso
austral	sulista
apático	letárgico/desinteressado
acabado	polido/terminado
imperfeito	humano/defeituoso/irregular
inalterável	invariável/imutável
pernicioso	tóxico/nocivo
mundano	leigo/sofisticado/secular
ultravioleta	invisível
vencido	pagável
enganador	desonroso
azedo	desgradável/cortante/ácido/adstringente/acerbo/picante/acídulo
rochoso	áspero
afável	amigo/amigável/amistoso/amável/gentil/lhano
traiçoeiro	perigoso/infiel
procedente	relevante/pertinente
desonesto	corrupto
passional	colérico/ardente/fanático/devasso/flamejante/furiosa
rudimentar	basilar
teimoso	tenaz/porfiado/obstinado
esforçado	diligente
permeável	poroso
pomposo	presumido
precipitado	imprudente/apressado
esotérico	arcano/enigmático/abstracto/obscuro/místico/abstruso/misterioso/abstrato/oculto/secreto/recôndito/cabalístico
anedótico	comunicativo
espinhoso	árduo/difícil/foda/intrincado
reto	direito/perpendicular/bom/justo
proverbial	sabido
salgado	saboroso
radiante	contente/deslumbrante/reluzente/iridescente/prata/prateado/argênteo/refulgente/faiscante/argentino/animado/animador/brilhante/luminoso/claro
verídico	típico
diabético	doente/enfermo
tortuoso	complexo/semicircular/sinusoidal/sinuoso/curvilíneo/intrincado
fulminante	súbito/abrupto/repentino
espaçoso	amplo
