meloeiro	fruta
Charleston	Dança_de_Salão
Homem_de_Pequim	Homo_erectus
folheto	livro
grasnar	emitir/soltar
escritor	fazedor/autor/comunicador
desabafo	ocupação/atividade
fermentação	álcool
festival	festividade/celebração/festa
Esclerose_Múltipla	esclerose
escrava	trabalhador/alma/indivíduo/alguém/pessoa/escravo
tomar	injetar/adquirir/usar/beber/receber/obter/comprar/atingir/consumir
tailandês	asiático/asiática
fracção	porção/parte
dimensão	número/grandeza/magnitude
poejo	menta/hortelã
rápido	onda/vaga
telomerase	enzima
desconfiança	dúvida/peculiaridade/feição/incerteza
Anfiteatro	estádio
berbere	africano/afro-asiático
pista_de_dança	chão/piso/pavimento
amerício	metal/Metais
exonerar-se	demitir-se/resignar/quitar/abandonar/renunciar
químico	cientista
recepcionar	cumprimentar/saudar
surgir	emergir/tornar-se/transformar-se/virar/transformar/acontecer/aparecer
consagrar	dedicar/declarar/investir/comprometer/entronar
ressaca	desconforto/mal-estar
incitar	assistir/induzir/estimular/auxiliar/ajudar/concitar/desafiar/provocar/criar/realizar/construir/causar/fazer
identidade	reconhecimento/operador/identificação/semelhança/temperamento/personalidade/pessoa
simbolizar	indicar/significar/querer_dizer
metamorfose	transformação
húngara	europeu
multiplicar	ampliar/progredir/aumentar/computar/calcular
punhal	adaga/faca
denotação	intenção/significado/sentido
sósia	alma/equivalente/indivíduo/alguém/pessoa
solucionar	entender/comprender/compreender
vômito	excremento/reflexo/excreção/merda/expulsão
centésimo	classe/hierarquia/posição/posto
lítio	metal/Metais
tinir	ressoar/soar
aturar	deixar/consentir/permitir
abeto	conífera
catequizar	converter
impingir	ditar/impor/infligir
aclamação	aplauso/aprovação
católico	Cristãos/cristão/cristã/Cristão
duvidar	desconfiar/descrer/desacreditar
integridade	condição/honestidade/estado/situação
furar	provocar/despressurizar/separar/escavar/descompactar/cortar/perfurar/penetrar/dividir/desmoronar/criar/realizar/construir/causar
amónio	amoníaco
indiferença	apatia/sentimento/emoção/impressão/langor
pesada	reflexão/consideração
detetive	polícia/investigador/agente/policial/guarda
deformação	mudança/avaria/dano/estrago/prejuízo/alteração/variação/modificação
verruga	excrescência/saliência/montículo/protuberância/defeito
desculpar-se	justificar/vindicar
branquear	colorir/descolorir
Caruncho	besouro/escaravelho
chacal	cão/canídeo
consommé	sopa
remo	pá/implemento/instrumento/ferramenta
franquiar	licenciar/autorizar/certificar
testemunho	asserção/evidência/prova/indicação
folhear	cobrir/ganhar/virar/crescer/adquirir/tampar
rio	córrego
paisano	caipira
persistência	prosseguimento/determinação/continuação/resolução
Ministério_das_Relações_Exteriores	ministro
presidência	titularidade/legislatura/posto/cargo/posição
Sofista	filósofo
intuir	compreender/entender
Defesa_Civil	protecção/proteção
suicídio	homicídio/assassinato/morte
cassar	cancelar/anular/revogar
frescor	originalidade
emulsão	capa
técnico	treinador/líder/chefe
cientista	pesquisador/investigador/alma/indivíduo/alguém/pessoa
axiologia	filosofia
contrair-se	convergir/desabar/minguar/diminuir/decrescer
desmembrar	separar/dividir
hora	distância/momento/segundo/instante/etapa/dado/leitura/período/Distância/tempo
Lolita	garota/rapariga/senhorita/menina/moça
papagaio	brinquedo/ave/pássaro
consentir	aturar/responder/reagir/aceitar/acordar/concordar/aprovar/suportar/tolerar/aguentar
poder	influência/gastar/condição/força/qualidade/despender/estado/situação/causador
inter-relacionar	estar/ser/associar/relacionar/conectar
deslocar-se	deslocar/mover
quinhão	atribuição
zunir	fazer/ressoar/soar
expediente	feito/conquista/consumação/façanha/realização
profiláctico	medicamento/remédio/terapia
telegrama	mensagem
bistrô	restaurante
escopo	alcance/extensão
apressar	atuar/intensificar/alterar/acorrer/mudar/modificar/auxiliar/assistir/socorrer/ajudar/impelir/urgir/exortar/agir/fazer/andar/ir/caminhar/viajar
revisitar	retornar/regressar/devolver
convencionar	afiançar
corcova	edifício/tecido/estrutura
comando	exército
carona	passeio/passageiro
Chlamydia_trachomatis	chlamydia
desfastio	anseio
National_Institute_of_Standards_and_Technology	Governo/agência/escritório
cal	óxido/branco/brancura/cândido/alvo
desencantamento	edificação
averbar	alterar/mudar/modificar
desenredar	limpar/liberar
personalidade	personagem/celebridade/propriedade/característica/predicado/atributo/peculiaridade/feição/temperamento/pessoa
irritação	incômodo/raiva/ira/cólera/zanga/moléstia/contrariedade
desobedecer	rejeitar/recusar
panacéia	medicamento/remédio/terapia
ribombo	ruído
peneireiro-vulgar	falcão
incisivo	dente
quilha	viga/trave
final	ocupação/conclusão/término/cabo/fim/resultado/chegada/atividade
desenvolvimento	melhoramento/melhoria/uso/utilização
minúscula	letra/grafema
admissão	reconhecimento/ingresso/entrada
escovar	esfregar/remover/retirar/tirar/assear/limpar/purgar
consentimento	conformidade/aliança/acordo/pacto/aplauso/consenso/autorização/aprovação/sanção
refinação	processamento
espada	arma/armamento/gládio/baralho/carta
saturnismo	enfermidade/doença
desconfiar	desacreditar/descrer
demandar	necessitar/precisar/solicitar/requisitar/requerer/pedir
recender	perceber/aperceber/entender/aperceber-se/cheirar
microscopia	pesquisa
xale	manto/capa
reacionário	conservador
filosofia	convicção/religião/opinião/crença/fé
danês	europeu
enxame	grupo/conjunto
caramelo	castanho/candil/marron/marrom/bala
fumigação	revestimento
prolongar	aumentar/preservar/manter/continuar/alongar/crescer
escapatória	abertura/acção/ação/ato/feito
aglomeração	reunião/suma/montão/colecção/ruma/chusma/coleção/conjunto/grupo
Bombeiro	guardião/tutor/defensor/guarda
centelha	rosto/vivacidade/vitalidade/estro/aparência/expressão/verve/elã
arrumar-se	mudar/alterar/vestir-se
sujeitar	afetar/impactar
ianque	estado-unidense/norte-americano
auditor	observador/espectador/contabilista/controlador/contador
catamaran	veleiro
vulcanologia	Geofísica
gateway	entrada/boca
sexta	classe/hierarquia/posição/posto
medicamento	sonífero/narcótico/entorpecente/remédio/droga/agente
checo	eslavo
pôlder	solo/terra
van	camião/caminhão
apendicite	inflamação
persuadir	dissuadir/influir/convencer/influenciar/induzir
grogue	rum
grimório	manual
dessensibilização	abatimento/diminuição
procuração	mandato
gaúcho	cowboy/vaqueiro/boiadeiro
linchagem	homicídio/assassínio/assassinato
factorial	produto
Continente	continente
apoiar	financiar/colocar/garantir/ajudar/botar/carregar/pôr/arguir/argumentar
simulacro	aparência
cântaro	botelha/garrafa/frasco/biberão/Garrafa
adro	praça
Poetas	autor/escritor
algodão-doce	candil/caramelo/bala
urtiga	maconha
finalista	opositor/competidor/rival/contendor/inimigo/adversário/concorrente/desafiante
w	letra/caractér/carácter
manjerona	erva
Estado_Providência	Estado
reagir	tornar/revoltar-se/revoltar/atuar/agir/fazer
despedir	desempregar/remover/demitir/destituir
cremoso	bolo
dentição	jogo/grupo
bacharelar	receber
casebre	refúgio/asilo
aerossol	nuvem
magistério	posto/cargo/posição
bruxa	bruxo
aquário	tanque/cisterna/viveiro
desempacotar	remover/retirar/tirar
transpiração	secreção
deambular	ir/caminhar/andar
pescaria	trabalho/laboratório/oficina/emprego
carola	adoração
calhar	ocorrer/passar/suceder/acontecer
safar	foragir/escapulir/fugir/escapar
futurologia	terreno/campo/disciplina/domínio
efusão	inundação/enchente
freixo	árvore
patinho	pata/anás/pato
engenheiro	alma/indivíduo/alguém/pessoa
noticiar	informar
niilismo	doutrina/filosofia
arnica	erva/maconha
figurão	personagem
representante	vendedor/agente/alma/indivíduo/alguém/pessoa/advogado/defensor/proponente
xácara	poema/poesia
Orientação	curso
milésimo	classe/hierarquia/posição/posto
faiscar	emitir
reativar	causar/produzir/ativar
vestuário	cobertura/capa/vestido/traje/vestimenta/roupa
cidade	município/municipalidade
essência	intenção/substância/significação/significado
transcrição	composição
hélice	edifício/tecido/estrutura/curva/arco
periódico	publicação/edição
petroleiro	cargueiro
beliscar	agarrar/segurar
soco	infortúnio/porrada/golpe/azar/acidente
desmoronamento	ocorrência/evento/acontecimento
perverter	alterar/mudar/modificar
triunfo	júbilo/realização/obtenção/exultação
ecologista	biólogo/biologista
creador	alma/indivíduo/alguém/pessoa
responsável	culpado/líder/chefe
seitan	glúten
concórdia	pacto/acordo/aliança/aprovação/consenso/conformidade
obliterar	apagar
irromper	destacar-se/publicar-se/emergir
hifenização	divisão
Beethoven	música
ampliar	alterar/mudar/modificar/progredir/aumentar
rabo	conclusão/ânus/dente/Anatomia/dorso/reverso/costas/face/lado/término/fim/cabo
tragicomédia	comédia
jaburu	cegonha
coçar	irritar
cliché	comentário/observação
sonata	Música_Erudita/Música_Clássica
neta	neto/filho/descendente/descendência
Dinastia_Ming	dinastia
estalagem	casa/abrigo/alojamento
polinómio	função
Eros	anseio/apetite/pretensão/desejo
interdependência	reciprocidade
abotoar	prender/fixar
resmungar	reclamar/proferir/conversar/dizer/falar/verbalizar/lamentar
paliçada	fortaleza/obstáculo/barreira/fortificação
pronunciar	verbalizar/falar/dizer/conversar/proferir/declarar/julgar
despertar	alterar/tornar/mudar/modificar/revoltar-se/revoltar
baldeação	transferência/transporte
eufónio	tuba
vítima	alma/indivíduo/alguém/pessoa/desafortunado/desventurado
sufismo	misticismo
gratidão	sentimento/emoção/impressão
maluquice	estupidez
Capelas	igreja/templo
hemorragia	inchaço/traumatismo/lesão/mal/dano
sal	condimento/tempero
vibrafone	atmosfera/aura
guardião	tutor/defensor/guarda
ciclomotor	moto/mota/motocicleta
piroga	canoa
oxidação	corrosão/erosão
acionista	investidor
intriga	conspiração
DPOC	enfisema
manar	correr/mexer/mover/deslocar/fluir
ausência	tempo/convulsão/falta/escassez/deficiência/intervalo/carência/necessidade
infração	ofensa/crime
campismo	locação/lugar/sítio
anexo	adição/melhoria
cansar-se	indispor
signo	indício/sugestão/pista
indagação	inquérito/pergunta/questão
primogênito	descendência/descendente/filho
processo	causa/ocupação/atividade
numerário	pagamento/recompensa/dinheiro/moeda/divisa/cobre
engano	falsidade/mentira/insucesso/falha
Safari	expedição
pintar	representar/criar/fazer/figurar/cobrir/revestir
turquesa	azul-petróleo/azul/chave/mineral
deferência	cortesia/atitude
estruturar	coordenar/organizar
descalcificar	mudar/remover/retirar/tirar/alterar
ingenuidade	qualidade
engraxar	cobrir/tampar
arrear	anexar/unir/juntar
acinzentar	colorir/descolorir
posicionar-se	estar/ser
magnetómetro	contador/metro
acalentar	alterar/amar/mudar/modificar
adiantar	alterar/mudar/modificar
arresto	confiscação
crise	ataque
Talk_Show	emissão/programa
descontar	trocar
bruxaria	feitiço/mágica/magia/ilusionismo/Magia/encanto/Magia_Negra
ater	enrolar/confundir
agregação	suma
fumo	evaporação/vapor/erva/maconha
Naturismo	hábito/costume
desbordar	completar/encher
engodar	desencaminhar/desafiar/concitar/provocar/estimular/incitar/seduzir
disputa	batalha/resistência/pugna/peleja/combate/discórdia/desacordo/discrepância/discussão/querela/controvérsia/discordância/luta/conflito
escadaria	estrada/via/caminho
aceno	inclinação/sinal
dessensibilizar	alterar/mudar/modificar
lente	órgão
bochechar	limpar/lavar-se
minueto	Dança_de_Salão
massa	conjunto/mistura/cimento/pasta/corpo/dinheiro/multidão/montão/turba/reunião/colecção/ruma/chusma/coleção/aglomeração/grupo/divisa/moeda
caravana	romaria/procissão
pesquisa	buscar/procurar/Pesquisa/inquérito/investigação
e	letra/caractér/carácter
salto	distância/transição/impulsão/pulo/propulsão/fundo/crescimento/aumento/Distância
trilar	pronunciar/falar/dizer
desertar	partir/abandonar/ir/retirar-se/sair
noção	opinião/ideia/pensamento/idéia/concepção/conceito
indigo	corante/tintura/cor
Guernsey	Ilhas_do_Canal
delícia	ocupação/atividade
engravidar	tornar/fertilizar/revoltar-se/revoltar/inseminar/fecundar
crinolina	pano/fazenda/tecido
filho	menino/descendência/parente/descendente/infante/garoto/rapaz/moço/criança
vila	comunidade/região/município/localidade/Comunidade
maestro	gestão/Músico/músico/administração
capitalista	conservador/alma/indivíduo/alguém/pessoa
clavícula	osso
sabedoria	feição/habilidade/instrução/peculiaridade/educação
Ilha_de_Wight	condado
rascunho	texto
vértice	extremo
programador	engenheiro
ciclo	repetição/tempo/programa/intervalo
fermentar	imbuir
desenrolar	deslocar/desfazer/mover
vislumbrar	enxergar/observar/mirar/ver/olhar
borrego	vianda/carne
encrustar	ornar/decorar/adornar/ornamentar/embelezar/enfeitar
baioneta	faca
molar	dente
capitão-de-mar-e-guerra	capitão
dialética	filosofia
zoroastrismo	religião/fé
operário	insecto/plebeu/inseto/Insectos/obreiro/trabalhador/assalariado/empregado
Papua	região
barricar	tapar/entupir/trancar/obstruir/barrar
horticultura	pecuária/cultivo/agricultura
relance	olhar/olhada
decalque	expressão/locução/provérbio/ditado/idioma
anais	jornal/crônica/crónica/revista
organização	ocupação/comunidade/início/começo/atividade/administração/gestão/conjunto/grupo
congelar	reter/sofrer/gelar/solidificar/suspender/conter/padecer/tornar/revoltar-se/revoltar/modificar/interromper/mudar/alterar
controlo	ocupação/atividade
utilitarismo	doutrina/filosofia
ambiguidade	expressão/locução/provérbio/ditado/idioma
jornal	imprensa/jornalismo/revista/periódico/folha/Jornal/publicação/edição
projeto	opinião/ideia/conceito/pensamento/idéia/tarefa/trabalho/plano/intenção/projecto/programa/programação/traçado/concepção
delirar	aperceber-se/entender/aperceber/perceber
agricultor	fazendeiro/creador/criador
balcanizar	repartir/separar/dividir/fracionar
reprodução	cópia/figura/ilustração/desenho/imagem/representação/sexo/transa
supermodelo	modelo/manequim
seda	pano/fazenda/tecido
zagaia	lança
citoplasma	protoplasma
verbosidade	estilo/língua/discurso/linguagem
reconsideração	adição/melhoria
dispor	vender/gastar/colocar/influenciar/moldar/determinar/arranjar/providenciar/botar/carregar/pôr/despender
exclamação	expressão/enunciado
arranco	impulso/empurrão/impulsão/forca
indignação	raiva/ira/cólera/zanga
esquife	caixa
capricho	anseio/apetite/pretensão/desejo
acelga	vegetal/beterraba
estereotipar	classificar
Juiz_de_Paz	magistrado
malbaratar	despender/gastar
boqueirão	vão/fenda
enxugar	tomar/consumir/limpar/esfregar/formar/alterar/mudar/modificar/beber
demonstrar	evidenciar/transmitir/mostrar/apresentar/atestar/ressaltar/confirmar/corroborar/sustentar/substanciar/provar/suportar
recado	excursão
enfadar	molestar/importunar/irritar/assediar/aborrecer/incomodar/provocar
proteger	garantir/defender
ovação	reconhecimento/aplauso/aprovação/crédito
múmia	cadáver/morto/defunto/corpo
catalão	espanhola/românica/espanhol
esvair	finalizar/terminar/encerrar/parar/acabar/cessar
pasto	forragem/erva/maconha/prado/pradaria
encerramento	conclusão
cadeira	alfaia/posto/assento/cargo/posição/apoio/suporte/encosto/mobiliário/movéis/mobília/móvel
humilhação	degradação
azulejar	cobrir/tampar
paxá	chefia/autoridade
reler	ler
paleontologista	cientista
esforço	empenho/mão-de-obra/trabalho/tarefa/projeto/tentativa/ocupação/atividade
eletrificar	agitar/adequar/completar/excitar/encher/ajustar/adaptar
fraquejar	vacilar/duvidar/hesitar/gaguejar
secundário	coisa
terrorismo	coacção
império	monarquia/governo/corporação/regime/domínio
computador	maquinaria/máquina
facção	camarilha
rezar	comungar
filme	objeto/produção/produto/espectáculo/show
manifestar	surgir/transmitir/mostrar/apresentar/provar/atestar/aparecer
barragem	discurso/língua/idioma/linguagem/obstáculo/barreira
dolo	planeamento/planejamento
véu	vestuário/roupa
concunhado	cunhado
mala	compartimento/caixa/bagagem/embrulho
evangelismo	pregação/prédica/sermão
salitre	nitrato
embainhar	bordar
arquipélago	terra/chão/solo/relevo
luminescência	luz
antimatéria	matéria/substância
desarranjar	enlouquecer
interjeição	exclamação/interrupção/pausa
estômago	Anatomia/víscera
sacrificar	matar
carregar	impulsionar/colocar/alterar/encaixotar/levar/tocar/propulsar/botar/pôr/transportar/mudar/modificar/suprir/fornecer/prover/abastecer/deslocar/mover/completar/encher
azar	infortúnio/fenómeno/fenômeno/ensejo/sorte/problema/sina/destino/acidente
prematuridade	imaturidade
semicolcheia	nota/tom
máxima	expressão/locução/provérbio/ditado/idioma
inquisição	interrogatório
sermão	bronca/discurso
medalha	prêmio/galardão/Prémio/prémio
bordel	prédio/edifício
céu	região/superfície/atmosfera/ar
estilizar	redigir/provocar/escrever/criar/realizar/construir/causar
cicatrizar	melhorar
artifício	obstáculo/engano/desvantagem
piolho	sem-vergonha/insecto/inseto/Insectos
Gurkha	soldado/militar
finura	amor/afeição/apego
costeleta	rodela
Buraco_Negro	região
conotar	mostrar/expressar
classificação	operação/agrupamento/arranjo
voz	mensagem/cantador/cantor/cantora/vocalista/som/comunicação
Prado	prado/pradaria
requerer	exigir/solicitar/demandar/estar/ser/comunicar/transmitir/requisitar/pedir
ambulância	veículo/auto/viatura/automóvel/máquina/carro
comunicar	informar/interagir/enviar
caldeira	vasilhame/vasilha/vaso
cingalês	sânscrito/asiático/asiática
risotto	prato
vale	depressão/baixada
sultão	governador/governante
especialista	intelectual/intelecto
exultar	intoxicar/elevar/alegrar/regozijar/regozijar-se/animar/animar-se/alegrar-se
grelha	estrutura/ripa/sarrafo/infra
fumar	acender/tomar/consumir
cravista	tocador/instrumentista/instrumentalista/músico
invasão	delito/ataque/transgressão
desânimo	desespero
dançarino	intérprete
Icon	símbolo/aceno/emblema/sinal
Pomar	jardim/horto
crisma	sacramento/prova/confirmação
i	letra/caractér/carácter
obter	realizar/mudar/existir/conseguir/suceder/adquirir/receber/comprar/atingir/efetuar/efectuar/alterar/ser
emblema	símbolo/ornamento/sinal
charamela	oboé
elogiador	orador/interveniente/discursante/retor
solar	casa/habitação/vivenda
leucemia	câncer/cancro
modelação	talha/representação/escultura
tectónica	geomorfologia/morfologia
ressonância	oscilação/vibração
cágado	tartaruga
Metafísica	filosofia
frasco	vasilhame/vasilha/vaso/botelha/garrafa/biberão/Garrafa
motorista	chofer/operador/manipulador/condutor/conductor
nimbo	nuvem/nuvens
antagonista	alma/indivíduo/alguém/pessoa
necrópole	locação/lugar/sítio
perturbar	excitar/atuar/deslocar/mover/agitar/provocar/incitar/estimular/concitar/desgostar/desagradar/impressionar/comover/afetar/agir/fazer/confundir
charada	verbo/palavra/termo/vocábulo/questão/problema
eventualidade	ocorrência/evento/acontecimento/dependência
Lamas	clérigo/padre/sacerdote
canudo	cano/canal/duto/conduto/tubo/pipeline/cachimbo
internet	rede
auxiliar	levar/servente/ajudante/servidor/assistente/adjunto/criado/trabalhar/conduzir/guiar/dirigir/carregar/apoiar/ajudar
jogador	participante/atleta/contendor/alma/indivíduo/alguém/pessoa
asseio	limpeza/peculiaridade/feição
soçobrar	virar/derrubar
comprometer	arriscar/referir/relacionar/concernir/utilizar/usar/empregar/afetar/impactar
regresso	chegada/vinda/deslocamento/movimento/traslado
contrato	oferta/acordo/pacto/licitação
norma	critério/instrução/ideia/idéia/concepção/conceito
utensílio	unidade/todo/implemento/instrumento/ferramenta
último	classe/ocupação/hierarquia/posição/posto/atividade
Wishful_Thinking	ilusão/fantasia
Natal	tempo/festividade/temporada/estação
zinco	metal/Metais
tamargueira	arbusto/moita/mato
binómio	quantidade/número/soma
Mercúrio	metal/Metais
marketing	venda/procura/mercantilismo/comercialismo/comércio
quezília	aversão
coprólito	cocô/porcaria/excremento/merda/esterco/bosta
estourar	explodir/condenar/morrer/separar/arrebentar/dividir/desmoronar
beterraba	hortaliça/legume/vegetal
vício	anseio
enurese	incontinência
fanfarra	melodia/toada
tricolor	pendão/Bandeira/bandeira/pavilhão/estandarte
triângulo	formato/forma/polígono
rastrear	observar
palheta	Madeiras/ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
subscrição	pacto/acordo/aliança/aprovação/consenso/conformidade
oculto	causador
excreção	expulsão/Resíduos
carpir	emitir/soltar
letreiro	anúncio/edifício/tecido/estrutura
efeito	fim/fenômeno/fenómeno/resultado/causalidade
edificação	esclarecimento
lado	superfície/fronteira/faceta
Jihad	esforço
descentralizar	alterar/mudar/modificar
amparar	suprir/fornecer/prover/abastecer
assentir	transmitir/comunicar/consentir/concordar
negociação	discussão/negócio/debate
umbigo	centro/lugar
botanista	biólogo/biologista
órbita	percurso/estrada/itinerário/caminho/rota/linha
metrologia	ciência
hipotecar	dever
canonização	santificação
descompactar	ajustar/corrigir/acertar
esguichar	fluir/correr
socar	surrar/acertar/golpear/bater
desanexar	separar/dividir
aditamento	artigo/cláusula
roupa	cobertura/capa/vestido/traje/vestimenta/vestuário
Jardim_do_Éden	céu/Céu
janota	varão/macho/homem
pistoleiro	homicida/assassino
fumante	consumidor
direcionar	advertir/destinar/reger/governar/situar/posicionar/mirar/apontar
arca	caixa
estreitar	modificar/mudar/alterar
leite	lacticínio/laticínio/bebida/pão/alimentação/alimento/nutrição/comida
passagem	movimento/parte/estrada/capítulo/converter/viela/corredor/galeria
pré-condição	pressuposto
desgraça	vergonha/desonra
epilepsia	encefalopatia
Metralha	munição
convidado	visita/visitante
reeleger	nomear/designar/escolher/eleger
explicação	explanação/ideia/descrição/declaração
fauna	vida/montão/colecção/ruma/chusma/coleção/grupo/aglomeração
brecha	ambiguidade/vão/fenda
peregrinar	viajar
eclodir	nascer/procriar/reproduzir/gerar
neblina	bruma/ambiente/atmosfera/aerossol/nevoeiro/névoa/nuvem
juntar-se	reunir/unificar
sentenciar	declarar
coalhada	lacticínio/laticínio
guiar	deslocar/levar/salvar/governar/reger/mover/defender/salvaguardar/guardar/conduzir/carregar/dirigir/canalizar
ponta	convexidade/parte/traseiro/atleta/tomo/pedaço/porção/secção
equivalência	status/posição/classe/condição/estado
recomendação	loa/proposta/louvor/glória/elogio/conselho
emissão	estoque/fornecimento/abastecimento/espectáculo/show
minar	reforçar/fluir/explorar/correr
atitude	compreensão/cognição/noção/conhecimento
ansiedade	ânsia/preocupação/emoção/abalo/comoção/sentimento
Endoscopia	inspecionar/examinar
Torah	rolo/pergaminho
zigurate	templo
shareware	programa/software
agitar	acender/menear/anunciar/mostrar/apresentar/expor/exibir/publicitar/promover/divulgar/excitar/mexer/perturbar/mover/deslocar
duplicidade	engano
ar-condicionado	arrefecimento/esfriamento/refrigeração
varejista	revendedor/distribuidor/comerciante/mercador/negociante
indulgência	tolerância/absolvição/gratificação
Ano_Novo	ano
facilidade	habilidade/qualidade
imperador	monarca/suserano
savana	prado/pradaria
Arada	implemento/ferramenta/instrumento
sapata	restrição/limitação
fado	acontecimento/evento/ocorrência
gaiola	restrição/limitação/jaula
washingtoniano	estado-unidense/norte-americano
bônus	pagamento/recompensa
autodestruir	destruir
dilapidar	destruir/gastar/despender
amarra	controlo/controle
marcador	número
pausar	interromper/parar
regenerar	aperfeiçoar/provocar/ampliar/recriar/renovar/melhorar/progredir/aumentar/criar/realizar/construir/causar/alterar/mudar/modificar
escorar	prender/segurar/suster/sustentar/suportar/fixar
tamborete	assento/cadeira
esverdear	colorir/descolorir
romance	literatura/relacionamento/Ficção/ficção/relação/livro
moicano	iroquês
torta	pastel
desfigurar	avariar/deteriorar/estragar/danificar
rever	reorganizar/relembrar/examinar/lembrar-se/recordar/recordar-se/lembrar/analizar/reescrever
erro	mal/mal-entendido/opinião/ideia/conceito/pensamento/idéia/imperfeição/defeito/insucesso/fracasso/maldade/equívoco/falha/engano
graduação	classe/hierarquia/posição/posto
coentro	condimento/erva/tempero/maconha
inegibilidade	qualificação
antecessor	parente
preparar	ensinar/fabricar/educar/aprontar/provocar/criar/realizar/causar/construir/confeccionar/alterar/mudar/modificar
fiador	doador
manancial	fonte/lugar/procedência/nascente/raiz
descuido	equívoco/ausência/falha/erro/engano/perda/derrota
batismo	sacramento
granizar	precipitar/cair
olhadela	olhar/olhada
encontro	convergência/assembléia/compromisso/reunião
pedómetro	metro
munição	equipamento/arma/armamento
numerologia	terreno/campo/disciplina/domínio
lupanar	prédio/edifício
diligência	determinação/empenho/resolução/esforço
hidrofobia	sintoma/zoonose
torre	edifício/tecido/estrutura
diapiro	formação
barraquinha	banca
regozijo	alegria
garoto	menino/macho/varão/homem/infante/rapaz/moço/criança
penso	atadura/curativo
ruiva	alma/indivíduo/alguém/pessoa
vedar	fechar/cerrar
serenata	canção/cantiga
recarregar	carregar
iodo	antisséptico/tintura
tergiversar	enganar
idiota	imbecil/alma/indivíduo/alguém/pessoa/bobo/tolo/estúpido/simplório
falácia	mal-entendido/erro
ferida	inchaço/traumatismo/lesão/mal/dano
resignar	aceitar/partir/sair/largar/demitir-se/quitar/abandonar/renunciar
carregamento	pão
primazia	importância
adoçante	tentação/condimento/tempero
estrangeiro	união/alma/república/nação/país/turista/viajante/indivíduo/alguém/pessoa
proa	frente
espumar	borbulhar
despencar	cair
reivindicar	afirmar/jurar/solicitar/requisitar/requerer/pedir
navio	veículo/viatura/embarcação/barco
pilotar	governar/controlar/operar/dirigir/canalizar
ceia	jantar/repasto/refeição
contabilista	empresário
reconhecimento	aceitação/aprovação/discernimento/aplauso/compreensão/memória
impedimento	engano/obstáculo/erro/falha/equívoco/dificuldade/problema/acção/ação/ato/feito
psicose	psicopata
debulhar	agitar/sacudir/tremer
perfume	cheiro/hálito/odor
meandro	curva/arco
esfaquear	lesionar/lesar/machucar/ferir/empurrar/propulsionar
embaixador	embaixadora/porta-voz/diplomata/serventuário/funcionário/representante
sopa	prato
crooner	cantador/cantor/cantora/vocalista
fartar	tomar/consumir
fazenda	granja/possessão/quinta/sítio/utensílio/artefato/produto/Bens/mercadoria/artigo/bem/propriedade/trabalho/laboratório/oficina/emprego/imóvel
estalo	ruído/choque
distração	diversão/divertimento/entretenimento
cunhar	fabricar/construir/confeccionar
cúpula	telhado/teto/reunião/Reunião/domo
ânus	Anatomia/orifício
beijar	mimosear/acariciar/afagar/tocar/bater
pato-real	pata/anás/pato
omnipotência	condição/estado/situação
electrocardiograma	gráfico
emenda	descrição/correção/declaração
predestinar	predeterminar
eunuco	varão/macho/homem
precipitação	deslocamento/tornar/vento/tempo/clima/movimento/traslado/revoltar-se/revoltar
genealogia	clã/terreno/tribo/família/familia/campo/disciplina/domínio
conto	relato/ficção/Ficção/literatura/mentira/falsidade/história/relatório/estória
radar	metro
raso	oceano/água
malmequer	flor
técnica	método/Método/capacidade/talento/faculdade/habilidade
apontar	mostrar/direcionar/orientação/deformar/situar/posicionar/mirar/significar/querer_dizer/informar/indicar
apoderar	privar
asilo	refúgio/capa/fronha/edifício/tecido/estrutura
autarquia	independência/liberdade
topázio	mineral
Bens	produto/utensílio/artefato
a	letra/caractér/carácter
antecâmara	quarto/câmara/aposento/sala
crivo	peneira/coador
X	letra/caractér/carácter
rebocador	navio/escaler/barco/batel/bote
quebra-mar	obstáculo/barreira
cave	andar/piso/pavimento
borrasca	vento
falsificador	trapaceiro
ductilidade	maleabilidade/plasticidade
mimar	tratar
perfilar	representar/figurar
ubiquidade	presença
Via_Láctea	montão/colecção/ruma/chusma/coleção/grupo/aglomeração/nebulosa/galáxia
superpopulação	população
SGBD	programa/software
CPU	hardware
Igbo	raça/Etnicidade/etnia
dosimetria	medida/mensuração/medição
peito	tórax/Anatomia/colo
objetivar	alterar/mudar/modificar
gaveteiro	alfaia/mobiliário/movéis/mobília/móvel
status	condição/estado/situação
propagar	transmitir/gerar/reproduzir/procriar/andar/ir/caminhar/viajar
sacanagem	diversão
malfeitor	criminoso
Derrick	guincho/guindaste
desabusar	informar
fuzilar	atirar
passe	consentimento/consenso/autorização/aprovação/sanção
separatismo	tendência/separação
plenipotenciário	diplomata/embaixador
Terceiro_Mundo	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
estrangulamento	sufocamento/asfixia
butano	gás/carburante/combustível
sétimo	classe/hierarquia/posição/posto
night	acontecimento/festa
optimista	alma/indivíduo/alguém/pessoa
transcrever	escrever
repugnância	abominação/repulsa/asco/náusea/nojo/aversão/ódio
curtume	arte/ofício/profissão
serragem	madeira
esponsais	ritual/rito
elogiar	saudar/medir/estimar/avaliar
