Arundo	cana-do-reino
poder_legislativo_dos_Estados_Unidos	Congresso_dos_Estados_Unidos/Congresso_dos_estados_unidos/congresso
Melissa	f/Erva-cidreira/Erva_cidreira/erva-cidreira
Bromeliaceae	Bromelia/Tillandsia
Cebus	Macaco-prego-de-cara-branca
Anas	pato-real/verde-azulado/patinho
marinha	frota
bosque	árvore
Droseraceae	Drosophyllaceae/Aldrovanda/Drosera/Drósera/Drosophyllum_lusitanicum
Lophophora	peiote/mescal
Casa_de_Hanôver	George
Servia	sérvios/Sérvios/sérvio
Núbia	núbio
Ranunculus	Ranunculus_aquatilis
Grande_Londres	londrino
Islão	muçulmano/Muçulmano/Muçulmanos/Islão_sunita
forças_armadas	caixilho/corpo/militar
Tentaculata	Lobata/Cestida
Merginae	Mergus
Plantago	plantago
Epilobium	epilóbio/epílobo
manada	ovinos/ovelha/carneiro/vacum/gado/bovinos/gado_bovino/vaca
Iraque	iraquiano
administração	diretoria/órgão_administrativo/conselho_de_administração
Bicuda	Gar/Lepisosteiformes
Irlanda	irlandês
Povos_eslavos	eslavo
Linum	linho
Via_Láctea	Constelação_de_Crux/estrela/crux
Coracias	Rolieiro-europeu
Bizâncio	bizantino
Clube_de_futebol	quarterback/guard/linebacker/center
Falcao	Falcão_americano/Falcão-americano/tarrafa/falcão_peregrino/falcão/peneireiro-vulgar/gerifalte/falcão_gerifalte
Magnoliophyta	Magnoliopsida/plantas_de_flor/angiosperma/angiospérmicas
Colombia	colombiano
Genova	genovez
Viburnum	Lonicera_pileata/Viburnum_lantana/Viburnum_prunifolium/Viburnum_opulus
Amarantaceae	amaranto/Amaranto/Celosia/Gomphrena/Alternanthera
Canídeos	Canis/Vulpes/Raposas/cão/canídeo/Urocyon/Nyctereutes
Boehmeria	rami
Torneio_de_Futebol	Clube_de_futebol/Clubes_de_futebol
Actinidia	Actinidia_chinensis/quivi
Cyphomandra	Tamarilho
Amanita	Amanita_caesarea/Amanita_muscaria/Amanita_phalloides
Prunus	ameixoeira/ameixa/ameixeira/amêndoeira/amendoeira/Pessegueiro/pessegueiro/nectarina/cerejeira/albricoque/abricoque/alperce/abricó/abricote/damasqueiro
Serinus	canário
Turdidae	Myadestes/Erithacus/Turdus/Phoenicurus/sabiá/tordo/Luscinia/Saxicola
Inglaterra	inglesa/inglês/Inglês
América_Setentrional	norte-americano
República_da_Indonésia	indonésio
chimpanzé	chimpancé/chimpanzé-comum/Chimpanzé_comum/pongo/jocó/bonobo
Argélia	argelino
Hamamelidaceae	Corylopsis/Fothergilla
Schefflera	Schefflera_actinophylla
Carnívoros	procionídeos/Procionídeos/Felino/Felídeos/Felinos/Mustelídeos/mustelídeos/canídeos/Canídeos/Viverrinae
Dicamptodontidae	Rhyacotritonidae
Arecidae	Arales/Pandanales
Líbano	libanês
Viscaceae	Viscum/Phoradendron
Apidae	Psithyrus
Peixe-bruxa	Myxine
Organização_do_Tratado_do_Atlântico_Norte	Reino_da_Noruega/Grão-Ducado_do_Luxemburgo/Islândia/República_da_Bulgária/Noruega/Bulgaria/Bairros_da_Noruega/República_da_Islândia/Bulgária/Luxemburgo/Espanha/República_Francesa/França/Reino_Unido_da_Grã-Bretanha_e_Irlanda_do_Norte/Reino_Unido/Grã-Bretanha/Reino-Unido/Holando/Países_baixos/Países_Baixos/PaísesBaixos/Holanda/Reino_dos_Países_Baixos/Neerlândia/Canadá/Canada/EEUU/Estados_Unidos_da_América/América/Estados_Unidos/EUA/E.U.A./Turquia/República_da_Turquia/Itália/Italia/República_Italiana/Grécia/Listas_de_Portugal/Portugal/Alemanha/República_Federal_da_Alemanha/Reino_da_Dinamarca/Dinamarca/Bélgica/Poetas_da_Bélgica/Belgica
Rio_de_Janeiro	carioca
Thunbergia	Thunbergia_alata
Suídeos	dela/seu/świnia/porco/suíno
tabela	linha/coluna/bicha
Procionídeos	Quati/Procyon/Ailuropoda/Bassariscus
Maniraptora	Dromaeosauridae
Chlamydomonadaceae	Chlamydomonas
Ordem_dos_Dominicanos	Religiosos_da_Ordem_dos_Dominicanos
Scombridae	Carapau/cavala
Orchidaceae	Sarcochilus/Malaxis/Gymnadenia/orquídea/Cephalanthera/Encyclia/Coryanthes/Goodyera/Phragmipedium/Brassia/Epidendrum/Corallorrhiza/Hexalectris/Cypripedium/Aplectrum/Psychopsis/Epipactis/Glossodia/Dryadella/Angraecum/Miltonia/Scaphosepalum/Calopogon/Habenaria/Spiranthes/Ophrys/Himantoglossum/Bletilla/Anoectochilus/Grammatophyllum/Listera/Schomburgkia/Cleistes/Phalaenopsis/Pterostylis/Selenipedium/Platanthera/Paphiopedilum/Cycnoches/Catasetum/Pleione/Dactylorhiza
Fungos	ficomiceto/fungos/fungo
Columbiformes	Columbidae
Bellis	margarida/margaridinha/margarida-vulgar/mal-me-quer
Sérvia_e_montenegro	Jugoslavo/iugoslavo
Pelecaniformes	Fregatidae/Sulidae/Anhingidae/Rabo-de-palha/Phalacrocoracidae/Rabo_de_palha/Corvo-marinho/Cormorão/sulídeos
Lyra	Vega
Hystricomorpha	Dasyproctidae/Hystricidae/Chinchillidae/Caviidae/Bathyergidae
planeamento_urbano	delimitação_de_zonas
Cavalo-marinho	cavalo-marinho
Apodiformes	Apodidae/Hemiprocnidae/Andorinhão
Myriapoda	Diplópode/lacraia/centopéia
Salamandridae	Taricha/Salamandra/Triturus/Notophthalmus/Tritão
Abrocoma	Abrocomidae
Albânia	albanês/albanés/albanesa
Iémen	iemenita
Companhia_de_jesus	jesuíta/Jesuítas
Opuntia	figo-da-Índia
Cornaceae	Helwingiaceae/Griseliniaceae/Cornus/Aucuba/Curtisia_dentata
República_Popular_da_China	chinês/chinesa
Phoenicopteridae	flamingo
Felídeos	Felis/Acinonyx/grande_felino/gato/Panthera/felinos/felino/felídeos
Canadá	Canadense/canadiano/canadense
Melastomataceae	Rhexia/Melastoma
Hirundinidae	Hirundo/Delichon
Thylacomyidae	Macrotis_lagotis
Proboscidea	proboscídeos
Proteales	Proteaceae
Rickettsiales	Rickettsiaceae/Chlamydiaceae
Plantaginaceae	Plantago
Alemanha	alemão/alemã
Fringilla	tentilhão
Vietnã	vietnamita
Constelação_de_Carina	Canopus
Castores	Rodízio/castor/Castor_gigante/castor-gigante
Ruanda	Hútus/Tutsis/Tútsis/Hutus
Onagraceae	Circaea/Oenothera/Epilobium
Celosia	crista
Congresso_dos_estados_unidos	Câmara_dos_Representantes_dos_Estados_Unidos_da_América/Senado_dos_Estados_Unidos_da_América/Senado_dos_estados_unidos/Senado_dos_Estados_Unidos
Rosaceae	Poterium/Photinia/Morangueiro/Spiraea/Eriobotrya/Sorbus/Potentilla/morangueiro/Heteromeles/Chaenomeles/Prunus/Crataegus/Amelanchier/Geum/Rubus
Phaseolus	Feijão-de-lima/Feijão_de_lima/Feijão_de_Lima/feijão/Vagem
Nepal	nepali/xerpas
Crime_organizado	gangue
Construtivismo	construtivista
Talpidae	topeira/toupeira/Uropsilus
León	Regulus
Flavivírus	Flavivirus
Santalales	Santalaceae/Viscaceae/Loranthaceae
Parus	chapim-azul
Caenolestidae	Caenolestes
Bolivia	boliviano
Theobroma	Cacau/cacaueiro/cacau/Theobroma_cacao
Myrtales	Elaeagnaceae/Lecythidaceae/Combretaceae/Melastomataceae/Trapaceae/Haloragaceae/Nyssaceae/Onagraceae/Thymelaeaceae/Myrtaceae/Lythraceae/Rhizophoraceae
Columba	pombo-comum
República_Árabe_do_Egito	egípcio
caprimulgiformes	Podargidae
Strombidae	Lambis
Filo	espécies/classe
América	estado-unidense/norte-americano
Abies	pinheiro/abeto
Pistacia	terebinto/pistache
Algéria	argelino
Daucus	cenoura
Spiranthes	Spiranthes_spiralis
Chlorophyta	Ulvophyceae/algas_verdes/Charophyceae/Chlorophyceae
Paraguai	paraguaio
República_da_Finlândia	finlandês
alfabeto_latino	r/n/p/i/Q/á/s/e/k/J/zê/m/g/ípsilon/f/h/d/u/w/o/t/b/x/X/ó/z/a
Ruménia	romena/romeno
série	número
Megaderma	Megaderma_lyra
Strix	coruja-do-mato
República_da_Índia	hindu/indiano
Cuculiformes	Musophagiformes/Musophagidae
Namíbia	Hereros/hererós
Samoa	samoano
jogo	livro
grei	ovinos/ovelha/carneiro/vacum/gado/bovinos/gado_bovino/vaca
Metazoário	Cnidarios/Cnidários/cnidários
talão_de_cheques	assinaturaembranco/cartabranca
declinação	nominal/substantivo
Prussia	prussiano
Listas_de_Portugal	lusitano/português/luso
Parulini	Geothlypis/Mariquita/Dendroica
Ordem_dos_Pregadores	Religiosos_da_Ordem_dos_Dominicanos
Sauropterygia	plesiossauro
Pica_pau	Colaptes/pica-pau/fuinho/Campephilus/Picus/Melanerpes
Pinaceae	Pseudolarix/Abies/Tsuga/Pseudotsuga/Pícea/abeto/Picea/pinheiro/Pinus/Larix
Cabombaceae	Brasenia/Cabomba
Checoslovaquia	tchecoslovaco/checoslovaco
mata	árvore
Aplysiidae	Aplysia
Gruidae	Grus/grua/grou
Sarcophilus	diabo-da-tasmânia/Diabo_da_tasmânia/Diabo_da_Tasmânia
Chlamydomonadales	Chlamydomonadaceae/Volvocaceae
comitê	diretor/director
Apocynaceae	Thevetia/Vinca/Catharanthus/Tabernaemontana/Trachelospermum/Apocynum/Rosa_do_deserto/Dipladenia/Plumeria/Amsonia/Acokanthera/Rosa_do_Deserto/Rosa-do-deserto/Alstonia
Artocarpus	Jaca/jaca/fruta-pão/Artocarpus_incisa
Dacrydium	rimu
Primatas	primata/primatas/Lemuroidea
turma	Insectos/inseto/hemípteros/insetos/insecto
Kuwait	kuwaiti
Heteromyidae	Perognathus/Dipodomys/Microdipodops/Liomys
Elaeagnaceae	Elaeagnus
Spermophilus	Espermófilo
colégio	corpo_docente/faculdade/mestre/professor
Apodidae	gaivão/Collocalia/Apus
Fabaceae	Trifolium/Swainsona/feijão/Arachis/Caesalpinioideae/Dipteryx/Mimosoideae/Hymenaea/Centrolobium
Commelinidae	Commelinales
Aphididae	Aphis
Catostomidae	Catostomus
América_Central	americano
Lagostomus	viscacha
Dente_de_leão	dente-de-leão
Myomorpha	Muroidea/Dipodidae/Cricetidae/Spalacidae/Gliridae
Lapónia	lapônio/lapão
Lophiidae	Lofiformes/Lophiiformes/tamboril
Conium	cicuta
Suazilândia	Suázis
Unionidae	Unio
Crocodilos	crocodilo/Jacaré/Jacare
Scorpius	Antares
Etrúria	etrusco
Lepidosauria	Escamados
Lecythidaceae	Grias
Bolívia	boliviano
Nobreza	patrício/aristocrata
grupo	livro
Agapornis	agapornis/periquito-namorado
Chamaeleo	Camaleão-comum
Comunidade_de_Estados_Independentes	Bielorrussia/República_da/Ucrania/Azerbaijão/Moldávia/Ucránia/Bielorrússia/Belarus/Ucrânia/Azerbeijão/Tajiquistão/Tadjiquistão/Geórgia/Turcomenistão/Turquemenistao/Turquemenistão/Federação_Russa/Rússia/República_da_Armênia/República_da_Arménia/Arménia/Armenia/Armênia/Cazaquistão/Casaquistão/Cazaquistao/República_do_Cazaquistão/Usbequistão/Uzbekistan/Uzbequistao/Uzbequistão/Quirguistão/quirguiz/Quirguizistão/Quirguistao
Charadriidae	Charadrius/Pluvialis
Rallidae	Porzana/Fulica/Gallinula/Porphyrio/Gallirallus
Egipto	egípcio
República_Federal_da_Alemanha	alemão/alemã
crocodilianos	crocodilo/Jacaré/Jacare
Áustria	austríaco
Zantedeschia	Zantedeschia_aethiopica
Canavalia	feijão-de-porco
Laico	laico/leigo
Juglandaceae	Cyclocarya/Carya
mercado	bolsadevalores/bolsa/bolsa_de_valores/Mercado_de_ações/mercado_da_bolsa
Malásia	malaio/Malaios
Amaranto	amaranto
Crataegus	pirilteiro/Pilreteiro/estrepeiro/possa/pilriteiro
Papaver	Papoila/papoula/papoila/Papoila_dormideira/Papoila-dormideira
Matricaria	camomila-vulgar
Helodermatidae	monstro-de-gila/Monstro_de_gila/Monstro-de-Gila
reino	filo/Filo
Panthera	jaguar/jaguaretê/jaguarapinima/onça-pintada/acanguçu/canguçu/leão/Leões/tigre/Tigres/leopardo-das-neves/onça/leopardo
Deserto_do_Saara	tuaregues
junta	diretor/director
Sérvia_e_Montenegro	Jugoslavo/iugoslavo
Casa_de_Windsor	Elizabeth_II/Isabel_II
aliança	aliado
Marchantiales	Marchantiaceae
Polygalaceae	Polygala
Abissínia	etíope
guilda	sócio_de_clube
Loranthaceae	Loranthus/Arceuthobium
Threskiornithidae	Threskiornis
vaca	vitelo/bezerro/terneiro
cavalo_de_pau	potro
país	província/estado
Família_Real	princesa/Princesa/Sua_Alteza/rainha/rei/príncipe/Príncipe
Ave_limícola	Ostraceiro/Recurvirostridae/Glareolidae/Scolopacidae/Burhinidae/Charadriidae
Feminismo	feminista
Constelação_de_Centaurus	Beta_Centauri/Próxima_Centauri/Omega_Centauri/Alfa_centauri/Alfa_Centauri
Loxia	cruza-bico
Escócia	escocês
Freguesias	paroquiano
Trimurti	Brama/Shiva/Vixnu
classe	ordem/Arenavirus/Rhabdovírus/tribo/Flavivírus/Bunyaviridae/Flaviviridae/Rhabdovirus/Arenavírus/gênero/Gênero/género
Persea	abacateiro
Loasaceae	Mentzelia
serviço_militar	forças_armadas/exército
Leo	Regulus
Columbidae	Columba/Streptopelia/Rola/Rôla/pomba/pombo
comité	diretor/director
Lavandula	lavanda
Thuja	Thuja_plicata/Thuja_occidentalis
Carvalho	carvalho/carvalho-vermelho
Togo	togolense
Malacostraca	Decapoda/Isopodos/Isópodos/isópodos/Amphipoda/Anfípoda/Mysidacea
Pectinidae	vieira
Hydrobatidae	Oceanites
Proteus	Proteus_anguinus
Salvadoraceae	Salvadora
papado	papa/pontífice
Violaceae	Melicytus/Hybanthus
Berberidaceae	Caulophyllum/Epimedium/Podophyllum/Bérberis/Berberis/Mahonia
Rússia	República_de_Komi/russo
Thylacinus	Tigre_da_Tasmânia/Tigre-da-tasmânia/Tigre_da_tasmânia/tilacino
Viverrinae	binturong
Geórgia	georgiano
Pogostemon	Patchouli
Aesculus	Castanheiro_da_índia/Castanheiro_da_Índia/Castanheiro-da-índia
Armenia	armênios/Arménios
bovídeos	Ovis/Bovinae/bovinos/Tragelaphus/Bos/Palanca/Capra/búfalo
Dublin	Dublinenses
criação	nebulosa/galáxia/Via_Láctea
Cão_da_pradaria	cão-da-pradaria
Línguas_da_Lituânia	lituânio/lituânico/lituano
baleia-franca	Eubalaena
Bielorrussia	bielorrusso
Pequenas_Ilhas_da_Sonda	Bali/Báli/Timor
turdídeos	Myadestes/Erithacus/Turdus/Phoenicurus/sabiá/tordo/Luscinia/Saxicola
Àcaro	ácaro/Carrapato/tiquetaque/carrapato
Viscum	visco/Visco
Canis	lobo/cão/chacal/cachorro/loba
República_do_Líbano	libanês
Omã	omanense
Coraciiformes	Bucerotiformes/Bucerotidae/Abelharuco/Meropidae/Phoeniculidae/Juruva/Momotidae/Todidae/Coraciidae
coruja	Tytonidae/Strigidae/Corujas/estrige/bufo/mocho/corujão/Strigiformes
Canada	Canadense/canadiano/canadense
Estados_Confederados_da_América	Texas/Mississippi/Mississíppi/Carolina_do_sul/Carolina_do_Sul/Tennessee/Missouri/Alabama/Carolina_do_Norte/Flórida/Florida/Luisiana/Arcansas/Arkansas/Geórgia/Virgínia
Cupressaceae	Taxodiaceae/Juniperus/Tetraclinis/Cupressus/sequóia/Cedro_do_incenso/cedro-do-incenso/cedro/Criptoméria/Criptomeria/Chamaecyparis/Sequoiadendron/Athrotaxis/Libocedrus/Thuja/Taxodium/Callitris/Austrocedrus/Thujopsis
natureza	nebulosa/galáxia/Via_Láctea
crime_organizado	gangue
Chaetodontidae	Pomacanthus
coligação	aliado
lagomorfos	Leporidae
Leonotis	Leonotis_leonurus/Leonotis_nepetifolia
Miriápodes	Diplópode/lacraia/centopéia
Ácaros	ácaro/Carrapato/tiquetaque/carrapato
Oman	omanense
Decapoda	Reptantia
Primulales	Primulaceae/Myrsinaceae/Plumbaginaceae/Plumbaginales/Theophrastaceae
Alnus	Amieiro/amieiro
Cupressus	cipreste
maçonaria	maçom/franco-maçom
República_de_Malta	maltês
Gastrópodes	Docoglossa/Opisthobranchia/Pulmonata/Strombidae/Neritidae/Buccinidae/gastrópodes/Limacidae/Haliotidae
Via-Láctea	Constelação_de_Crux/crux
Acinonyx	guepardo/chita
Neuroptera	Hemerobiidae/Megaloptera
Estados_Unidos_Mexicanos	mexicana/Mexicano/mexicano
Plantae	criptógamas/espermatófita/Bryophyta_sensu_lato/Bryophyta/Lycopodiophyta/Lycophyta/Talófita/flora/planta/vegetal/Pteridófitas
Urticaceae	Parietaria/Boehmeria/Pilea/Laportea/Pipturus
Fagales	Betulaceae/Fagaceae/fagáceas
Lírio	Lilium_auratum/açucena/lírio
Trifolium	trevo
burocracia	funcionário_público
Faia	faia/Faia_europeia/Faia-europeia
Scolopacidae	Tringa/Calidris/Numenius/Bartramia
batalhão	companhia
Cártago	cartaginês/Cartagineses
mundo	gente/espectador/povo/pessoas/população/nebulosa/galáxia/Via_Láctea/audiência
Geococcyx	Geococcyx_californianus
República_do_Peru	peruano
Jugoslávia	Jugoslavo/iugoslavo
Árabia	árabe/Arábico
instituto	escola/IES/instituição_de_ensino_superior/universidade/corpo_docente/faculdade/mestre/professor
Quénia	queniano
Foeniculum	funcho
América_do_Sul	americano
espécies	ordem/Estirpe/variante/raça/estirpe
Anacardium	caju
Eslovaquia	eslovaco
Quati	quati
Azadirachta	Neem
Colégio_dos_Cardeais	cardeal
República_da_Letônia	letão
Virgo	Spica
Morus	amoreira
força_de_trabalho	partida
Zingiber	gengibre
Juncaceae	Juncus
comboio	locomotivas/locomotiva/máquina/vagão/automotora/automóvel/carro/trem/vagões
francomaçonaria	maçom/franco-maçom
Phoca	Foca-comum
Vulpes	raposa
lumeeira	pirilampo/vaga-lume
Sri-Lanka	cingalês
coro	coralista
Mentha	menta/hortelã
Piperales	Piperaceae/Saururaceae/Chloranthaceae
Xenopus	Xenopus_laevis
Canis_Major	Sirius/Sírio
República_Popular_Democrática	laosiano
Poetas_da_Bélgica	belga
Gyps	grifo
crocodilo	Crocodylus
Ceratonia	alfarrobeira/Alfarroba
Motacillinae	Anthus/Motacilla/Alvéola
Itália	sabinos/italiano/ítalo/italiana/itálico
Capsella	Bolsa_de_pastor/Bolsa-de-pastor
República_Islâmica_do_Paquistão	paquistanês
Austria	austríaco
escola	IES/instituto/instituição_de_ensino_superior/universidade/corpo_docente/faculdade/mestre/professor
Carpinus	carpino
Gabinete_dos_Estados_Unidos	Secretário_de_Estado/Secretário_de_estado
Bulgaria	búlgaro
Poeciliidae	Gambusia
Amaranthaceae	amaranto/Amaranto/Celosia/Gomphrena/Alternanthera
Filovirus	Vírus_de_Marburg
Sete_Maravilhas_do_Mundo_Antigo	Colosso_de_rodes/Colosso_de_Rodes/Jardins_Suspensos_da_Babilônia/pirâmide
Petroselinum	perrexil/salsa
Constelação_de_Canis_Minor	Procyon
Denominações_anabatistas	Anabatismo/anabatista
Cuba	cubano/Cubano
Mammea	Abricó-do-Pará/Abricó-do-pará
gente	espectador/plebeu/cidadã/cidadão/alma/indivíduo/ser_humano/alguém/pessoa/audiência
terra	província/estado
Baobá	embondeiro/baobá/adansônia/baobabe
Somália	somali
Etiopia	etíope
Gendarmaria	gendarme
Regimes_políticos	partido_político/partido/legenda
concílio	vereador
CEI	Bielorrussia/República_da/Ucrania/Azerbaijão/Moldávia/Ucránia/Bielorrússia/Belarus/Ucrânia/Azerbeijão/Tajiquistão/Tadjiquistão/Geórgia/Turcomenistão/Turquemenistao/Turquemenistão/Federação_Russa/Rússia/República_da_Armênia/República_da_Arménia/Arménia/Armenia/Armênia/Cazaquistão/Casaquistão/Cazaquistao/República_do_Cazaquistão/Usbequistão/Uzbekistan/Uzbequistao/Uzbequistão/Quirguistão/quirguiz/Quirguizistão/Quirguistao
eleitorado	eleitor/votante/constituintes/eleitores/_votantes
Cedro_do_incenso	Cedro-do-incenso-da-califórnia/Cedro_do_incenso_da_Califórnia/Cedro_do_incenso_da_califórnia
Actinidiaceae	Actinidia
plâncton	fitoplâncton/zooplâncton
Lycosidae	Lycosa
Picris	Picris_echioides
Rubiaceae	cafeeiro/garança/Rubia/Vangueria/Asperula/Galium/Psychotria/Mitchella
Ornitísquios	Marginocephalia/Tireoforanos/Thyreophora
Ruminantia	Antilocapridae/Trágulo/bovídeos/ruminante/ruminantes
Fungi	ficomiceto/fungos/fungo
lei	polícia/agente/policial/guarda
família_real	princesa/Princesa/Sua_Alteza/rainha/rei/príncipe/Príncipe
Epipremnum	Epipremnum_aureum
Italia	sabinos/italiano/ítalo/italiana/itálico
Cotingidae	Rupicola/Procnias
Agnatha	Anaspida/Cyclostomata
Dublim	Dublinenses
República_Federativa_do_Brasil	brasileira/brasileiro
Nymphaea	Nymphaea_lotus
Caryophyllaceae	Cerastium/Sagina/Stellaria/Saponaria/Moehringia/Spergularia/Minuartia/Scleranthus/Gypsophila/Dianthus/Agrostemma/Arenaria/Spergula
País_de_Gales	galês
Escalas_musicais	nota/tom
baralho	dama/Cartas_de_jogar/carta/carta_de_baralho/naipe
Berberis	bérberis/uva-espim
Oriolini	Oriolus
Veneza	veneziano/vêneto
Gliridae	Eliomys/lirăo/arganaz
Euphorbia	coroa-de-cristo/eufórbio
Erithacus	pisco_de_peito_ruivo
Malta	maltês
Urocyon	Raposa_cinzenta/raposa-cinzenta
Pterodactilo	pterodáctilo
Scrophulariaceae	Castilleja/Antirrhinum/Agalinis/Scrophularia/Linaria/Penstemon/Chelone/Collinsia
Tróia	troiano/troiana
Associação_de_Nações_do_Sudeste_Asiático	Singapura/Cingapura/República_Popular_Democrática_Lao/Lao/Laos/Laus/República_Democrática_Popular_de_Lao/República_Popular_Democrática/Myanmar/Birmânia/Mianmar/República_da_União_de_Myanmar/Brunei/Indonésia/Indonesia/República_da_Indonésia/Sião/Tailândia/Reino_da_Tailândia/Filipinas/Camboja/Reino_do_Camboja/Vietnã/Vietname/Malásia/Malasia
Estado_de_Israel	israelense
Peromyscus	Peromyscus_maniculatus
Cynara	alcachofra_de_comer/Alcachofra/alcachofra_hortense/alcachofra
Coveite	kuwaiti
_hora_marcada	acompanhante/ficante
Península_da_Malásia	Malaios/malaio
orquídea	Sarcochilus/Malaxis/Gymnadenia/Cephalanthera/Encyclia/Coryanthes/Goodyera/Phragmipedium/Brassia/Epidendrum/Corallorrhiza/Hexalectris/Cypripedium/Aplectrum/Psychopsis/Epipactis/Glossodia/Dryadella/Angraecum/Miltonia/Scaphosepalum/Calopogon/Habenaria/Spiranthes/Ophrys/Himantoglossum/Bletilla/Anoectochilus/Grammatophyllum/Listera/Schomburgkia/Cleistes/Phalaenopsis/Pterostylis/Selenipedium/Platanthera/Paphiopedilum/Cycnoches/Catasetum/Pleione/Dactylorhiza
agregado	nécton/Plancton/plâncton
Glycine	soja/semente_de_soja
Vieira	vieira
urbanismo	delimitação_de_zonas
Chimpanze	chimpancé/chimpanzé-comum/Chimpanzé_comum/chimpanzé/pongo/jocó/bonobo
Alaudidae	Alauda
Abelharuco	Merops
Cynodon	Cynodon_dactylon
Cinnamomum	cânfora/canela/caneleira
Erythroxylum	coca
Strigidae	Asio/Otus/Strix
Paquistão	paquistanês
Bucerotidae	calau
Syngnathidae	Syngnathus/cavalo-marinho/cavalo_marinho/Cavalo-marinho/Peixe-cachimbo
Sri_lanka	cingalês
América_Latina	latino-americano/latinoamericano
Dasyatidae	arraia/raia
Curcuma	Cúrcuma/Açafrão_da_terra/Açafrão-da-terra
Romênia	romena/romeno
Constelação_de_Lyra	Vega
Malpighiaceae	Malpighia
povo	espectador/gente/pessoas/população/plebeu/cidadã/cidadão/alma/indivíduo/ser_humano/alguém/pessoa/audiência
vaga-lume	pirilampo
Dicksoniaceae	Dicksonia
Rutáceas	Zanthoxylum/Phellodendron/Dictamnus
Pastinaca	Pastinaca_sativa
Virgem	Spica
Chondrichthyes	Elasmobranchii
Organização_para_a_libertação_da_palestina	Fatah
Asteraceae	Hypochaeris/Rudbeckia/Crepis/Lasthenia/Erigeron/Brickellia/Helipterum/Elephantopus/Bellis/Delairea/Stokesia/Packera/Echinops/Mikania/Cacalia/Bidens/Helenium/Hyalosperma/Doronicum/Dente_de_leão/Cirsium/Layia/Dendranthema/Parthenium/Homogyne/Eriophyllum/Silybum/Anaphalis/Enceliopsis/Echinacea/Centaurea/Conoclinium/Onopordum/Anacyclus/Buphthalmum/Cotula/Chamaemelum/Craspedia/Antennaria/Helichrysum/Liatris/Cnicus/Matricaria/Argyranthemum/Sonchus/Ozothamnus/Argyroxiphium/Matricária/dente-de-leão/Baccharis/Melampodium/Ageratina/Ligularia/Pulicaria/Carduus/Senecio/Magydaris/Conyza/Boltonia/Picris/Leontopodium/Eupatorium/Leucanthemum/cardo/Arctotis/Haplopappus/Olearia/Tanacetum/Gnaphalium/Sanvitalia/Gérbera/Gerbera/Townsendia/Carthamus/Verbesina/artemísia/Encelia/Pericallis/Ratibida/Madia/Cynara/Lactuca/Prenanthes/Scolymus/Grindelia/Callistephus_chinensis/Anthemis/Pilosella/Balsamorhiza/Amberboa/Gynura/almeirão/Hulsea/Hazardia/Felicia/Petasites/Arctium/Santolina/crisântemo/Machaeranthera/Gutierrezia/Chrysothamnus/Carlina_salicifolia/Saussurea/Tripleurospermum
República_da_Guatemala	guatemalteco/guatemalense
Balistidae	Monacanthidae
rebanho	ovinos/vacum/gado/bovinos/gado_bovino/vaca/ovelha/carneiro
República_Árabe_do_Egipto	egípcio
Sorex	musaranho_comum
Lepidoptera	lepidópteros/Lymantriidae/Arctiidae/Nymphalidae/Noctuidae/Pyralidae/Bombycidae/Tortricidae/Gelechiidae/Pieridae/Geometridae/Saturniidae/Sphingidae/Lasiocampidae/Lycaenidae/larva/lagarta
Veratrum	heléboro
ASEAN	Singapura/Cingapura/República_Popular_Democrática_Lao/Lao/Laos/Laus/República_Democrática_Popular_de_Lao/República_Popular_Democrática/Myanmar/Birmânia/Mianmar/República_da_União_de_Myanmar/Brunei/Indonésia/Indonesia/República_da_Indonésia/Sião/Tailândia/Reino_da_Tailândia/Filipinas/Camboja/Reino_do_Camboja/Vietnã/Vietname/Malásia/Malasia
Periplaneta	barata-australiana/Barata_australiana/Barata_americana/Barata-americana
Pedaliaceae	Proboscidea/Sesamum
Plancton	fitoplâncton/zooplâncton
Asteridae	Rubiales/Campanulales
Felinos	Felis/Acinonyx/grande_felino/gato/Panthera/felinos/felino/felídeos
Caricaceae	Cárica/Carica
Gesneriaceae	Saintpaulia/Sinningia/Alsobia
Ptilonorhynchidae	Chlamydera
Planejamento_Urbano	delimitação_de_zonas
Croácia	Croata/croatas
EEUU	estado-unidense/norte-americano
Tulipa	túlipa/tulipa
Nicarágua	nicaraguense
Teleostei	Pempheridae/Osteoglossiformes/Acanthopterygii
Jordânia	jordaniano
paroquianos	paroquiano
aveia	Avena_sativa
Ilex	azevim/azevinho
paróquia	paroquiano
Spheniscus	Pinguim-africano/Pinguim_africano/Pingüim-africano
bovinos	vitelo/bezerro/terneiro
Borago	borragem
Angiosperma	Magnoliopsida/plantas_de_flor/angiosperma/angiospérmicas
Falconidae	falcão/Falco/Falcão/Falcao
falconídeos	falcão/Falco/Falcão/Falcao
Papagaio	Psittacula/Agapornis/Amazona/Cacatua
Atropa	beladona
Psidium	Araçá_rosa/goiabeira/Araçá-rosa
Botsuana	hererós/Hereros
República_Francesa	basco/francês
Picidae	Colaptes/pica-pau/fuinho/Campephilus/Picus/Melanerpes
Turdinae	Myadestes/Erithacus/Turdus/Phoenicurus/sabiá/tordo/Luscinia/Saxicola
cosmo	nebulosa/galáxia/Via_Láctea
Arménia	armênios/Arménios
Aptenodytes	pinguim-rei/pinguim-imperador
Classe_Media	burguês/burguesa
