apertado	tenso
correcto	aprimorado/perfeito/bem_acabado/precisa/textual/literal/preciso/exato/acurado/justo/exacto
doente	adoentado/doentio/insalubre/enfermo/inapropriado
considerável	grande
infiel	inconstante
imortal	infinito/celeste
leal	patriótico/fiel
íngrime	perpendicular/fio_de_prumo/vertical
inacreditável	inverossímil
imperfeito	quebrado/partido
elástico	flexível
curisoso	emocionante/excitante
audível	alto/berrante/alta/estrepitante
primário	original/essencial/primeiro
inexorável	inconquistável/impossível
experiente	grosso/resistente/habilidoso/talentoso
humano	civilizado/misericordioso/compassivo
mal_afamado	desonroso/imoral
caridoso	liberal
satisfeito	contente
sujado	eriçado/hirto
voluntário	consciente
diligente	ocupado/cuidadosa/cautelosa/prudente/atento
comilão	indulgente
existente	remanescente/autêntico/genuíno/legítimo/realístico/concreto
futuro	prospectivo
honesto	legítimo/honrado/genuíno/autêntico/correto/verdadeiro
repentino	rápido/rápida/veloz
mutável	inconstante
monótono	sem_cor/incolor
ativo	energético/enérgico/vívido
preto	escuro
perdido	maldita/maldito
característico	típico
eufórico	feliz/contente
bem_sucedido	afortunado/produtor/produtivo
júnior	jovem/subalterno
formoso	gracioso/atraente/aprazível
racional	sã/lógico/mentalmente_sadio/sadio/são/mentalmente_são/razoável
lasso	solto/frouxo
baixa	inferior
perpendicular	reto/íngrime/íngreme
irreal	sobrecomum/artificial/f''/sobrenatural
horrível	desagradável/arisco
crível	plausível
negligente	imprudente/superficial/sem_cuidado/desatencioso
duradouro	estável/imutável/inalterável
lacônico	taciturno
celeste	imortal/sagrado
negro	escuro
prejudicial	maligno/ofensivo/desfavorável/ofensiva/desvantajoso/caluníe/nocivo/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
cair	cair_aos_pedaços/desfazer-se/decair/piorar/receder/separar/dividir/desmoronar
que_não_coopera	desobediente
espesso	largo/ampla/amplo/gordo
privilegiado	afortunado/rico/rica
público	aberto
concreto	tangível/físico/existente/prático
subordinado	subalterno/inferior
inseguro	inquieto/precário/despadronizado/instável/desuniforme/desnivelado/perigoso/vulnerável
legítimo	verdadeiro/existente/sincero/honesto/honesta/sincera/válido/legal
impotente	infértil/estéril/improdutivo/débil/inútil/vão/ineficaz
gelado	frio
caloroso	quente/forgoso
contemporâneo	novo/tardio/corrente/actual/atual
delicado	débil
acessível	conveniente
ferido	avariado/danificado/lesionado/atingido/deteriorado/imcompleto/com_imperfeições/partido/quebrado
acordado	consciente/alerta/ciente/informado
agradável	boa!/afável/amável/gentil/lhano/aprazível
lauto	rica/rico
sênior	velho
abaixo	deprimido/descendente
bastante	rica/rico
inverossímil	incrível/inacreditável
Limpo	exigente/detalhista/limpo
verdadeiro	autêntico/genuíno/legítimo/sincera/honesta/honesto/sincero/correto/justo/certo
material	substancial
progressivo	dianteiro/industrial
sagrado	religioso/piedoso/celeste/dedicado
garboso	digno/gracioso/grácil/mimoso/sofisticado
congelado	frio
vantajoso	afirmativo/optimista/otimista/construtivo/rendoso/lucrativo/proveitoso/propício/oportuno/cómodo
pesaroso	triste/infeliz
misericordioso	clemente/amável/humanitário/humano/brando
o_mesmo	similar/semelhante/parelho/idêntico/igual/análogo
inteligente	esperto/precoce
óbvio	aberto
sensual	excitante/emocionante
seguro	previsível/que_se_pode_prever/inofensivo/inócuo/que_não_causa_danos/invulnerável/indene/indemne
sincrônico	síncrono
caraterístico	típico
desatento	inconsiderado
inteligível	compreensível
provável	possível
direita	destro
desatencioso	descuidado/negligente
doce	saboroso
valente	corajoso/sem_medo/destemido/bravo/audaz/audacioso/aventureiro
largo	extenso/detalhado/amplo/abrangente/exaustivo/espesso/grosso
feliz	animador/animado/ditoso/eufórico/grato/alegre/contente
cauto	cuidadosa/cautelosa/prudente/atento
retardado	estúpido/lerdo
macho	varonil/viril/varão/masculino/masculina
conseqüente	racional/lógico
bonito	gracioso/atraente/aprazível
figurativo	retórico
sobrenatural	irreal/não_material
simétrico	paralelo/paralela/regular
infrequente	raro/casual/esporádico
que_se_pode_prever	seguro/inevitável/certo
familiar	sabido
rotineiro	ordinário/costumeiro/genérico/comum/geral/usual/habitual
não_governável	desafiador/teimoso/obstinado/teimosa/silvestre/selvagem/desobediente
determinável	calculável
volátil	inconstante
frígido	frio
precário	inseguro/oscilante/inconstante/temporário
digno	moral/piedoso/religioso/casta/casto/reto/justo/eqüitativo/recto/bom/boa/precioso/valioso/honrado/gracioso/esbelto/garboso/airoso/elegante/constituído
quente	caloroso/passional
semelhante	mesmo/o_mesmo
esmaecido	involuntária/adormecido
salubre	bem/em_forma/saudável
virtuoso	recto/moral/piedoso/boa/eqüitativo/religioso/justo/bom/reto/casta/casto
experimentado	grosso/resistente/habilidoso/talentoso
ciente	consciente/desperto/acordado/sensível
harmonioso	compatível
destruído	avariado/danificado
claro	branco/cândido/alvo
tenro	brando/comestível
compreensível	explicável/inteligível
rápido	apressado/repentina/súbito/abrupto/repentino
acurado	bem_acabado/precisa/exato/preciso/correcto/correto/justo/certo
moderno	novo/tardio/corrente/actual/atual
sábio	prudente/judicioso/sensato/aconselhável
não_cooperativo	desobediente
comum	solidário/rotineiro/normal/ordinário/costumeiro/genérico/geral/usual/habitual
inequívoco	não_ambíguo
novo	contemporâneo/moderno/fresco/recente/corrente/actual/atual
textual	exato/preciso/correcto/certo
santo	sagrado/dedicado
não_ambíguo	unívoco/inequívoco
íngreme	perpendicular/fio_de_prumo/vertical
hirto	sujo/suja/sujado
feminino	feminina
consistente	invariável
belo	gracioso/atraente/aprazível
congenial	amigo/amigável/amistoso/simpática/compatível
confuso	indistinto/indefinido/impreciso/ambíguo/vago/dúbio/opaco/incompreensível
frívolo	superficial
adequado	apropriado/correto/justo/certo/satisfatório
salgado	saboroso
esgotável	substituível
taciturno	reservado/não_comunicativo/sucinto/lacônico/conciso/lacónico
estrepitante	audível/ruidoso/barulhento
incerto	imprevisível
eficaz	efetivo/útil/potente/poderoso/eficiente
indireto	escuso
inconquistável	inexorável/insuperável/invulnerável
antipático	desagradável/arisco
paranormal	afetado/antinatural/Fenômenos_paranormais
alvo	claro
perigoso	inseguro/vulnerável
insuperável	inconquistável/impossível
ambicioso	empreendedor
amplo	extenso/detalhado/abrangente/exaustivo/espesso/grosso/largo/ampla/geral/completo/integral/totalizado
digerível	comestível
que_não_tem_razão	não_ético/injusto/imoral/maléfico/mau/má/ruim/maléfica/malvado/malvada/iniquo
impreciso	geral/dúbio/ambíguo/confuso
lucrativo	útil/produtor/produtivo/favorável/profícuo/vantajoso/propício
esotérico	privado
saboroso	desgradável/azedo/fermentado/acídulo/doce/apetitoso/salgada/salgado
imbecil	lerdo/estúpido
auspicioso	propício
imprescindível	necessário/essencial
vertical	reto/íngrime/íngreme
sintético	lógico
valioso	caro/decoroso/digno/importante
injusto	incorrecto/que_não_tem_razão/desonroso/imoral/parcial
inevitável	previsível/que_se_pode_prever
extrangeiro	internacional
singelo	simples/fácil
idiota	lerdo/estúpido
sem_cor	desinteressante/monótono/chato
escuso	indireto
ofensivo	agressivo/prejudicial/nocivo/daninho/danoso/desrespeitoso/maléfico/mau/má/ruim/maléfica/malvado/abominável/desagradável/arisco
organizado	estruturado/sistemático/sistémico
imisericordioso	implacável/sangüíneo/sangrento
farto	rica/rico
conotativa	implícito
magro	fino
dedicado	sagrada/santa/sagrado/santo
optimista	vantajoso/positivo
imprevisto	surpreendente
afável	amável/simpático/agradável
a_termo	maturo/maduro
pior	inferior/ruim
interessante	emocionante/excitante
mesmo	similar/semelhante/parelho/idêntico/igual/análogo
sincero	legítimo/honrado/genuíno/autêntico/correto/verdadeiro
invulnerável	inconquistável/protegido/seguro
síncrono	sincrônico
limitado	mortal
necessário	que_não_pode_ser_dispensado/indispensável/obrigatório/essencial/imprescindível
manso	tratável
entusiasmado	inquieto
não_usual	original
abominável	malvado/ofensivo
invariável	consistente/constante
azedo	saboroso
desvantajoso	prejudicial/nocivo/daninho/danoso
implacável	imisericordioso/impiedoso
emocionante	interessante/curisoso/sensual/sexy
estruturado	organizado
áspero	rugoso/desnivelado/desuniforme/despadronizado
sobrecomum	irreal/não_material
profano	leigo/secular
imcompleto	avariado/danificado/ferido/doente/adoentado/doentio/insalubre/inapropriado/partido/quebrado
impiedoso	implacável/sangüíneo/sangrento
limpo	Limpo
gordo	espesso/grosso
guloso	indulgente
sucinto	taciturno
cuidadosa	judicioso/sensato/cauto/cauteloso/atento/prudente/diligente
inalienável	intrínseca/intrínseco
poderoso	potente/efetivo/eficaz/eficiente/forte
silencioso	suave
chato	sem_cor/incolor
estéril	ineficaz/impotente
aventureiro	valoroso/valente/afoito/arrojado/brava/audacioso/audaz/bravo/destemido/corajoso
informado	consciente/desperto/acordado/sensível
lhano	amável/simpático/agradável
audacioso	bravo/valoroso/valente/afoito/arrojado/brava/corajoso/destemido/sem_medo/aventureiro
subordinada	subalterno/inferior
diferente	vário/incompatível/desigual/que_oferece_várias_aspectos
sacrificável	substituível
plano	imutável/liso/macio
permanente	estável/imutável/inalterável
entranhado	intenso/intensivo/erudito
homogêneo	invariável/uniforme/mesmo/o_mesmo
conspícuo	indiscreto/imprudente
queama	passional/amorável/empenhado
indulgente	comilão/guloso
prestativo	útil/funcional/prático
excitante	interessante/curisoso/sensual/sexy
inexplicável	incompreensível
empreendedor	aventureiro/ambicioso/enérgico/energético
responsável	prudente/judicioso/sensato
rabo	posterior/traseiro/de_trás
clemente	misericordioso/compassivo
