meloeiro	fruta
poejo	menta/hortelã
aeronáutica	Fisica/Física/física
rápido	vaga
Tomilho	tomilho/timo
telomerase	enzima
berbere	afro-asiático
amerício	metal/Metais/metais
exonerar-se	demitir-se/resignar/quitar/abandonar/renunciar
recepcionar	cumprimentar/saudar
surgir	emergir/transformar-se/virar/transformar/acontecer/aparecer
consagrar	dedicar/declarar/investir/comprometer/entronar
ressaca	desconforto
incitar	induzir/estimular/ajudar/concitar/desafiar/provocar/criar/construir/causar
identidade	identificação/semelhança/personalidade
simbolizar	indicar/significar/querer_dizer
café_da_manhã	repasto
húngara	europeu
multiplicar	progredir/aumentar/calcular
punhal	adaga
denotação	intenção/significado
sósia	equivalente/ser_humano/alguém
solucionar	comprender/compreender
vômito	excremento/reflexo/excreção
centésimo	classe/hierarquia/posição/posto
lítio	metal/Metais/metais
tinir	ressoar/soar
aturar	deixar/consentir/permitir
abeto	conífera
catequizar	converter
impingir	ditar/impor/infligir
aclamação	aprovação
abutre	aves_de_rapina
duvidar	desconfiar/descrer
integridade	condição/honestidade/Honestidade/estado/situação
furar	provocar/despressurizar/separar/escavar/descompactar/perfurar/penetrar/dividir/desmoronar/criar/construir/causar
Pátria_minha	terra/país
pesada	reflexão/consideração
detetive	polícia/investigador/agente/guarda
deformação	mudança/avaria/dano/estrago/alteração/variação/modificação
verruga	excrescência/saliência/montículo/protuberância/defeito
desculpar-se	justificar/vindicar
branquear	colorir/descolorir
Diverticulite	inflamação
chacal	cão/canídeo
franquiar	licenciar/certificar
folhear	cobrir/virar/crescer/adquirir/tampar
rio	córrego
Ministério_das_Relações_Exteriores	ministro
presidência	titularidade/legislatura/posto/cargo/posição
Sofista	filósofo
intuir	compreender
Defesa_Civil	protecção/proteção
suicídio	homicídio/morte
cassar	cancelar/anular/revogar
frescor	originalidade
técnico	treinador/líder/chefe
cientista	pesquisador/investigador/ser_humano/alguém
axiologia	filosofia
contrair-se	convergir/desabar/minguar/diminuir/decrescer
desmembrar	separar/dividir
Spl	pressão
hora	distância/momento/segundo/instante/etapa/período/Distância/tempo
papagaio	brinquedo/ave
consentir	aturar/responder/reagir/acordar/concordar/suportar/tolerar
poder	gastar/condição/qualidade/despender/estado/situação/causador
inter-relacionar	estar/ser/associar/relacionar/conectar
deslocar-se	deslocar/mover
quinhão	atribuição
zunir	ressoar/soar
profiláctico	produtos_farmacêuticos/medicamento/remédio/terapia
Mezzo-soprano	voz
escopo	alcance/extensão
apressar	atuar/intensificar/alterar/acorrer/mudar/modificar/socorrer/ajudar/impelir/urgir/exortar/agir/andar/caminhar/viajar
revisitar	retornar/regressar/devolver
construção_naval	edificação/construção
convencionar	afiançar
carona	passageiro
Chlamydia_trachomatis	chlamydia
desfastio	anseio
National_Institute_of_Standards_and_Technology	Governo/agência
máquina_do_tempo	maquinaria/máquina
código_de_barras	código/Codificação
Hipnótico	sonífero/produtos_farmacêuticos/medicamento/narcótico/entorpecente/remédio/droga
desencantamento	edificação
Antibiotico	Bactericida
averbar	alterar/mudar/modificar
desenredar	limpar/liberar
personalidade	personagem/propriedade/característica/predicado/atributo/peculiaridade/feição
irritação	incômodo/ira/cólera/zanga/moléstia/contrariedade
desobedecer	rejeitar/recusar
panacéia	produtos_farmacêuticos/medicamento/remédio/terapia
ribombo	ruído
quilha	viga/trave
minúscula	grafema
admissão	ingresso/entrada
escovar	esfregar/remover/tirar/assear/limpar/purgar
consentimento	conformidade/aliança/acordo/consenso/aprovação/sanção
refinação	processamento
terceira_idade	ser_humano/alguém
saturnismo	enfermidade/doença
desconfiar	descrer
demandar	necessitar/precisar/requisitar/requerer/pedir
recender	perceber/aperceber/aperceber-se/cheirar
microscopia	pesquisa
filosofia	convicção/religião/fé/ciências_humanas
danês	europeu
enxame	grupo
caramelo	castanho/candil/marron/marrom/bala
prolongar	aumentar/preservar/manter/continuar/alongar/crescer
escapatória	abertura/acção/ação
aglomeração	reunião/suma/montão/colecção/ruma/chusma/coleção/grupo
Bombeiro	tutor/guarda
centelha	vivacidade/vitalidade/expressão/verve/elã
arrumar-se	mudar/alterar/vestir-se
sujeitar	afetar/impactar
ianque	estado-unidense
auditor	contabilista/contador
vulcanologia	geofísica/Geofísica
gateway	entrada/boca
Questor	serventuário/funcionário
medicamento	sonífero/produtos_farmacêuticos/narcótico/entorpecente/remédio/droga/agente
checo	eslavo
pôlder	terra
van	camião/caminhão
apendicite	inflamação
persuadir	dissuadir/influir/convencer/influenciar/induzir
grogue	rum
grimório	manual
Aluvião	sedimento
dessensibilização	abatimento/diminuição
procuração	mandato
gaúcho	cowboy/vaqueiro/boiadeiro
linchagem	homicídio/assassínio
factorial	produtos/produto
Continente	continente
apoiar	colocar/ajudar/carregar/arguir/argumentar
cântaro	botelha/garrafa/frasco/biberão/Garrafa
Poetas	autor/escritor
algodão-doce	candil/caramelo/bala
urtiga	maconha
finalista	opositor/competidor/contendor/adversário/concorrente/desafiante
w	caractér/carácter
Estado_Providência	Estado
reagir	tornar/revoltar-se/revoltar/atuar/agir
despedir	desempregar/remover/demitir/destituir
dentição	jogo/grupo
casebre	refúgio/asilo
aerossol	nuvem
magistério	posto/cargo/posição
zonas_industriais	região/extensão
Sarja	pano/têxteis/fazenda/tecido
desempacotar	remover/tirar
transpiração	secreção
deambular	caminhar/andar
pescaria	trabalho/laboratório/locais_de_trabalho/oficina/emprego
carola	adoração
calhar	ocorrer/passar/suceder/acontecer
safar	foragir/escapulir/fugir/escapar
futurologia	campo/disciplina
efusão	inundação
meios	fundos/capital
espanhóis	povo
vida_selvagem	vida
engenheiro	ser_humano/alguém
noticiar	informar
niilismo	doutrina/filosofia
política_externa	política
arnica	maconha
figurão	personagem
corpo_diplomático	corpo
representante	agente/ser_humano/alguém/advogado/proponente
xácara	poema/poesia
Orientação	curso
milésimo	classe/hierarquia/posição/posto
faiscar	emitir
reativar	causar/produzir/ativar
vestuário	bens_de_consumo/vestimenta/roupa
transcrição	composição
hélice	edifício/tecido/curva/arco
periódico	publicação/edição
beliscar	agarrar/segurar
soco	infortúnio/golpe/má_sorte/azar/acidente
perverter	alterar/mudar/modificar
triunfo	júbilo/obtenção/exultação
ecologista	biólogo/biologista
creador	ser_humano/alguém
responsável	culpado/líder/chefe
seitan	glúten
concórdia	acordo/aliança/aprovação/consenso/conformidade
obliterar	apagar
irromper	destacar-se/publicar-se/emergir
hifenização	divisão
Beethoven	música
rabo	conclusão/ânus/dorso/face/lado/término/fim/cabo
Persa	asiático/asiática
pescas	comércio/empresa
Orfandade	menino/jovem/criança
tragicomédia	comédia
jaburu	cegonha
coçar	irritar
cliché	comentário/observação
sonata	Música_Erudita/Música_Clássica
neta	neto/filho/descendente/descendência
liberdade_religiosa	direitos_do_cidadão
estalagem	casa
polinómio	função
abotoar	prender
resmungar	reclamar/proferir/conversar/dizer/falar/verbalizar/lamentar
paliçada	fortaleza/obstáculo/barreira/fortificação
pronunciar	verbalizar/falar/dizer/conversar/proferir/declarar/julgar
despertar	alterar/tornar/mudar/modificar/revoltar-se/revoltar
baldeação	transferência/transporte
vítima	ser_humano/alguém/desventurado
sufismo	misticismo
gratidão	emoção/impressão
maluquice	estupidez
hemorragia	inchaço/traumatismo/lesão/dano
sal	condimento/tempero
vibrafone	aura
ciclomotor	motocicleta
oxidação	corrosão
acionista	investidor
intriga	conspiração
DPOC	enfisema/ENFISEMA
manar	mexer/mover/deslocar/fluir
Travamento	acidente/azar
ausência	tempo/convulsão/falta/escassez/deficiência/intervalo/carência
liberto	homem_livre
infração	ofensa/crime
campismo	locação/lugar/sítio
cansar-se	indispor
signo	indício/sugestão
indagação	inquérito/pergunta/questão
Oração_Subordinada	cláusula/oração
primogênito	descendência/descendente/filho
processo	causa/ocupação/atividade
numerário	pagamento/recompensa/dinheiro/moeda
Safari	expedição
pintar	representar/criar/figurar/cobrir/revestir
turquesa	azul-petróleo/azul/chave/mineral
deferência	cortesia
madeira	materiais_de_construção/Materiais_de_construção
estruturar	coordenar/organizar
descalcificar	mudar/remover/tirar/alterar
ingenuidade	qualidade
engraxar	cobrir/tampar
arrear	anexar
acinzentar	colorir/descolorir
associação_profissional	associação/união/ordem/sociedade/organização
posicionar-se	estar/ser
magnetómetro	contador/metro
acalentar	alterar/amar/mudar/modificar
Zoologia	ciências_da_vida
adiantar	alterar/mudar/modificar
ensino_superior	formação/educação/didáctica/Educação/instrução/ensino/ensinamento
bruxaria	mágica/magia/ilusionismo/Magia/encanto/Magia_Negra/magia_negra
ater	confundir
agregação	suma
Naturismo	hábito/costume
desbordar	completar/encher
engodar	desencaminhar/desafiar/concitar/provocar/estimular/incitar/seduzir
Heráldica	naipe
disputa	batalha/resistência/pugna/peleja/combate/discórdia/discrepância/discussão/querela/discordância/luta/conflito
escadaria	estrada/via/caminho
aceno	inclinação/sinal
dessensibilizar	alterar/mudar/modificar
bochechar	limpar/lavar-se
minueto	dança_de_salão/Dance_music/Dança_de_Salão
massa	mistura/cimento/corpo/dinheiro/multidão/materiais_de_construção/montão/turba/reunião/colecção/ruma/chusma/coleção/aglomeração/grupo/Materiais_de_construção/moeda
pesquisa	buscar/Pesquisa/inquérito/investigação
e	caractér/carácter
salto	distância/transição/impulsão/crescimento/aumento/Distância
Defense_advanced_research_projects_agency	Governo/agência
trilar	pronunciar/falar/dizer
desertar	partir/abandonar/retirar-se/sair
noção	pensamento/idéia/concepção
indigo	corante/tintura/cor
Guernsey	Ilhas_do_canal/Ilhas_do_Canal
Caixa_de_música	instrumento
crinolina	pano/têxteis/fazenda/tecido
filho	menino/descendência/parente/descendente/infante/garoto/rapaz/moço/criança
capitalista	ser_humano/alguém
afectar	atuar/alterar/mudar/modificar/agir
clavícula	osso
sabedoria	feição/habilidade/instrução/peculiaridade/educação
tribunal_de_justiça	tribunal/assembléia/assembleia
Ilha_de_Wight	condado
vértice	extremo
programador	engenheiro
ciclo	tempo/programa/intervalo
fermentar	imbuir
abrasivo	materiais
desenrolar	deslocar/desfazer/mover
vislumbrar	enxergar/mirar/ver/olhar
borrego	vianda/carne
encrustar	ornar/decorar/adornar/ornamentar/embelezar/enfeitar
Scriptorium	quarto/aposento/sala
dialética	filosofia
zoroastrismo	religião/fé
operário	insecto/plebeu/inseto/Insectos/obreiro/trabalhador/assalariado/empregado
Papua	região
barricar	tapar/entupir/trancar/obstruir/barrar
relance	olhar
decalque	expressão/locução/provérbio/ditado/idioma
organização	ocupação/comunidade/início/começo/atividade/administração/gestão/grupo
congelar	reter/sofrer/gelar/solidificar/suspender/conter/padecer/tornar/revoltar-se/revoltar/modificar/interromper/mudar/alterar
utilitarismo	doutrina/filosofia
ambiguidade	expressão/locução/provérbio/ditado/idioma
jornal	imprensa/jornalismo/periódico/folha/Jornal/publicação/edição
projeto	pensamento/idéia/tarefa/trabalho/plano/intenção/projecto/programa/traçado/concepção
delirar	aperceber-se/aperceber/perceber
balcanizar	repartir/separar/dividir/fracionar
citoplasma	protoplasma
Nidificação	ninho
verbosidade	estilo/língua/discurso/linguagem
Fotoquímica	química
reconsideração	adição/melhoria
dispor	vender/gastar/colocar/influenciar/moldar/determinar/providenciar/carregar/despender
exclamação	expressão
arranco	impulso/empurrão/impulsão
indignação	ira/cólera/zanga
esquife	caixa
capricho	anseio/apetite/pretensão
acelga	beterraba
estereotipar	classificar
Juiz_de_Paz	magistrado
malbaratar	despender/gastar
boqueirão	fenda
enxugar	tomar/consumir/limpar/esfregar/formar/alterar/mudar/modificar/beber
demonstrar	evidenciar/transmitir/apresentar/atestar/ressaltar/confirmar/corroborar/substanciar/provar/suportar
enfadar	molestar/importunar/irritar/assediar/aborrecer/incomodar/provocar
proteger	defender
Catecumenato	aluno/pupilo/estudante
ovação	aprovação/crédito
múmia	cadáver/morto/defunto/corpo
catalão	línguas_românicas/espanhola/espanhol
esvair	finalizar/terminar/encerrar/parar/acabar/cessar
pasto	forragem/maconha/prado/pradaria
encerramento	conclusão
ressonância_magnética	Tomografia
cadeira	posto/assento/cargo/posição/apoio/suporte/encosto/mobiliário/movéis/mobília/móvel
humilhação	degradação
hidráulica	mecânica/Mecânica
Gêmeos	irmã/irmão/ser_humano/alguém
reler	ler
paleontologista	cientista
esforço	mão-de-obra/trabalho/tarefa/projeto/tentativa/ocupação/atividade
eletrificar	agitar/adequar/completar/excitar/encher/ajustar
fraquejar	vacilar/duvidar/hesitar/gaguejar
secundário	coisa
império	empresas/governo/corporação/regime
computador	maquinaria/máquina
facção	camarilha
Reduto	fortaleza
filme	objeto/produção/produto/show
manifestar	surgir/transmitir/apresentar/provar/atestar/aparecer
Francófilo	seguidor
dolo	Planejamento/planeamento/planejamento
véu	vestuário/roupa
mala	caixa/embrulho
salitre	nitrato
embainhar	bordar
arquipélago	terra/chão/relevo/terra_firme
antimatéria	matéria/substância
desarranjar	enlouquecer
constipação	doenças_respiratórias/Doenças_respiratórias
interjeição	exclamação/interrupção
estômago	víscera
carregar	impulsionar/colocar/alterar/encaixotar/tocar/propulsar/transportar/mudar/modificar/suprir/fornecer/abastecer/deslocar/mover/completar/encher
azar	infortúnio/fenômeno/ensejo/sorte/problema/destino/circunstâncias/má_sorte/acidente
prematuridade	imaturidade
semicolcheia	nota/tom
máxima	expressão/locução/provérbio/ditado/idioma
inquisição	interrogatório
sermão	bronca/discurso
medalha	prêmio/galardão/Prémio/prémio
robótica	inteligência_artificial/IA
Optometria	prática
céu	região/superfície/ar
estilizar	redigir/provocar/escrever/criar/construir/causar
cicatrizar	melhorar
artifício	obstáculo
piolho	sem-vergonha/insecto/inseto/Insectos
arquitectura_paisagista	arquitectura/arquitetura
Gurkha	soldado/militar
finura	amor/afeição/apego
costeleta	rodela
Buraco_Negro	região
conotar	expressar
classificação	operação/agrupamento/arranjo
voz	cantador/cantora/vocalista/comunicação/Voz_humana/voz_humana
Prado	prado/pradaria
requerer	demandar/estar/ser/comunicar/transmitir/requisitar/pedir
ambulância	auto/automóvel/máquina/carro
comunicar	informar/interagir/enviar
caldeira	vasilhame/vasilha/vaso
cingalês	sânscrito/asiático/asiática
risotto	prato
Paleobiologia	Paleontologia/paleontologia/ciências_da_vida
vale	depressão/baixada
sultão	governador
exultar	intoxicar/elevar/alegrar/regozijar/regozijar-se/animar-se/alegrar-se
fumar	acender/tomar/consumir
Dândi	varão/macho/homem
cravista	tocador/instrumentista/instrumentalista/músico
invasão	delito/transgressão
desânimo	desespero
dançarino	intérprete
Icon	Simbolo/aceno/sinal
Hospitais_psiquiátricos	enfermaria
megalópole	área_urbana
crisma	sacramento/confirmação
i	caractér/carácter
sindicatos	organização
elogiador	interveniente/discursante/retor
Perfusão	inserção/introdução
leucemia	câncer/cancro
modelação	representação/escultura
tectónica	geomorfologia/morfologia/Geomorfologia
Metafísica	filosofia
frasco	vasilhame/vasilha/vaso/botelha/garrafa/biberão/Garrafa
direito_administrativo	lei/jurisprudência/ciências_jurídicas
nimbo	nuvem
antagonista	ser_humano/alguém
necrópole	locação/lugar/sítio
perturbar	excitar/atuar/deslocar/mover/agitar/provocar/incitar/estimular/concitar/desgostar/desagradar/impressionar/comover/afetar/agir/confundir
charada	verbo/palavra/vocábulo/questão/problema
Lamas	clérigo/padre/sacerdote
canudo	cano/canal/duto/conduto/tubo/pipeline/cachimbo
internet	rede
jogador	participante/contendor/ser_humano/alguém
asseio	limpeza/peculiaridade/feição
soçobrar	virar/derrubar
comprometer	referir/relacionar/concernir/utilizar/usar/empregar/afetar/impactar
regresso	chegada/deslocamento/movimento/traslado
norma	critério/instrução/código_de_conduta/idéia/concepção
utensílio	unidade/todo/implemento/instrumento/ferramenta
último	classe/ocupação/hierarquia/posição/posto/atividade
Wishful_Thinking	ilusão
zinco	metal/Metais/metais
Africânder	sul-africano
tamargueira	moita
binómio	quantidade
Árbitros_de_futebol	árbitro/juiz
Mercúrio	metal/Metais/metais
marketing	venda/procura/mercantilismo/comercialismo/comércio
quezília	aversão
coprólito	cocô/excremento/esterco
estourar	condenar/morrer/separar/arrebentar/dividir/desmoronar
beterraba	hortaliça/legume
vício	anseio
enurese	incontinência
tricolor	pendão/Bandeira/bandeira/pavilhão/estandarte
triângulo	formato/forma/polígono
Plectro	ferramenta/aparelho/aparato/mecanismo/instrumento/equipamento
palheta	Madeiras/ferramenta/aparelho/aparato/mecanismo/instrumento/equipamento
subscrição	acordo/aliança/aprovação/consenso/conformidade
excreção	Resíduos/resíduos/Resíduo/resíduos_sólidos
carpir	emitir/soltar
letreiro	anúncio/edifício/tecido
edificação	esclarecimento
lado	superfície/fronteira/faceta
Sociedade_gestora_de_participações_sociais	empresas/companhia
Jihad	esforço
descentralizar	alterar/mudar/modificar
amparar	suprir/fornecer/abastecer
assentir	transmitir/comunicar/consentir/concordar
negociação	discussão/debate
umbigo	lugar
botanista	biólogo/biologista
órbita	estrada/itinerário/caminho/rota/linha
metrologia	ciência
descompactar	ajustar
esguichar	fluir
socar	surrar/golpear/bater
desanexar	separar/dividir
ponto_de_vista	posição/postura
roupa	bens_de_consumo/vestimenta/vestuário
Jardim_do_Éden	céu/Céu
janota	varão/macho/homem
pistoleiro	homicida/assassina
fumante	consumidor
direcionar	advertir/reger/governar/situar/posicionar/mirar/apontar
marina	doca
arca	caixa
estreitar	modificar/mudar/alterar
leite	produtos_alimentares/lacticínio/laticínio/bebida/pão/alimentação/alimento/nutrição/comida
previsão_do_tempo	previsão/predição
Iconografia	Ícone/desenho/figura/ilustração/ícone
passagem	movimento/parte/estrada/converter/corredor/galeria
Metralha	munição
Lintel	viga/trave
reeleger	nomear/designar/escolher/eleger
explicação	explanação/descrição/declaração/Descrição
fauna	vida/montão/colecção/ruma/chusma/coleção/grupo/aglomeração
brecha	ambiguidade/fenda
peregrinar	viajar
eclodir	nascer/procriar/reproduzir
juntar-se	reunir/unificar
Ergotamina	alcalóide
sentenciar	declarar
Organza	pano/têxteis/fazenda/tecido
coalhada	lacticínio/laticínio
guiar	deslocar/salvar/governar/reger/mover/defender/salvaguardar/carregar/dirigir/canalizar
equivalência	status/posição/classe/condição/estado
recomendação	loa/proposta/glória/conselho
emissão	estoque/materiais/show
minar	reforçar/fluir/explorar
Endoscopia	inspecionar/examinar
Torah	rolo/pergaminho
agitar	acender/menear/apresentar/expor/publicitar/promover/excitar/mexer/perturbar/mover/deslocar
ar-condicionado	arrefecimento/esfriamento
varejista	revendedor/distribuidor/negociante
indulgência	tolerância/absolvição/gratificação
facilidade	habilidade/qualidade
Jurisprudência	Direito_civil/direito_civil
imperador	monarca/suserano
Arada	implemento/ferramenta/instrumento
gaiola	jaula
washingtoniano	estado-unidense
bônus	pagamento/recompensa
autodestruir	destruir
dilapidar	destruir/gastar/despender
pausar	interromper/parar
regenerar	aperfeiçoar/provocar/recriar/melhorar/progredir/aumentar/criar/construir/causar/alterar/mudar/modificar
escorar	prender/segurar/suster/suportar
tamborete	assento/cadeira
romance	literatura/Ficção/ficção
moicano	iroquês
desfigurar	avariar/deteriorar/estragar/danificar
rever	relembrar/examinar/lembrar-se/recordar/recordar-se/lembrar/analizar
erro	mal-entendido/pensamento/idéia/imperfeição/defeito/fracasso/Maldade/maldade/falha
graduação	classe/hierarquia/posição/posto
coentro	condimento/tempero/maconha
inegibilidade	qualificação
antecessor	parente
fiador	doador
manancial	lugar/procedência/nascente/raiz
Tubérculo	caule/tronco
descuido	ausência/falha/erro/perda/derrota
férias	lazer/tempos_livres/período/etapa/estação/tempo
batismo	sacramento
granizar	precipitar
olhadela	olhar
encontro	convergência/assembléia/compromisso/reunião
pedómetro	metro
munição	equipamento/equipamento_militar/armamento
numerologia	campo/disciplina
eugenia	ciências_da_vida
lupanar	prédio/edifício
diligência	determinação/resolução/esforço
cândida	candidíase
hidrofobia	zoonose
torre	edifício/tecido
diapiro	formação
barraquinha	banca
garoto	menino/macho/varão/homem/infante/rapaz/moço/criança
ruiva	ser_humano/alguém
vedar	fechar/cerrar
serenata	canção/cantiga
recarregar	carregar
iodo	antisséptico/tintura/Tintura/Halogénio
tergiversar	enganar
idiota	imbecil/ser_humano/alguém/bobo/tolo/estúpido/simplório
realidade_virtual	videogame/videojogo
falácia	mal-entendido/erro
resignar	partir/sair/demitir-se/quitar/abandonar/renunciar
Carminativo	remédio/medicamento/produtos_farmacêuticos
adoçante	tentação/condimento/tempero
estrangeiro	união/república/país/turista/viajante/ser_humano/alguém
espumar	borbulhar
reivindicar	afirmar/jurar/requisitar/requerer/pedir
Deão	cardeal
pilotar	governar/operar/dirigir/canalizar
Homónimo	verbo/palavra/vocábulo
ceia	repasto
contabilista	empresário
psicose	psicopata/Psicopatia
debulhar	agitar/sacudir/tremer
Oratório	Música_Erudita/Música_Clássica
Derme	estrato
assassina	criminoso/matador/homicida
Alho-porro	legume/verdura/hortaliça
perfume	cheiro/hálito
meandro	curva/arco
esfaquear	lesionar/lesar/machucar/ferir/empurrar/propulsionar
embaixador	porta-voz/diplomata/serventuário/funcionário/representante
crooner	cantador/cantora/vocalista
fartar	tomar/consumir
fazenda	granja/possessão/quinta/sítio/quintas/utensílio/artefato/produto/mercadoria/propriedade/trabalho/laboratório/locais_de_trabalho/oficina/emprego/imóvel/imobiliária
estalo	ruído
distração	diversão/divertimento/entretenimento
cunhar	fabricar/construir/confeccionar
cúpula	telhado/teto/reunião/Reunião/domo
ânus	orifício
antibiótico	Bactericida
pato-real	anás
omnipotência	condição/estado/situação
electrocardiograma	gráfico
predestinar	predeterminar
eunuco	varão/macho/homem
precipitação	deslocamento/tornar/vento/tempo/movimento/traslado/revoltar-se/revoltar
propriedade_intelectual	possessão/propriedade
conto	relato/ficção/Ficção/literatura/falsidade/relatório/estória
raso	oceano/água
técnica	capacidade/talento/faculdade/habilidade
apontar	direcionar/orientação/deformar/situar/posicionar/mirar/significar/querer_dizer/informar/indicar
apoderar	privar
asilo	refúgio/edifício/tecido
autarquia	independência/liberdade
topázio	mineral
a	caractér/carácter
Borough	divisão_administrativa
antecâmara	quarto/aposento/sala
crivo	peneira/Crivo/coador
X	caractér/carácter
rebocador	barco/batel/bote
quebra-mar	obstáculo/barreira
cave	andar/pavimento
borrasca	vento
falsificador	trapaceiro
ductilidade	maleabilidade/plasticidade
enfoque	ponto_de_vista
perfilar	representar/figurar
Via_Láctea	montão/colecção/ruma/chusma/coleção/grupo/aglomeração/nebulosa/galáxia
Sismologia	Geofísica/geofísica
SGBD	programa/software
ciências_naturais	ciência
Carotenóide	pigmento/antioxidante
dosimetria	medida/mensuração/medição
peito	tórax/colo
objetivar	alterar/mudar/modificar
gaveteiro	mobiliário/movéis/mobília/móvel
status	condição/estado/situação
Clube_de_futebol	equipe/companhia/time
propagar	transmitir/reproduzir/procriar/andar/caminhar/viajar
sacanagem	diversão
malfeitor	criminoso
Derrick	guincho/guindaste
desabusar	informar
fuzilar	atirar
plenipotenciário	diplomata/embaixador
Terceiro_Mundo	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
butano	carburante/combustível
sétimo	classe/hierarquia/posição/posto
night	acontecimento
optimista	ser_humano/alguém
transcrever	escrever
repugnância	abominação/repulsa/aversão
serragem	madeira
esponsais	rito
escova_de_dentes	brocha/implemento/instrumento/ferramenta/pincel/escova
elogiar	saudar/estimar/avaliar
retirar-se	cessar/descontinuar/terminar/parar/deixar/acabar/finalizar/desistir
expressão	comunicação/comunicado/idioma/semblante
lasca	defeito/apara
fotocópia	ilustração/figura/desenho/foto
pressagiar	contar/informar/denotar/sugerir/evidenciar/sinalizar/indicar
debandar	atuar/escapar/dispersar/dissipar/espalhar/agir/fugir/evadir-se
Boinas_Verdes	Divisão
primor	Belo/maturidade/beleza
vassourar	mexer/mover/deslocar
tropeço	bobagem/gafe/fiasco
Raposa	canídeo/cão
detecção	Percepção/recepção/percepção/descoberta
vareta	barra/Simbolo/aceno/sinal
urgência	crise/magnitude
Y	caractér/carácter
cúmplice	criminoso/ajudante/assistente/adjunto/criado
azarar	predestinar/atuar/agir
chute	esforço/golpe/tentativa
escarlate	encarnado/vermelhidão
lima	ferramenta
imprudência	descortesia
Coquetel	antepasto
preito	reverência/respeito
pateta	idiota/estúpido/simplório
dominatrix	mulher
atividade	condição/estado/situação/acção/ação/peculiaridade/feição
emir	governador
protetorado	posto/cargo/posição/terra/território/circunscrição/país/condado/comarca
diluir	enfraquecer
hipoplasia	displasia/Displasia
gaguejar	verbalizar/hesitar/duvidar/vacilar/falar/dizer/conversar/proferir
Dogfight	luta/combate/batalha
acalmar-se	tornar/revoltar-se/revoltar
planeta	estrela/astro
florão	ornamento/adorno/decoração/ornato
eco	reflexão/emitir/soltar
riscar	provocar/mexer/colorizar/mover/deslocar/colorir/criar/construir/causar
refazer	alterar/mudar/modificar/construir/criar/produzir/remodelar
hipótese	proposta/pressuposição/idéia/concepção/teoria/possibilidade/suposição
desidratação	extracção/aridez/secura
borboletear	passar/apressar-se/despachar-se/apressar
ergotismo	intoxicação
parar	deixar/dispensar/terminar/protestar/suspender/impossibilitar/impedir/estorvar/evitar/obstar/interromper/encerrar/concluir/finalizar
contradição	negação/oposição/falsidade
aptidão	capacidade/faculdade/habilidade/dom/talento
Oxicoco	moita
valva	ferramenta/aparelho/aparato/mecanismo/instrumento/equipamento
decênio	período/etapa/tempo
Oito	algarismo
ajuizar	desafiar
notação	Escrita/escrita/documentos
Apólogo	conto/estória
assistente	participante/trabalhador/ajudante/adjunto/criado
posar	enganar/colocar/expor/apresentar/trair/carregar
lecionar	informar
hortaliça	maconha
arbitragem	investimento/mediação/julgamento/sentença
manejo	contato
adorador	amado/admirador
alucinar	aperceber-se/aperceber/perceber
cimento	formigão/concreto/betão/Concreto/materiais/materiais_de_construção/Materiais_de_construção
vigorar	aumentar/crescer
vimeiro	árvore
rãs	rã/anfíbio
debochar	descartar/ignorar/desconsiderar/menosprezar
torneio	luta/batalha/concurso/certame/jogo/partida/competição
estoque	pilha/mercadoria/fazenda/produto/acumulação/grupo/montão/cúmulo/monte
enviar	pagar/remeter/despachar/transportar/expedir/transmitir/transferir/trazer/deslocar/mover
negociar	suceder/atingir/conseguir/discutir
espadeiro	guerreiro/lutadora
extensão	adiamento/alcance/dimensão/medida/tamanho/região/expansão/ampliação/aumento/grandeza/magnitude
Teologia_da_Libertação	teologia
artrópode	invertebrado
descreditar	minimizar
despojar	sacar/tirar
pulp	jornal
sacrilégio	irreverência
azul	cor/tintura/corante
contra-terrorismo	táctica/estratégia
quintal	jardim/cercado/campo/campos
findar	destruir/estar/ser
crucificar	executar/provocar/criticar/incomodar/aborrecer/assediar/irritar/importunar/molestar
abstracção	idéia/concepção
acidificar	tornar/revoltar-se/revoltar
miséria	pagamento/Pobreza/recompensa/empobrecimento/pobreza
contemplação	reflexão/consideração
finanças	ativo/recursos/activos
imprecação	maldição/Maldição
zona	bagunça/área/região
Véspera_de_natal	efeméride/feriado/Efeméride
cromo	Crómio/crómio/metal/Metais/metais
montanhismo	subida/escalador/ascensão/escalada
leninismo	comunismo
ecossistema	sistema/organização
sine_qua_non	pré-requisito
canal	transmissão/cano/tubo/pipeline/cachimbo/oceano/água/comunicação/comunicado/duto/conduto/estrada
discursar	presentar/apresentar/pronunciar/falar/cobrir/endereçar
taberna	taverna/boteco/prédio/edifício
sensatez	feição/peculiaridade
achar-se	amadurecer
subeditor	redator
Rifa	loteria
locação	habitação/região/extensão
antiguidade	idade/época/era/período
Naan	pão
pinguim-imperador	pinguim
deutério	isótopo
Foro	documentação/documentos
roubar	agarrar/trapacear/atuar/derrotar/apoderar-se/agir/bater/vencer/superar/ultrapassar/ofensa/crime/segurar/capturar/defraudar/furtar/tomar
caça	avião/mão-de-obra/aeroplano/aeronaves/animal/bicho/ser/besta/trabalho
liberar	entregar/soltar/desculpar/fornecer/suprir/deixar/ceder/passar/perdoar
mulherengo	depravado/libertino/varão/macho/homem
alemão	europeu
