ano	decênio/década
dobradiça	porta/portão
troposfera	ar/atmosfera
holanda	europa
guiné	áfrica
anticlímax	história/estória/conto
êmbolo	embolia
aduela	arco
aduela	arco
alto-forno	siderurgia/aciaria
manjerona	orégão
faringe	pescoço
espoleta	ave
quadril	corpo/torso/tronco/anca/coxa/alguidar/pélvis/bacia/tijela
úmero	braço
oliva	oliveira
cidra	cidreira
kilobyte	mb/megabyte
centilitro	decilitro
registro	memória
chili	pimento
íris	olho/óculo
captador	gramofone/fonógrafo
íris	olho/óculo
obturador	câmara/câmera
escora	embarcação/navio/barco
trapeira	casa/habitação/vivenda
goiaba	goiabeira
burundi	áfrica
favo	alvéolo
genebra	suíça
nêspera	nespereira/ameixa
encéfalo	cabeça/pescoço
encéfalo	cabeça/pescoço
lacrimal	órbita
modificador	sintagma/frase
púbis	alguidar/pélvis/bacia/tijela
cóclea	labirinto
caractér	ortografia
split	croácia
cóclea	labirinto
abside	templo/igreja
gonzo	porta/portão
púbis	alguidar/pélvis/bacia/tijela
citoplasma	célula
fossa_nasal	olfato/nariz
abacaxi	ananás
milimetro	centímetro
cerviz	pescoço
calamar	lula
tevê	televisão
tomateiro	tomate
telómero	cromossoma
mento	rosto/cara/face
timão	veleiro/rebocador/navio/embarcação/barco
quilobit	megabit
moçambique	áfrica
lobito	angola
fíbula	perna
encanamento	edifício/construção
palmilha	bota/calçado/sapato
limeira	brasil
côco	palmeira/coqueiro/coco
toco	árvore
tálamo	caule/tronco
pára-sol	câmara/câmera
osciloscópio	monitor/radar
ostomia	traqueostomia
abdômen	corpo/torso/tronco
himalaia	índia
cóccix	alguidar/pélvis/bacia/tijela/espinhaço/espinha/costas
erg	joule
líbia	áfrica
glande	falo/verga/pênis/pinto/caralho/membro
fêmur	anca/coxa
porta-luvas	veículo/auto/viatura/automóvel/máquina/carro
lúnula	unha
balaústre	corrimão/balaustrada
calcâneo	pé
brida	arreio
sarrafo	persiana/veneziana
castão	cavalo
úbere	bode/ovelha/cabra/vaca
penduricalho	coleira/colar
litosfera	mundo/terra
calcâneo	pé
glande	falo/verga/pênis/pinto/caralho/membro
israel	médio-oriente
glote	garganta/laringe
kilobit	megabit
niger	áfrica
malawi	áfrica
rábano	rabanete
sabá	bornéu
irã	médio-oriente
microssegundo	milissegundo
mihrab	mesquita
balancé	parque/playground
moleira	crânio
micrómetro	mm/milímetro/milimetro
nucleão	núcleo
ionosfera	ar/atmosfera
cromosfera	sol
derme	pele
derme	pele
piripiri	pimento
eme	alfândega/polegada
câncer	zodíaco
aleta	peixe
bergamota	tangerina
clara	ovo
ábside	templo/igreja
cílio	pálpebra
decalitro	hectolitro
registrador	memória
huambo	angola
bite	byte
egeu	mediterrâneo
hipóxia	asfixia
erva-doce	anis
mb	gigabyte
prepúcio	berbigão/clítoris/clitóris/grelo/falo/verga/pênis/pinto/caralho/membro
celha	pálpebra
taxiway	aeródromo/aeroporto
relé	circuito
virgo	zodíaco
artelho	perna
hifenização	ortografia
cretáceo	mesozóico
cancer	zodíaco
sub-área	civilização/cultura
scriptorium	mosteiro/monastério/convento
nadir	firmamento/céu
abajur	lâmpada
dique_seco	estaleiro
inner_city	urbe/município/metrópole/cidade
borgonha	frança
dendrite	neurônio/neurónio
ísquio	tijela/bacia/pélvis/alguidar/quadril
olfato	rosto/cara/face
dióspiro	caqui
metacarpo	mão
angström	nanómetro
estame	flor/floração
cúbito	antebraço
califórnia	sudoeste/américa
maléolo	perna
gastrulação	crescimento
java	indonésia
decímetro	metro/m
capô	avião/aeroplano/veículo/auto/viatura/automóvel/máquina/carro
sura	alcorão
guzerate	índia
ilíaco	alguidar/pélvis/bacia/tijela
corpúsculo	sangue
decímetro	metro/m
epidídimo	testículo
intercalação	calendário
toyota	japão
goa	índia
canábis	maconha/cânhamo
orofaringe	garganta/faringe
esclerótica	olho/óculo
gâmbia	áfrica
atuação	apresentação/interpretação
namíbia	áfrica
adenóide	garganta/faringe
axónio	neurônio/neurónio
conjuntiva	olho/óculo/pálpebra
gramado	estádio
patela	joelho
lusitânia	portugal
carpo	braço
patela	joelho
balaço	pente/cartucho
orofaringe	garganta/faringe
escalda	frança
atum-rabilho	atum
cútis	pele
benim	áfrica
nalga	corpo/torso/tronco
mesosfera	atmosfera/ar
ångström	nanómetro
bastonete	retina
nártex	templo/igreja
zurique	suíça
surata	perna/canela
cutícula	tartaruga/molusco/artrópode
embreagem	transmissão
popô	corpo/torso/tronco
abissínia	áfrica
nanosegundo	microssegundo
basílico	manjericão
trombo	trombose
acerola	pitanga
lyon	frança
areola	seio/peito/teta/mama
bráctea	inflorescência
codorna	codorniz
timor-leste	timor
fone	expressão/enunciado
calefacção	prédio/edifício
aneto	endro
mali	áfrica
ci	computador/calculadora
astrágalo	artelho/tornozelo/maléolo
caaba	meca
sarajevo	bósnia
uti	hospital
meloeiro	melão
shetland	atlântico
acostamento	caminho/estrada/rodovia/via
glúteo	nádega/nalga/banda/anca/bunda/traseiro
kuwait	médio-oriente
quito	equador
haiti	caribe
látego	chicote/chibata
transportação	mercantilismo/comercialismo/comércio
caaba	meca
eureka	califórnia
